Latitude (decimal degrees):,48200,,,,,
Longitude (decimal degrees):,16369,,,,,
Radiation database:,PVGIS-SARAH,,,,,
,,,,,,
Results for:,July,,,,,
Slope of plane (deg.):,20,,,,,
Azimuth (orientation) of plane (deg.):,-90,,,,,
time(UTC),,G(i),,Gb(i),,Gd(i)
00:00,,0.0,,0.0,,0.0
01:00,,0.0,,0.0,,0.0
02:00,,0.0,,0.0,,0.0
03:00,,0.0,,0.0,,0.0
04:00,,69.62,,32.43,,36.94
05:00,,229.28,,128.49,,99.88
06:00,,407.87,,251.75,,154.36
07:00,,556.03,,361.89,,191.52
08:00,,658.0,,435.31,,219.33
09:00,,692.03,,445.06,,243.14
10:00,,661.64,,402.22,,255.49
11:00,,616.27,,358.72,,253.63
12:00,,546.17,,311.11,,231.31
13:00,,447.55,,224.81,,219.42
14:00,,341.19,,161.4,,176.94
15:00,,226.99,,88.03,,136.74
16:00,,119.64,,21.11,,97.01
17:00,,73.19,,0.0,,72.73
18:00,,23.06,,0.0,,22.91
19:00,,0.0,,0.0,,0.0
20:00,,0.0,,0.0,,0.0
21:00,,0.0,,0.0,,0.0
22:00,,0.0,,0.0,,0.0
23:00,,0.0,,0.0,,0.0
