Latitude (decimal degrees):,48200,,,,,
Longitude (decimal degrees):,16369,,,,,
Radiation database:,PVGIS-SARAH,,,,,
,,,,,,
Results for:,October,,,,,
Slope of plane (deg.):,35,,,,,
Azimuth (orientation) of plane (deg.):,-90,,,,,
time(UTC),,G(i),,Gb(i),,Gd(i)
00:00,,0.0,,0.0,,0.0
01:00,,0.0,,0.0,,0.0
02:00,,0.0,,0.0,,0.0
03:00,,0.0,,0.0,,0.0
04:00,,0.0,,0.0,,0.0
05:00,,0.0,,0.0,,0.0
06:00,,128.07,,77.01,,49.99
07:00,,251.12,,147.99,,100.42
08:00,,313.86,,180.1,,129.57
09:00,,316.53,,173.31,,138.2
10:00,,310.19,,165.41,,138.97
11:00,,260.74,,124.98,,129.79
12:00,,176.04,,62.02,,108.66
13:00,,102.72,,4.73,,94.59
14:00,,76.69,,0.0,,75.1
15:00,,39.48,,0.0,,38.66
16:00,,1.24,,0.0,,1.21
17:00,,0.0,,0.0,,0.0
18:00,,0.0,,0.0,,0.0
19:00,,0.0,,0.0,,0.0
20:00,,0.0,,0.0,,0.0
21:00,,0.0,,0.0,,0.0
22:00,,0.0,,0.0,,0.0
23:00,,0.0,,0.0,,0.0
