Latitude (decimal degrees):,48200,,,,,
Longitude (decimal degrees):,16369,,,,,
Radiation database:,PVGIS-SARAH,,,,,
,,,,,,
Results for:,October,,,,,
Slope of plane (deg.):,35,,,,,
Azimuth (orientation) of plane (deg.):,0,,,,,
time(UTC),,G(i),,Gb(i),,Gd(i)
00:00,,0.0,,0.0,,0.0
01:00,,0.0,,0.0,,0.0
02:00,,0.0,,0.0,,0.0
03:00,,0.0,,0.0,,0.0
04:00,,0.0,,0.0,,0.0
05:00,,0.0,,0.0,,0.0
06:00,,82.11,,39.78,,41.27
07:00,,215.12,,118.5,,93.9
08:00,,327.83,,191.62,,132.02
09:00,,391.61,,236.01,,150.58
10:00,,460.05,,291.66,,162.59
11:00,,478.53,,308.66,,163.89
12:00,,433.15,,276.99,,150.81
13:00,,362.78,,225.57,,132.74
14:00,,245.64,,143.98,,98.67
15:00,,104.46,,53.9,,49.27
16:00,,1.24,,0.0,,1.21
17:00,,0.0,,0.0,,0.0
18:00,,0.0,,0.0,,0.0
19:00,,0.0,,0.0,,0.0
20:00,,0.0,,0.0,,0.0
21:00,,0.0,,0.0,,0.0
22:00,,0.0,,0.0,,0.0
23:00,,0.0,,0.0,,0.0
