Latitude (decimal degrees):,48200,,,,,
Longitude (decimal degrees):,16369,,,,,
Radiation database:,PVGIS-SARAH,,,,,
,,,,,,
Results for:,October,,,,,
Slope of plane (deg.):,35,,,,,
Azimuth (orientation) of plane (deg.):,90,,,,,
time(UTC),,G(i),,Gb(i),,Gd(i)
00:00,,0.0,,0.0,,0.0
01:00,,0.0,,0.0,,0.0
02:00,,0.0,,0.0,,0.0
03:00,,0.0,,0.0,,0.0
04:00,,0.0,,0.0,,0.0
05:00,,0.0,,0.0,,0.0
06:00,,34.32,,0.0,,33.61
07:00,,75.51,,0.0,,73.94
08:00,,104.65,,3.23,,98.01
09:00,,174.56,,54.49,,115.05
10:00,,255.57,,119.31,,130.46
11:00,,320.53,,175.4,,139.16
12:00,,345.18,,203.46,,136.37
13:00,,347.05,,212.58,,130.0
14:00,,290.66,,180.75,,106.91
15:00,,167.13,,103.83,,62.01
16:00,,1.24,,0.0,,1.21
17:00,,0.0,,0.0,,0.0
18:00,,0.0,,0.0,,0.0
19:00,,0.0,,0.0,,0.0
20:00,,0.0,,0.0,,0.0
21:00,,0.0,,0.0,,0.0
22:00,,0.0,,0.0,,0.0
23:00,,0.0,,0.0,,0.0
