Latitude (decimal degrees):,48200,,,,,
Longitude (decimal degrees):,16369,,,,,
Radiation database:,PVGIS-SARAH,,,,,
,,,,,,
Results for:,July,,,,,
Slope of plane (deg.):,20,,,,,
Azimuth (orientation) of plane (deg.):,90,,,,,
time(UTC),,G(i),,Gb(i),,Gd(i)
00:00,,0.0,,0.0,,0.0
01:00,,0.0,,0.0,,0.0
02:00,,0.0,,0.0,,0.0
03:00,,0.0,,0.0,,0.0
04:00,,30.46,,0.0,,30.27
05:00,,81.03,,0.0,,80.52
06:00,,153.13,,44.02,,107.35
07:00,,277.64,,130.25,,144.77
08:00,,411.06,,227.96,,179.73
09:00,,523.74,,303.37,,216.54
10:00,,588.73,,341.0,,243.79
11:00,,631.84,,371.79,,256.13
12:00,,646.89,,395.58,,247.55
13:00,,610.22,,359.89,,247.0
14:00,,565.55,,346.8,,215.9
15:00,,481.9,,297.19,,182.49
16:00,,363.14,,217.47,,144.15
17:00,,212.99,,118.9,,93.32
18:00,,51.48,,24.16,,27.14
19:00,,0.0,,0.0,,0.0
20:00,,0.0,,0.0,,0.0
21:00,,0.0,,0.0,,0.0
22:00,,0.0,,0.0,,0.0
23:00,,0.0,,0.0,,0.0
