,f,max
0.0,45.28337957763181,
1.0,1.339802429672049,
2.0,0.5315140120762958,
3.0,0.08403492323910564,
4.0,0.48243403459273654,
5.0,0.6172776620099948,
6.0,0.60414743663397,
7.0,0.48358908821945734,
8.0,0.4280090787818625,
9.0,0.20431752189913205,
10.0,0.6765216737396698,
11.0,0.3633075231112057,
12.0,0.4797431132911266,
13.0,0.4511952004118745,
14.0,0.38857298165114196,
15.0,0.3921465686969763,
16.0,0.3922045163640482,
17.0,0.1089337767764111,
18.0,0.2620385477869803,
19.0,0.2111517850708388,
20.0,0.31562280987051144,
21.0,0.47220565175100865,
22.0,0.3126986467285441,
23.0,0.004414758193973358,
24.0,0.09584582432404133,
25.0,0.45818267445941013,
26.0,0.532051701094355,
27.0,0.5119281893883485,
28.0,0.37451715585974,
29.0,0.17822844262380388,
30.0,0.24834536060335463,
31.0,0.36821085624694117,
32.0,0.3742682664556009,
33.0,0.31786985056084377,
34.0,0.2968644202209685,
35.0,0.09366645182900415,
36.0,0.19175967731018068,
37.0,0.674179394540059,
38.0,0.37202196737928034,
39.0,0.23946978055736165,
40.0,0.19944751475709624,
41.0,0.4119452469794971,
42.0,0.4706153788645274,
43.0,0.16978551780989254,
44.0,0.3356399161975061,
45.0,0.36616096782446067,
46.0,0.09858888847836596,
47.0,0.32522433245240945,
48.0,0.14531964756008312,
49.0,0.06995419321310058,
50.0,0.1655479455168584,
51.0,0.1924546352031998,
52.0,0.13728485662753187,
53.0,0.29232972756308134,
54.0,0.3694542430908785,
55.0,0.3033837524909366,
56.0,0.3391461121343064,
57.0,0.26384737901003813,
58.0,0.4352439552842368,
59.0,0.25039451764371506,
60.0,0.1772958804109869,
61.0,0.14020688194942035,
62.0,0.31525184658238886,
63.0,0.3219930697653113,
64.0,0.394913699127252,
65.0,0.3943548050919691,
66.0,0.24781402119085544,
67.0,0.18271937309807268,
68.0,0.14118474238049128,
69.0,0.3361694514910078,
70.0,0.21870181276180475,
71.0,0.2744781911640363,
72.0,0.10149149420283378,
73.0,0.24415249028199082,
74.0,0.4630283506995591,
75.0,0.03479988268372264,
76.0,0.23598999522052713,
77.0,0.28281452903520893,
78.0,0.2213691297982443,
79.0,0.06439448611384506,
80.0,0.15452821159138647,
81.0,0.2728747546017572,
82.0,0.1322307375082235,
83.0,0.06288153818593997,
84.0,0.04189211956107556,
85.0,0.29119668837981477,
86.0,0.24678419531476126,
87.0,0.23659926750702032,
88.0,0.13124772343084454,
89.0,0.18264493033866447,
90.0,0.13295379833286264,
91.0,0.09255925861341739,
92.0,0.23885332192868922,
93.0,0.24439032798524638,
94.0,0.07631806343423347,
95.0,0.18878246479495717,
96.0,0.10610711251458031,
97.0,0.07943812779308723,
98.0,0.27923736531449705,
99.0,0.11861881274426075,
100.0,0.2877312419030104,
101.0,0.2493207369467015,
102.0,0.29594795599268264,
103.0,0.10803015809856732,
104.0,0.3332061447730392,
105.0,0.018290237202638376,
106.0,0.2656477108499648,
107.0,0.29710426145653035,
108.0,0.14216357020981749,
109.0,0.06172020311076577,
110.0,0.26202570676944437,
111.0,0.38760415682849547,
112.0,0.05658123173761818,
113.0,0.15506462415257938,
114.0,0.2096689070886296,
115.0,0.1948276721585866,
116.0,0.12788522826389162,
117.0,0.05082756946467356,
118.0,0.22566928574485068,
119.0,0.13327951345937716,
120.0,0.08356139222219,
121.0,0.13268419055384423,
122.0,0.04867070316042883,
123.0,0.17604970402257367,
124.0,0.19459347930063162,
125.0,0.18968465687293193,
126.0,0.06592393211215711,
127.0,0.3100722279227878,
128.0,0.15197537624150786,
129.0,0.08247912035535249,
130.0,0.09725329811252317,
131.0,0.14229010387820243,
132.0,0.0641553001848228,
133.0,0.027112611340256106,
134.0,0.11715345113223086,
135.0,0.12054628638153712,
136.0,0.18324785084403414,
137.0,0.02560763571663387,
138.0,0.19584891501471696,
139.0,0.15044953924322232,
