,f,max
0.0,16929.081102420587,
1.0,3261.3560815463857,
2.0,1487.760515109374,
3.0,1662.5443180310265,
4.0,507.1952942675841,
5.0,917.7643482292564,
6.0,586.2642118667237,
7.0,1030.1694221302512,
8.0,391.25207195659584,
9.0,864.09167482158,
10.0,1048.5452471097908,
11.0,571.5866441376347,
12.0,1117.2059017102802,
13.0,897.2169583093046,
14.0,296.64270420588923,
15.0,680.4425995917275,
16.0,460.17448974237095,
17.0,569.6254753213908,
18.0,498.5960250220347,
19.0,256.40273860156947,
20.0,221.15169724423578,
21.0,633.3983745543411,
22.0,438.7843483559105,
23.0,1065.7652539255955,
24.0,464.86536926194714,
25.0,250.75107675729183,
26.0,372.7295450258554,
27.0,753.6298447229872,
28.0,739.7266550506129,
29.0,212.0935707303626,
30.0,1265.081334916923,
31.0,722.1362219674852,
32.0,788.1895292629208,
33.0,718.5851272690059,
34.0,573.4058964292145,
35.0,408.14948172919793,
36.0,924.9584418974217,
37.0,349.4067431177047,
38.0,234.75926920546112,
39.0,806.9562657832042,
40.0,730.4781890004081,
41.0,348.34049158862973,
42.0,132.5240055635924,
43.0,399.7445798127818,
44.0,1409.010515637107,
45.0,591.9314785151261,
46.0,1008.3604451589287,
47.0,632.8988356602666,
48.0,616.2240690467814,
49.0,100.42427803234406,
50.0,811.0670622946906,
51.0,171.54750623628166,
52.0,1786.8616909675752,1786.8616909675752
53.0,614.7109984885716,
54.0,576.2722986370947,
55.0,438.50039610956486,
56.0,906.9980971386974,906.9980971386974
57.0,437.2339329664606,
58.0,184.5198680292596,
59.0,258.2376421833839,
60.0,371.43362261650077,
61.0,639.5979277084494,
62.0,336.24595832182797,
63.0,164.20005880787375,
64.0,359.5282417192602,
65.0,316.0423575249327,
66.0,430.0140577387722,
67.0,526.0840080453502,
68.0,565.4373458762014,
69.0,432.98499132119974,
70.0,772.1925724891297,772.1925724891297
71.0,127.86113818377513,
72.0,376.07201429468216,
73.0,322.9910056913469,
74.0,418.1305842223131,
75.0,539.9849704272206,
76.0,657.8297843617432,657.8297843617432
77.0,45.47254600370864,
78.0,434.3357946698823,
79.0,376.9893165062429,
80.0,413.34873119806747,
81.0,587.8875309156984,587.8875309156984
82.0,453.0638563916412,
83.0,438.5377344193423,
84.0,430.66790061361166,
85.0,351.800828268342,
86.0,263.86987715073445,
87.0,320.3772622763203,
88.0,361.71154697317985,
89.0,317.28611299141585,
90.0,533.4034783998649,533.4034783998649
91.0,37.13315727088189,
92.0,435.3176991816502,
93.0,130.42532710498665,
94.0,265.5166035637131,
95.0,549.704961213544,
96.0,429.56395913872035,
97.0,412.2159227662538,
98.0,124.42237219886307,
99.0,220.6696908066207,
100.0,228.8723400952965,
101.0,527.924943241043,
102.0,372.36774105553434,
103.0,397.6289608447377,
104.0,892.7840129652893,892.7840129652893
105.0,532.2307691709696,
106.0,432.50725849423947,
107.0,405.3679132933418,
108.0,270.63129217658064,
109.0,144.66386295251502,
110.0,111.13671838004517,
111.0,136.8389956097048,
112.0,325.2313516266839,
113.0,202.4776809383495,
114.0,311.19447539424334,
115.0,206.61055443427185,
116.0,316.94819184764424,
117.0,281.2809827960337,
118.0,339.2535763423865,
119.0,218.07799047888554,
120.0,297.58714982874295,
121.0,560.091841192819,
122.0,421.28350269643306,
123.0,189.1299585042814,
124.0,461.78918577053895,
125.0,132.41453416563252,
126.0,383.9139736240634,
127.0,438.0307747234885,
128.0,193.43020587343682,
129.0,531.6070670637979,
130.0,483.64325726491654,
131.0,167.27658284043528,
132.0,266.2187369012297,
133.0,58.24089994506412,
134.0,697.6836286939812,697.6836286939812
135.0,507.3372784532499,
136.0,348.0739435233706,
137.0,336.37070750837205,
138.0,226.85666710450786,
139.0,231.2488285591671,
140.0,386.38750230088425,
141.0,193.30418410070732,
142.0,222.71488222099163,
143.0,337.09964805553267,
144.0,118.61685476481881,
145.0,464.6996061045018,
146.0,84.93137155273055,
147.0,225.4953960476043,
148.0,306.85589305805917,
149.0,265.0573507634635,
150.0,115.61506656749134,
151.0,109.23381554955334,
152.0,252.59452462828017,
153.0,80.49333753505992,
154.0,181.77561384309726,
155.0,182.81452138130103,
156.0,536.5785607834938,
157.0,69.0875037500287,
158.0,316.9996831768635,
159.0,161.67851400510082,
160.0,65.79634555343226,
161.0,134.56471558540605,
162.0,173.6486767598818,
163.0,378.4353502068754,
164.0,480.06853962282696,
165.0,210.18186465271745,
166.0,91.32299923797284,
167.0,86.29196555964502,
168.0,313.41911399659665,
169.0,165.13684741623635,
170.0,120.00784264047533,
171.0,364.8584665459932,
172.0,334.3255812293268,
173.0,252.91747537532316,
174.0,152.78979174408227,
175.0,369.22468267200816,
176.0,259.5174010125371,
177.0,372.75765011833676,
178.0,342.8072459439013,
179.0,157.17420221799108,
180.0,82.34133797772564,
181.0,560.7484527114616,560.7484527114616
182.0,203.2934334061114,
183.0,164.51543541572806,
184.0,400.9595395329678,
185.0,442.79116246535034,442.79116246535034
186.0,68.70372817332932,
187.0,192.76009971718972,
188.0,180.92610838260492,
189.0,263.18157807798036,
190.0,122.71127962482355,
191.0,379.6763903515096,
192.0,240.0572472529601,
193.0,348.6751040800226,
194.0,214.7566871313764,
195.0,316.4758361268957,
196.0,153.91957452000761,
197.0,209.17549276977877,
198.0,61.9839011764033,
199.0,137.84073262669443,
200.0,220.7984913436422,
201.0,193.86555778108874,
202.0,196.5079205232926,
203.0,246.32292857557144,
204.0,109.9180537118021,
205.0,362.738617201196,
206.0,197.57219850001113,
207.0,203.5570972570524,
208.0,236.85687452694603,
209.0,68.3473989724021,
210.0,401.82575100349976,401.82575100349976
211.0,106.20100773507441,
212.0,210.46527242416337,210.46527242416337
213.0,60.3659817097912,
214.0,30.312961782274517,
215.0,330.5222669344342,
216.0,184.00361763100423,
217.0,266.09208954450105,
218.0,430.69082119286804,430.69082119286804
219.0,117.93362563130121,
220.0,314.69595744808413,314.69595744808413
221.0,96.88551844544574,
222.0,240.7989054593444,
223.0,186.5868841014204,
224.0,221.86408364034278,
225.0,145.22590929241724,
226.0,252.23102028787787,252.23102028787787
227.0,28.478979596902473,
228.0,59.77412115088011,
229.0,122.42914989694565,
230.0,380.5126415976441,
231.0,109.29860521770965,
232.0,296.95420352000826,
233.0,166.0688648749871,
234.0,124.91678341003472,
235.0,200.574644388714,
236.0,155.4565078466455,
237.0,237.34618645085393,
238.0,193.40669068578325,
239.0,127.0206221654306,
240.0,112.35301522486853,
241.0,208.54452730324402,
242.0,156.31260876465174,
243.0,174.60472423765552,
244.0,163.12917623043023,
245.0,196.6924743348506,
246.0,289.2024607511386,
247.0,273.92448114952924,
248.0,278.4867006295773,
249.0,75.8094121512992,
250.0,122.07865550406338,
251.0,129.66950981052037,
252.0,54.54269310269059,
253.0,271.78204484957547,
254.0,200.16965506579714,
255.0,140.32236555159437,
256.0,201.92270746498482,
257.0,440.4243340798428,440.4243340798428
258.0,101.04077498922435,
259.0,100.80927964988723,
260.0,106.77962098321554,
261.0,323.2969636668497,
262.0,218.3672609385253,
263.0,301.3544097025262,
264.0,242.3058673646125,
265.0,134.6066794668636,
266.0,164.6376669229326,
267.0,248.7141411325536,
268.0,86.51301394742788,
269.0,329.4684499713213,
270.0,215.20515470358384,
271.0,50.53377888772885,
272.0,160.30665045352498,
273.0,105.63058390973315,
274.0,79.71136016843275,
275.0,94.5301666353144,
276.0,99.68385677293716,
277.0,206.00792660142562,
278.0,147.2686522652066,
279.0,157.6491140936841,
280.0,290.8466101383241,
281.0,71.47317511406533,
282.0,76.25606880075999,
283.0,151.4007324436305,
284.0,135.5460904751634,
285.0,249.10381584346723,
286.0,87.95083857329118,
287.0,214.19801799077072,
288.0,290.0726477070533,
289.0,138.03412561931847,
290.0,319.1185882596527,
291.0,336.7141193503403,336.7141193503403
292.0,258.5143634348072,258.5143634348072
