,AT0 0
0,15418.010561748826
1,15364.854655257583
2,15355.062777746041
3,15325.687145211406
4,15304.704550543811
5,15291.520478047987
6,15290.716154098745
7,15285.120795520726
8,15276.727757653685
9,15266.935880142144
10,15247.352125119052
11,15236.161407963005
12,15223.571851162445
13,15216.691042765106
14,15188.600860049784
15,15187.202020405275
16,15184.404341116267
17,15180.207822182752
18,15177.410142893732
19,15155.02870858163
20,15143.837991425578
21,15142.439151781078
22,15139.641472492067
23,15110.265839957428
24,15106.069321023913
25,15101.872802090395
26,15085.086726356316
27,15072.497169555762
28,15064.104131688726
29,15057.109933466194
30,15008.150545908473
31,14996.959828752417
32,14982.971432307355
33,14981.884791205372
34,14978.774913373836
35,14978.774913373836
36,14954.994639417228
37,14952.196960128216
38,14924.22016723809
39,14915.827129371055
40,14910.231770793025
41,14908.832931148518
42,14907.434091504012
43,14904.636412215
44,14903.816381093095
45,14892.046855414446
46,14892.046855414446
47,14887.850336480922
48,14868.519620338508
49,14861.272383235304
50,14859.873543590798
51,14854.278185012772
52,14854.17027962439
53,14852.879345368265
54,14848.682826434748
55,14827.70023176715
56,14826.301392122645
57,14824.902552478141
58,14823.503712833633
59,14820.70603354462
60,14806.717637099558
61,14805.318797455047
62,14803.739794004665
63,14796.925759588014
64,14796.925759588014
65,14796.925759588014
66,14795.526919943508
67,14782.937363142952
68,14768.194800941628
69,14766.151287408877
70,14753.794626529136
71,14749.3652116748
72,14746.567532385787
73,14743.769853096772
74,14733.977975585223
75,14731.180296296217
76,14728.54863706285
77,14725.58493771819
78,14722.78725842917
79,14715.793060206648
80,14714.39422056214
81,14704.602343050592
82,14699.006984472571
83,14696.36758849049
84,14696.209305183553
85,14687.816267316519
86,14682.220908738493
87,14676.625550160468
88,14673.827870871457
89,14664.03599335991
90,14661.238314070899
91,14659.839474426391
92,14643.053398692316
93,14640.255719403303
94,14636.559123264524
95,14634.660360825279
96,14624.868483313734
97,14623.46964366923
98,14623.427619461982
99,14618.319227821528
100,14610.7171495806
101,14603.060884885728
102,14596.891690423607
103,14595.492850779096
104,14587.099812912062
105,14587.099812912062
106,14578.706775045024
107,14574.510256111507
108,14566.117218244466
109,14562.351805959754
110,14557.72418037743
111,14554.926501088417
112,14551.807147687052
113,14545.13462357687
114,14526.94970819829
115,14521.354349620264
116,14512.08682658545
117,14510.163632464213
118,14510.163632464213
119,14508.764792819708
120,14503.169434241683
121,14500.371754952672
122,14500.371754952672
123,14495.249029316343
124,14489.18103779662
125,14488.75044025461
126,14475.192641351558
127,14472.394962062544
128,14465.400763840014
129,14465.400763840014
130,14462.603084551
131,14454.210046683958
132,14443.019329527908
133,14440.221650238898
134,14440.221650238898
135,14422.699728561658
136,14422.036734860312
137,14422.036734860312
138,14415.079931330261
139,14402.452979837224
140,14399.655300548216
141,14397.123575720343
142,14371.678507658085
143,14363.28546979105
144,14363.28546979105
145,14363.28546979105
146,14361.886630146544
147,14331.648437499141
148,14329.713318322898
149,14328.427330591207
150,14328.314478678389
151,14325.305534068251
152,14321.32028045586
153,14306.015424325355
154,14305.335746795816
155,14302.096054873753
156,14300.337685788265
157,14291.944647921227
158,14291.699244189136
159,14290.545808276724
160,14287.748128987709
161,14280.095999757987
162,14279.35509112067
163,14279.35509112067
164,14273.759732542643
165,14272.360892898134
166,14270.373475360364
167,14248.580618941527
168,14238.788741429988
169,14237.38990178548
170,14237.38990178548
171,14228.79126821141
172,14210.811948539857
173,14200.023163341233
174,14184.23399529424
175,14177.507211958935
176,14177.239797071707
177,14169.544720170688
178,14167.98778818119
179,14163.251400626641
180,14163.051937864411
181,14160.45372133763
182,14153.459523115098
183,14152.454789127745
184,14144.35847491478
185,14136.84384636908
186,14133.87576809201
187,14133.87576809201
188,14123.242495431337
189,14122.68505093596
190,14104.428864123869
191,14096.523602951667
192,14094.708258045832
193,14091.910578756819
194,14089.112899467806
195,14087.006297875136
196,14082.118701245276
197,14082.112027310233
198,14075.124503022742
199,14071.760322758902
200,14070.927984089223
201,14051.344229066135
202,14048.621576599397
203,14030.361634398545
204,14028.962794754036
205,14006.581360441933
206,13999.587162219399
207,13995.985918269362
208,13990.53683709122
209,13985.59876577434
210,13981.402246840818
211,13974.408048618288
212,13971.610369329277
213,13951.56358492172
214,13942.234736794642
215,13942.234736794642
216,13932.2765522868
217,13928.246340349571
218,13910.183046192245
219,13905.864906037477
220,13898.453552626608
221,13890.477669947908
222,13884.882311369884
223,13879.374275417382
224,13875.090433858342
225,13867.691981212616
226,13862.500877057782
227,13847.113640968211
228,13840.11944274568
229,13838.720603101174
230,13838.720603101174
231,13837.321763456666
232,13814.940329144563
233,13803.82287768195
234,13802.515355152129
235,13796.755413765984
236,13793.72398640709
237,13781.368177676413
238,13777.171658742891
239,13770.177460520365
240,13770.135659379113
241,13766.806698105689
242,13766.149324433536
243,13764.252785321487
244,13763.183262297833
245,13761.520294244463
246,13749.194865852769
247,13742.200667630235
248,13740.801827985732
249,13740.801827985732
250,13739.211364408477
251,13736.605309052211
252,13722.616912607144
253,13719.819233318136
254,13718.420393673627
255,13714.383478251693
256,13710.054964085839
257,13708.628516162085
258,13682.295417643638
259,13672.258685404919
260,13652.674930381829
261,13644.28189251479
262,13642.493157031091
263,13640.81549337443
264,13637.287694292261
265,13635.888854647757
266,13624.698137491705
267,13619.102778913675
268,13619.102778913675
269,13613.507420335653
270,13612.108580691147
271,13607.912061757628
272,13601.17680974939
273,13595.322504957068
274,13581.334108512005
275,13574.339910289476
276,13558.952674199905
277,13557.906300047976
278,13552.375318360593
279,13550.559636332868
280,13537.970079532313
281,13531.034276909093
282,13526.779362376265
283,13526.779362376265
284,13522.582843442742
285,13517.058990574626
286,13513.650784151176
287,13483.515007634564
288,13483.033876216785
289,13477.91531313914
290,13472.04934871074
291,13463.102175755355
292,13454.569760803528
293,13454.03970086193
294,13451.242021572918
295,13449.983220854961
296,13431.37836622974
297,13426.062907971806
298,13425.912001163264
299,13418.521095258497
300,13410.675671882238
301,13410.65503690433
302,13407.986037336454
303,13402.540669710188
304,13400.890784098443
305,13396.687275437173
306,13381.609157032977
307,13380.490662535274
308,13374.319097436646
309,13372.980678892885
310,13372.907001480562
311,13368.710482547045
312,13368.701101051969
313,13364.513963613526
314,13362.206294885893
315,13360.823505692217
316,13357.519765390998
317,13356.120925746489
318,13354.392393829621
319,13349.126727523955
320,13343.531568725914
321,13324.989762992393
322,13311.358057122288
323,13308.560377833272
324,13307.161538188762
325,13305.762698544255
326,13296.770092899498
327,13295.970821032715
328,13294.22505827829
329,13291.774302099197
330,13287.52725071837
331,13278.559911533455
332,13276.387066009629
333,13264.224501822328
334,13254.02562951362
335,13252.843911429734
336,13245.612593830487
337,13241.416074896968
338,13230.225357740917
339,13224.629999162895
340,13220.23533396491
341,13203.647404495296
342,13201.574149894053
343,13199.508735039724
344,13185.462489116711
345,13185.462489116711
346,13184.06364947221
347,13180.688653940771
348,13178.468290894181
349,13178.260502853516
350,13172.87293231616
351,13165.878734093623
352,13164.47989444912
353,13163.08105480461
354,13154.781102832292
355,13154.688016937575
356,13147.693818715044
357,13139.300780848005
358,13126.800541144548
359,13120.36221598095
360,13116.289877385601
361,13115.520506891398
362,13115.520506891398
363,13111.32398795788
364,13104.329789735348
365,13097.335591512814
366,13095.325461702214
367,13092.989259021724
368,13092.854594192178
369,13090.813531190915
370,13090.341393290282
371,13079.150676134232
372,13077.751836489728
373,13073.555317556207
374,13073.555317556207
375,13072.156477911705
376,13070.242793542076
377,13069.309932805947
378,13066.471881570238
379,13065.15935335838
380,13063.763440044664
381,13062.364600400155
382,13058.168081466638
383,13055.370402177627
384,13045.57852466608
385,13041.382005732561
386,13039.983166088055
387,13038.58432644355
388,13038.40517162998
389,13035.758662766308
390,13033.802184665214
391,13028.175838896923
392,13027.187574200292
393,13025.994769642988
394,13023.785058490585
395,13023.124370661066
396,13020.399411064966
397,13016.202892131447
398,13015.255913228926
399,13010.607533553424
400,13007.809854264407
401,12993.466519383557
402,12992.77028263654
403,12989.624938885829
404,12989.624938885829
405,12989.343728490621
406,12982.630740663295
407,12982.630740663295
408,12982.045075857815
409,12977.035382085272
410,12974.237702796258
411,12974.237702796258
412,12972.838863151752
413,12964.445825284714
414,12960.71246881112
415,12960.249306351197
416,12960.181732542082
417,12954.653947773171
418,12951.856268484154
419,12946.26090990613
420,12945.013019370774
421,12939.266711683602
422,12937.867872039094
423,12935.070192750083
424,12929.474834172055
425,12925.058465828457
426,12923.87947559403
427,12922.480635949523
428,12921.010196335867
429,12915.199315071055
430,12911.289918793474
431,12911.289918793474
432,12905.69456021545
433,12905.08007546618
434,12904.295720570939
435,12904.295720570939
436,12902.896880926435
437,12901.49804128193
438,12898.00470231793
439,12895.902682703907
440,12891.706163770385
441,12880.515446614332
442,12874.920088036308
443,12862.586217758428
