,AT0 0
0,27206.682668129128
1,26822.8029280857
2,26649.6219963789
3,26611.794335614184
4,26579.256267203913
5,26509.68869384771
6,26465.306594625254
7,26424.761598405705
8,26401.06639149233
9,26355.751203136082
10,26322.63141569226
11,26314.689024267373
12,26283.950160164797
13,26278.539272041035
14,26200.941829745803
15,26195.11618065817
16,26150.479926720218
17,26144.834178729245
18,26058.01149300705
19,26044.782763970594
20,26044.091832409464
21,26042.403851065264
22,26041.945258241314
23,26040.566458801706
24,26005.123003115645
25,25973.982964796756
26,25905.51337246942
27,25903.2173058167
28,25894.25372784894
29,25887.258189249107
30,25800.20293642163
31,25768.935685536315
32,25757.32620885905
33,25745.901375591937
34,25707.902811766784
35,25686.84920353678
36,25674.192643152473
37,25664.760328089058
38,25661.092913808723
39,25648.064959454998
40,25638.15427861864
41,25637.848964470824
42,25579.087594620803
43,25568.575633452296
44,25559.99456254929
45,25559.057593347363
46,25549.59987806243
47,25546.096866641576
48,25538.88188301278
49,25526.375108641307
50,25511.78539743016
51,25507.607291742916
52,25503.481828486143
53,25492.431999468405
54,25486.764772509618
55,25481.873109469896
56,25479.38974528475
57,25468.1427020892
58,25458.590474600438
59,25450.75144291049
60,25435.78161066417
61,25429.483033467823
62,25422.663457661292
63,25415.298865018733
64,25409.751176652397
65,25401.163337395737
66,25385.511102002863
67,25383.32409545065
68,25381.24339899804
69,25362.173519478016
70,25351.15884553194
71,25334.26135248562
72,25332.95226890144
73,25330.18212259502
74,25325.946062288956
75,25322.67831826188
76,25318.79792983577
77,25313.750630243598
78,25307.74404823043
79,25306.24255385608
80,25303.234790853257
81,25298.153210616194
82,25288.078756288996
83,25272.934819365477
84,25255.887507789666
85,25249.12697575251
86,25244.072806476397
87,25243.84162361545
88,25234.92548936795
89,25225.573002249377
90,25219.385720454065
91,25215.63896351922
92,25176.609875457492
93,25175.020572529233
94,25166.271839500965
95,25165.952127428016
96,25147.951892365163
97,25144.841065922563
98,25139.601321631868
99,25137.369284376382
100,25130.377045306413
101,25129.89809516898
102,25128.341351092284
103,25127.03723899492
104,25122.49086518793
105,25121.741004210213
106,25120.329311111673
107,25115.354399712844
108,25106.99467655358
109,25104.245422309396
110,25095.843515254932
111,25085.090404736908
112,25077.086659736204
113,25061.801124225123
114,25056.32305055156
115,25047.90991948944
116,25046.582793455655
117,25039.17957016614
118,25023.132042598852
119,25013.400326091458
120,25007.161812211656
121,24977.823020273325
122,24967.8920898211
123,24949.620482887258
124,24941.413444129477
125,24937.607163319386
126,24926.531263634843
127,24905.290305573642
128,24902.671617758722
129,24895.229033388292
130,24894.28484247151
131,24881.67074009921
132,24851.801036360506
133,24846.62369720014
134,24836.89773560399
135,24832.55189697843
136,24820.7088966031
137,24812.79456126705
138,24805.016074414536
139,24797.201437970813
140,24791.15309032731
141,24783.90937440375
142,24779.487197025708
143,24758.42570693414
144,24758.26706152195
145,24752.635148456317
146,24744.07158131769
147,24742.72555106762
148,24731.789842556973
149,24730.764270260588
150,24714.863169911987
151,24691.66941545586
152,24681.009018951412
153,24679.88676124285
154,24669.92552497868
155,24666.22554504461
156,24663.207416232653
157,24620.365105257693
158,24559.73005052566
159,24557.342105799962
160,24557.155713390286
161,24547.436521232103
162,24517.291416593285
163,24496.468338914623
164,24453.7773007493
165,24452.125770485625
166,24449.18343274739
167,24422.310583412735
168,24417.62157912787
169,24396.814648852473
170,24386.03328489843
171,24362.420001891227
172,24354.424560922303
173,24350.466051015617
174,24337.801639740057
175,24288.116503246532
176,24287.315895840627
177,24272.311843571515
178,24248.378534139913
179,24189.502049429142
180,24177.811759445405
181,24129.917610228542
182,24105.824906972302
183,24069.782225761588
184,24049.12087110431
185,24032.273676545537
186,23986.5741545546
187,23984.194763736366
188,23981.506512322434
189,23944.109651028088
190,23929.60576270721
191,23927.831346330917
192,23878.52545514985
193,23874.047763294464
194,23872.893119302575
195,23869.032931955175
196,23833.50028462554
197,23828.745760766433
198,23794.06647284284
199,23792.794560665963
200,23787.170947819057
201,23744.397865940657
202,23731.985885956143
203,23729.69367767652
204,23727.11875894586
205,23721.037816896674
206,23718.418452737584
207,23676.747217998887
208,23657.717132703146
209,23655.11222787632
210,23604.86532339503
211,23596.42907195121
212,23584.943695236256
213,23579.8013632426
214,23579.404691502
215,23578.599168723173
216,23577.239695755907
217,23570.930371391187
218,23554.015689660664
219,23552.92055840933
220,23550.63966896559
221,23549.635142242078
222,23534.93097740609
223,23532.377497118832
224,23527.217063992648
225,23518.25228224997
226,23490.232925029824
227,23488.372787588738
228,23485.251618982653
229,23484.863601688074
230,23481.040612672517
231,23480.591907847775
232,23461.360595250575
233,23457.408572555687
234,23446.551689243195
235,23437.02701887322
236,23434.65260320093
237,23432.607950418926
238,23414.604791585683
239,23396.710073052604
240,23390.24781101385
241,23388.047511565317
242,23365.27500737115
243,23361.097482431556
244,23357.849514597532
245,23337.492126132867
246,23325.29391744184
247,23302.87382219989
248,23299.28383175778
249,23297.963609169063
250,23285.34943496014
251,23273.304334534398
252,23257.23367785214
253,23252.34934052708
254,23251.848866837197
255,23237.712143891684
256,23236.225717486745
257,23210.57109356795
258,23206.742376657414
259,23201.847687729416
260,23188.22673536354
261,23181.233904143013
262,23175.63962861716
263,23168.721975689794
264,23165.320501168062
265,23150.74061790797
266,23146.898121105798
267,23125.075635292545
268,23104.636209357912
269,23098.04853814219
270,23096.199959187237
271,23094.376706811025
272,23094.113400800084
273,23084.803548115957
274,23078.019757031485
275,23061.106906577766
276,23056.958956314622
277,23054.45382613306
278,23046.787339456394
279,23042.113709567227
280,23000.8568648322
281,22998.056613426605
282,22981.260269222592
283,22979.09413975824
284,22976.330994606808
285,22974.585313776195
286,22971.61328731739
287,22968.92442162754
288,22964.832883908282
289,22959.5812845064
290,22947.028485786974
291,22935.421909792392
292,22933.439508700387
293,22928.49461385423
294,22925.44248411719
295,22912.97015595085
296,22912.07361571267
297,22907.481506896554
298,22893.54949063052
299,22887.17382127966
300,22872.114379988954
301,22869.895675791588
302,22860.0808841326
303,22838.477751150844
304,22796.350728697696
305,22787.478848424173
306,22780.593890685323
307,22774.865947365906
308,22754.8978075056
309,22729.39007105581
310,22719.56829309805
311,22709.2964060971
312,22702.679520443875
313,22690.063160759866
314,22689.145192566517
315,22657.10326509776
316,22652.293991227343
317,22641.372126486574
318,22631.015137587012
319,22617.564878122346
320,22603.65264928254
321,22592.439831529184
322,22588.943865864014
323,22588.694226845302
324,22588.49475999323
325,22587.496903298772
326,22584.677711321114
327,22579.696059712893
328,22561.430200785286
329,22548.63414567214
330,22540.662333909662
331,22534.649837523437
332,22522.3328677398
333,22517.06162681729
334,22515.889523356116
335,22511.833289455346
336,22507.135440305854
337,22483.62278948289
338,22478.041132516308
339,22474.68064659856
340,22472.73370863588
341,22461.096126619064
342,22444.792574022045
343,22425.59117431168
344,22403.842824299798
345,22396.483886223534
346,22392.425485124084
347,22379.16881375727
348,22376.524491177763
349,22357.830967712354
350,22357.338113945807
351,22347.055350406543
352,22341.291939903484
353,22298.589259660603
354,22295.290119500296
355,22292.218023157428
356,22291.331923932492
357,22289.177846316874
358,22273.940185806416
359,22273.07628991402
360,22271.672472463903
361,22269.942099677457
362,22266.715317503345
363,22249.615890099194
364,22244.462474982214
365,22241.52150466741
366,22239.702261222108
367,22220.764601956875
368,22215.794389792733
369,22200.793710505983
370,22199.762387575694
371,22195.37833117161
372,22190.565740417638
373,22168.090048463222
374,22153.621633017665
375,22147.057642821892
376,22146.82218424015
377,22130.527698599384
378,22128.770553730406
379,22122.83801738598
380,22121.757642615936
381,22118.517337087822
382,22117.544089784842
383,22103.226990683048
384,22100.641816084753
385,22096.365186212748
386,22096.27233646507
387,22063.843761854172
388,22061.04050540496
389,22050.320769041715
390,22044.28094054818
391,22038.06459356926
392,22028.943576154998
393,22024.009971524887
394,22013.361782199394
395,22010.32422181067
396,22010.281763954787
397,21999.43984640967
398,21975.93562018693
399,21954.45697341994
400,21949.051869127696
401,21940.82304883445
402,21929.02685889172
403,21917.977732254625
404,21913.44998101203
405,21898.39973239386
406,21894.185747893327
407,21887.90291605158
408,21885.050466960784
409,21865.910709777716
410,21863.868310258804
411,21842.440548633997
412,21833.49324959615
413,21815.742843516025
414,21814.96983840858
415,21808.79287566204
416,21804.09438144358
417,21784.598756314164
418,21782.648837866676
419,21771.23445369995
420,21769.569135289676
421,21763.312109374325
422,21760.585573899865
423,21760.05545766538
424,21756.6907752837
425,21753.746233972262
426,21752.916966788584
427,21743.309928098355
428,21725.262262878594
429,21720.086895103745
430,21720.038327665112
431,21719.11514607988
432,21701.402625741273
433,21694.927174887012
434,21689.33057340682
435,21683.058775831716
436,21677.891153830882
437,21663.352543020686
438,21661.05227753747
439,21659.10106270126
440,21657.256662794738
441,21651.436591953254
442,21648.289259477777
443,21645.501247305943
444,21632.408868170358
445,21631.44567714105
446,21622.665889755797
447,21614.570522699745
448,21602.02746940776
449,21589.236103654668
450,21587.546068258245
451,21575.783328325153
452,21575.385066931096
453,21569.435686732875
454,21569.344384703207
455,21569.221136132786
456,21568.691121135977
457,21564.17050796951
458,21561.51689021207
459,21555.154116690122
460,21544.78495828028
461,21538.257670597257
462,21537.081393768483
463,21532.55181007096
464,21522.590063561656
465,21513.774689115904
466,21504.60479892431
467,21495.887331581776
468,21494.04133201179
469,21485.09450591405
470,21484.815762818704
471,21477.278132844527
472,21468.367358324438
473,21463.55229239697
474,21453.899688258043
475,21452.841557104668
476,21436.351892226838
477,21429.86651775585
478,21428.422214661554
479,21424.419967030633
480,21422.882396530804
481,21419.167886933596
482,21413.966615666013
483,21398.835300554332
484,21397.063594465042
485,21384.90616154867
486,21381.70525434757
487,21373.90816220954
488,21371.358828216107
489,21370.519474943023
490,21352.652814285302
491,21349.83084565517
492,21344.05366183212
