,f,max
0.0,22118.712227994794,
1.0,3463.809252975542,
2.0,1288.8476790483312,
3.0,1352.5237495968793,
4.0,566.0369852511653,
5.0,1300.0099502566604,
6.0,827.2700309469433,
7.0,944.7646083960221,
8.0,443.4844724526817,
9.0,960.610396149184,
10.0,1018.0933421957889,
11.0,398.2188537773453,
12.0,1340.0634108433549,
13.0,851.2795121262527,
14.0,493.7630809101933,
15.0,716.194575902975,
16.0,383.15945747707974,
17.0,659.8456217335871,
18.0,386.0515717513376,
19.0,296.1761868366358,
20.0,230.845508427627,
21.0,484.69991705400344,
22.0,538.3797157982042,
23.0,1140.216879026425,
24.0,544.7130491774157,
25.0,227.53635575783358,
26.0,417.9667724135976,
27.0,851.1955854884646,
28.0,729.1947582561908,
29.0,300.18897138799,
30.0,1340.492271397343,
31.0,864.7497840809574,
32.0,728.9259263398208,
33.0,565.5994909994121,
34.0,733.3123159310225,
35.0,377.8439932198807,
36.0,977.4791641926918,
37.0,367.19312779573727,
38.0,441.6309100592014,
39.0,831.7999890380456,
40.0,658.1072008561902,
41.0,285.65005792628335,
42.0,153.89788339186518,
43.0,393.64914495029564,
44.0,1385.3814422978899,
45.0,754.2589179150154,
46.0,1073.1666773220495,
47.0,649.1191861131584,
48.0,749.0947072184323,
49.0,70.92601842319606,
50.0,935.3910425862684,
51.0,244.25909200750718,
52.0,1861.8129592477335,1861.8129592477335
53.0,754.7766011562629,
54.0,761.9514809578867,
55.0,639.7581929665265,
56.0,1003.0087812322516,
57.0,479.03399394056675,
58.0,167.40307831276405,
59.0,226.1935683744716,
60.0,337.0074538968873,
61.0,719.1920018071215,
62.0,455.6101648306707,
63.0,150.55008788771798,
64.0,445.01736872699473,
65.0,262.4085384792209,
66.0,509.52914352180983,
67.0,465.3455763067347,
68.0,734.6155858308764,
69.0,484.4625008413446,
70.0,709.6255352692243,
71.0,100.02607673014079,
72.0,424.03801687695955,
73.0,345.7808356464587,
74.0,434.05262228079744,
75.0,750.5900997349512,
76.0,673.158682730909,
77.0,87.47175349720533,
78.0,517.7755311164657,
79.0,375.8601792579354,
80.0,454.1742358086457,
81.0,618.2819791993294,
82.0,476.8481915639443,
83.0,653.5231452033581,
84.0,429.2972710364547,
85.0,270.04441724747284,
86.0,257.62399116588193,
87.0,300.48541107207336,
88.0,367.4027714256732,
89.0,363.016046801248,
90.0,459.56668001166196,
91.0,75.89234418757665,
92.0,401.1736071311562,
93.0,50.34929264040113,
94.0,269.5726680324312,
95.0,491.2932683949592,
96.0,431.2492686842296,
97.0,456.1067803771841,
98.0,206.54869887215082,
99.0,253.43012544351862,
100.0,385.52155485021154,
101.0,535.5073852171612,
102.0,406.44872954596264,
103.0,399.7234191918636,
104.0,1114.2450784600185,1114.2450784600185
105.0,545.472586247044,
106.0,353.08474108281246,
107.0,496.1582875873462,
108.0,252.74724920735997,
109.0,182.5719351240328,
110.0,204.77708501892758,
111.0,277.5323419278268,
112.0,448.4044501128412,
113.0,223.61591402493931,
114.0,292.42724909316667,
115.0,272.9579466046151,
116.0,296.64470367703547,
117.0,238.28207387784292,
118.0,362.2032582436612,
119.0,316.92854847377555,
120.0,439.48367525470775,
121.0,531.7957208760135,
122.0,445.2519948182655,
123.0,296.3412940220366,
124.0,500.92788971986664,
125.0,154.43172204423578,
126.0,456.33981155489545,
127.0,385.274126426248,
128.0,191.82347475278576,
129.0,559.426541776286,
130.0,547.0575659270585,
131.0,145.05442730855688,
132.0,243.48648451937242,
133.0,96.28615064089769,
134.0,749.62125181197,749.62125181197
135.0,570.5675881447044,
136.0,467.3639090389179,
137.0,399.1797068534971,
138.0,116.80632044144988,
139.0,373.90521471382397,
140.0,412.900570462812,
141.0,235.18848761786307,
142.0,259.66731644773375,
143.0,361.43026168533856,
144.0,67.6466057746264,
145.0,525.0946740337035,
146.0,125.51634451236173,
147.0,212.36908244337863,
148.0,286.5251912588251,
149.0,260.935455546108,
150.0,129.96058357207502,
151.0,80.58402136528822,
152.0,236.0144100586061,
153.0,204.08088387209486,
154.0,175.17658021934548,
155.0,243.59339115403412,
156.0,607.0723449004978,607.0723449004978
157.0,253.64897541401498,
158.0,239.87062516016704,
159.0,242.70912049512765,
160.0,33.977305883310486,
161.0,197.19985400626862,
162.0,208.7011459061413,
163.0,465.45402674713966,
164.0,535.2365089504699,535.2365089504699
165.0,291.6876898081985,
166.0,139.6150621636098,
167.0,65.42186359249725,
168.0,342.28127915110514,
169.0,120.20617528944568,
170.0,181.84468190583894,
171.0,346.8105875812456,
172.0,318.3584354826068,
173.0,349.71265843279133,
174.0,134.98377585991594,
175.0,430.71240460201415,
176.0,366.10013046808183,
177.0,455.2594874340465,
178.0,337.40045927817977,
179.0,180.29067907351921,
180.0,52.7442382763273,
181.0,518.0553364132649,518.0553364132649
182.0,261.5526467122836,
183.0,208.0764346759298,
184.0,403.9185275827268,
185.0,497.8638189957433,497.8638189957433
186.0,146.3351549641254,
187.0,183.66119425714882,
188.0,167.50849214662102,
189.0,307.8484563214304,
190.0,99.12425681681187,
191.0,395.03507847322635,
192.0,277.838135854128,
193.0,379.145570156286,
194.0,280.70820415196806,
195.0,368.2792757947357,
196.0,204.28739921416116,
197.0,240.13924502762407,
198.0,120.45116629856143,
199.0,153.46662440013552,
200.0,226.21119070487856,
201.0,159.93063112056888,
202.0,232.49652266967198,
203.0,359.7047386000466,
204.0,227.11442670726956,
205.0,406.11997684427854,
206.0,163.44414132444393,
207.0,250.68086922141774,
208.0,360.49018066836805,
209.0,95.4625805209265,
210.0,490.32757081474784,490.32757081474784
211.0,123.0735872410115,
212.0,241.07170736277098,
213.0,31.51327070469799,
214.0,42.08635865756547,
215.0,358.8533090182573,
216.0,171.65680307031937,
217.0,197.8616347917548,
218.0,487.88331243921067,487.88331243921067
219.0,186.09924642111886,
220.0,386.6274515643577,
221.0,58.241504017569476,
222.0,342.43634531068557,
223.0,285.5746061870417,
224.0,301.65052348223674,
225.0,149.65528314380148,
226.0,400.5702842463156,400.5702842463156
227.0,76.7291417247875,
228.0,12.296661702547702,
229.0,154.0948631626807,
230.0,349.01639764362085,
231.0,126.62675966263134,
232.0,370.50453551366644,
233.0,246.5784522905119,
234.0,135.70050778075046,
235.0,189.390613452063,
236.0,239.74365449637938,
237.0,303.29597708313827,
238.0,186.327714303233,
239.0,182.94150457755302,
240.0,205.85131262106094,
241.0,217.93820550426005,
242.0,129.60946174311422,
243.0,214.75721649919288,
244.0,172.09367608438407,
245.0,248.98264517625086,
246.0,279.7051593429503,
247.0,290.4842812946154,
248.0,313.93562447996146,
249.0,92.35372401287133,
250.0,116.39837832568479,
251.0,228.98537169177646,
252.0,57.82803371071515,
253.0,335.940775934745,
254.0,256.05058661192265,
255.0,150.64269969647407,
256.0,177.36261603862505,
257.0,488.79080835362697,
258.0,23.261095996455794,
259.0,212.89144068452364,
260.0,123.80319199213677,
261.0,431.86393994970206,
262.0,288.4000319646278,
263.0,326.82851440866665,
264.0,270.0871148396156,
265.0,184.95590938721423,
266.0,157.08586857533112,
267.0,274.92435536762247,
268.0,156.3735339883713,
269.0,286.08882690710453,
270.0,267.63896122624675,
271.0,64.43898583531946,
272.0,177.7677933750683,
273.0,80.9287442845709,
274.0,51.10129448999018,
275.0,142.44475114089897,
276.0,210.24534499940586,
277.0,210.6079861851066,
278.0,133.7397310226214,
279.0,186.70933652867504,
280.0,257.68079044117707,
281.0,85.18181614878324,
282.0,66.33898647666398,
283.0,157.20118266480807,
284.0,157.32379540676908,
285.0,226.0754640343389,
286.0,98.68524432295433,
287.0,210.9443757796555,
288.0,341.7172946959284,
289.0,159.59727874489656,
290.0,315.13072863533995,
291.0,325.39037084625414,
292.0,383.40369340363293,
293.0,241.7227762204513,
294.0,139.2248821106115,
295.0,109.2212689826045,
296.0,96.48370239324804,
297.0,263.2956365874076,
298.0,274.9333832553772,
299.0,156.70063644030054,
300.0,161.65274680162022,
301.0,323.5307141708622,
302.0,143.6985118197483,
303.0,99.6530188982628,
304.0,143.7266574963758,
305.0,219.55113240125954,
306.0,138.023580535536,
307.0,184.81593321032113,
308.0,303.47264839232935,
309.0,72.24002604212592,
310.0,146.38463938230228,
311.0,92.01547875075194,
312.0,122.81592086918897,
313.0,237.70628834996356,
314.0,132.1275108835267,
315.0,186.2119399709077,
316.0,262.28177062808214,
317.0,202.97226864856603,
318.0,134.55398123519703,
319.0,181.8219669362039,
320.0,84.23810259149738,
321.0,161.82473159848823,
322.0,48.85345332763286,
323.0,204.9934994049631,
324.0,214.31880929612603,
325.0,122.65128164955858,
326.0,101.3732193152157,
327.0,127.39929801369426,
328.0,174.63277635398038,
329.0,329.05637054290435,
330.0,210.31907479000523,
331.0,356.35150686471616,
332.0,57.78877287880599,
333.0,408.02092890863474,
334.0,276.25904621095276,
335.0,75.92140485529703,
336.0,218.893963546091,
337.0,110.31390190482124,
338.0,140.72170483887265,
339.0,172.59741027321726,
340.0,99.15608258212967,
341.0,93.28963366565422,
342.0,136.7270597683717,
343.0,234.62087462501884,
344.0,267.9945053037275,
345.0,153.83907451050084,
346.0,117.99210160400794,
347.0,53.22152636779808,
348.0,213.25981255373233,
349.0,176.86695517184975,
350.0,178.5552898164996,
351.0,256.89906211351934,
352.0,238.0964083802728,
353.0,260.62599197633176,
354.0,250.42802573895398,
355.0,276.46201711282015,
356.0,247.029274375831,
357.0,215.35361816419035,
358.0,158.40817954609602,
359.0,195.92237373077813,
360.0,360.6536722308298,
361.0,137.2331542828936,
362.0,546.5561098693743,
363.0,551.8151222746212,
364.0,1941.509581543347,1941.509581543347
365.0,1675.4662330411286,
366.0,1706.011656687233,
367.0,597.9232813009465,
368.0,432.2479402895699,
369.0,139.72246301689134,
370.0,350.21839483689575,
371.0,193.65917227281818,
372.0,123.02958529390725,
373.0,157.61390770654097,
374.0,394.2643059897345,
375.0,194.67605850826013,
376.0,136.72014066318323,
377.0,214.50408221776195,
378.0,215.24097077964475,
379.0,253.64694627672284,
380.0,114.2890740291512,
381.0,89.66228708109082,
382.0,261.16069695663595,
383.0,227.9885426402476,
384.0,105.38740024055807,
385.0,161.2129808873835,
386.0,348.6639909456099,
387.0,124.24857867289242,
388.0,101.23884358613746,
389.0,165.60502316789982,
390.0,48.02874447106486,
391.0,159.32078381186125,
392.0,267.0710291267014,
393.0,133.46409381582154,
394.0,188.92654525636217,
395.0,155.19551521357974,
396.0,59.37460554826804,
397.0,187.8085772712968,
398.0,194.39993475366484,
399.0,196.4203264834467,
400.0,130.22458200402485,
401.0,471.9792157531107,
402.0,223.6528463910385,
403.0,256.1299607614288,
404.0,256.2987199207637,
405.0,70.22975049645648,
406.0,97.73689418366074,
407.0,165.00049882911603,
408.0,148.4922448033991,
409.0,166.84632288641868,
410.0,10.624588668167025,
411.0,116.74509557508101,
412.0,175.2093893758432,
413.0,74.46948041940243,
414.0,59.886247099720094,
415.0,225.18994606783514,
416.0,143.50385304055496,
417.0,114.36792374567779,
418.0,157.94959111683997,
419.0,148.72317363634943,
420.0,120.34520134418882,
421.0,68.43119821063326,
422.0,15.440347912591415,
423.0,254.80900015419084,
424.0,87.10036714836048,
425.0,79.43274412015892,
426.0,77.74963818427234,
427.0,209.25776645177814,
428.0,37.036458503995235,
429.0,152.48952766643396,
430.0,35.50062350159015,
431.0,261.2568162419884,
432.0,163.8912496664271,
433.0,258.40863729564813,
434.0,119.16780993046336,
435.0,79.9801032818807,
436.0,45.47160371274632,
437.0,19.81662595730749,
438.0,119.76063045990387,
439.0,176.77535415621452,
440.0,155.1906106652066,
441.0,184.55206963955763,
442.0,253.42459181359683,
443.0,187.87033782092493,
444.0,81.18936621632633,
445.0,255.8415166809096,
446.0,83.47294668269238,
447.0,308.7826942501208,
448.0,269.23451641358963,
449.0,55.32216088771864,
450.0,75.40288400953824,
451.0,187.33857683591285,
452.0,174.92611072914588,
453.0,137.179129010184,
454.0,233.06954420756662,
455.0,80.26204243473931,
456.0,176.63168990700672,
457.0,46.19235620598677,
458.0,136.92208745321054,
459.0,136.0966798692817,
460.0,382.21706178236025,
461.0,82.91809812775416,
462.0,256.111939426477,
463.0,127.47897914681548,
464.0,197.17442373222482,
465.0,148.18622769654345,
466.0,102.26565940699169,
467.0,232.43636604552296,
468.0,146.25632096928408,
469.0,152.483041656866,
470.0,89.00764747812342,
471.0,366.3467771727721,
472.0,132.2530459751513,
473.0,269.34207925719454,
474.0,69.65282094823745,
475.0,77.53156732044816,
476.0,175.50656017154148,
477.0,195.8662045011834,
478.0,107.43981948806865,
479.0,224.6862919595902,
480.0,260.62763276342383,
481.0,169.76817921915318,
482.0,125.03090727036353,
483.0,107.20345349941691,
484.0,159.5882983019162,
485.0,35.58993864843539,
486.0,162.91649318580005,
487.0,175.97558876271674,
488.0,135.71275518487747,
489.0,146.61316169207382,
490.0,138.97912278773765,
491.0,94.23592902719568,
492.0,101.91771947383673,
493.0,8.539895480597224,
494.0,121.08030747241801,
495.0,205.64373720584038,
496.0,111.73300125882643,
497.0,95.99365846485517,
498.0,100.41120202550537,
499.0,64.57928746550772,
500.0,18.623719080312064,
501.0,123.56745046239088,
502.0,201.73498556698217,
503.0,135.09883998089745,
504.0,196.25122546869628,
505.0,127.85607389987703,
506.0,146.21959159010893,
507.0,122.36032927661063,
508.0,116.7928199920776,
509.0,54.68436466939492,
510.0,57.93165308171217,
511.0,100.69904872984972,
512.0,124.12658794154328,
513.0,144.5859394792803,
514.0,148.74317850587943,
515.0,68.60493493473288,
516.0,161.6194152004229,
517.0,72.0373994757058,
518.0,55.41593028216254,
519.0,54.456012799628255,
520.0,126.38345799609536,
521.0,144.3213220340737,
522.0,65.65311179204708,
523.0,139.00335501647956,
524.0,46.39756711370198,
525.0,79.60791847406546,
526.0,51.81251943517263,
527.0,168.873837484953,
528.0,119.91343563141481,
529.0,85.7904630280717,
530.0,41.22818142054565,
531.0,57.00831045564065,
532.0,136.4701186232293,
533.0,66.50692942522863,
534.0,80.95608010632994,
535.0,146.2056095439615,
536.0,103.51394312950848,
537.0,56.22710778333979,
538.0,59.88888454972786,
539.0,125.98423544675947,
540.0,122.4656039641754,
541.0,68.24722674717371,
542.0,127.60607099386873,
543.0,116.70578757924115,
544.0,146.84030941606997,
545.0,193.98488134413168,
546.0,156.7359486707023,
547.0,98.10198062496539,
548.0,89.64696396524869,
549.0,18.225629876414384,
550.0,95.81743921179574,
551.0,92.10253841358218,
552.0,138.72886945115363,
553.0,178.77919303760407,
554.0,128.38912781526824,
