,f,max
0.0,68.21215405883282,
1.0,4534.237915748875,
2.0,1299.1222904403714,
3.0,1455.5747726216032,
4.0,656.1859218150719,
5.0,1242.514259581552,
6.0,940.2323505693168,
7.0,944.3842653333903,
8.0,303.29587162043964,
9.0,987.3722019530884,
10.0,914.5992610923776,
11.0,400.26219472424555,
12.0,1306.1953438711137,
13.0,782.8922631291905,
14.0,481.74699373050873,
15.0,736.5571588855184,
16.0,414.61165902439717,
17.0,614.9476282142283,
18.0,436.7213836111298,
19.0,386.4768100423833,
20.0,374.85394546061343,
21.0,444.7882655974611,
22.0,579.8593767661549,
23.0,1118.8190374075093,
24.0,501.0036178496642,
25.0,152.94742678410375,
26.0,379.59339070128004,
27.0,913.6154278470301,
28.0,783.804838601273,
29.0,322.1662001172675,
30.0,1227.873154924312,
31.0,874.8139917435419,
32.0,754.3710168138284,
33.0,613.0275798188119,
34.0,678.0276692797382,
35.0,355.20485508062796,
36.0,942.2450012107843,
37.0,423.24408306080153,
38.0,515.7250647321515,
39.0,818.7477325366277,
40.0,647.4169423264066,
41.0,293.49892418473553,
42.0,128.1253450846096,
43.0,397.74646134067916,
44.0,1401.2645391294006,1401.2645391294006
45.0,740.7482178947134,
46.0,1091.3412121102792,1091.3412121102792
47.0,694.6591228709598,694.6591228709598
48.0,673.6023467409648,673.6023467409648
49.0,9.35525737694293,
50.0,933.6488812689468,
51.0,229.4629649625333,
52.0,912.7732757906106,
53.0,520.6679790154718,
54.0,628.7932465184581,
55.0,540.787019805126,
56.0,1037.1550220515094,1037.1550220515094
57.0,498.6805609607249,
58.0,147.02212372699114,
59.0,252.94830597275177,
60.0,387.916361832346,
61.0,767.9342529845326,
62.0,488.49506171863317,
63.0,169.87183208039835,
64.0,443.0174673210031,
65.0,250.39376066943905,
66.0,592.240691691616,
67.0,407.3434688160384,
68.0,719.6367326975923,
69.0,499.8173279944235,
70.0,682.1743093396177,
71.0,48.1485768653763,
72.0,445.3196997851098,
73.0,308.45877665972614,
74.0,387.4683597234348,
75.0,795.3812002270479,795.3812002270479
76.0,717.8601902882322,717.8601902882322
77.0,87.18854995738471,
78.0,516.7269935245769,
79.0,404.5700966552552,
80.0,441.3235969083712,
81.0,612.7883316374225,
82.0,475.6043235413855,
83.0,640.0106576062645,
84.0,434.99793275551707,
85.0,223.45078762546632,
86.0,210.29675074278433,
87.0,308.73820090080187,
88.0,336.37270636697764,
89.0,320.4454368736433,
90.0,460.9477084448469,
91.0,74.71485419769603,
92.0,413.56327789937916,
93.0,61.64853791122445,
94.0,210.4278634759639,
95.0,538.8940504211423,
96.0,449.19472348042666,
97.0,463.36940422490756,
98.0,248.4985229676515,
99.0,274.34583642401145,
100.0,435.95505215369724,
101.0,496.9154909483575,
102.0,404.1319555697467,
103.0,544.0068662608268,
104.0,518.3880268927572,
105.0,266.07929456142955,
106.0,383.02687734224236,
107.0,435.13319802412474,
108.0,263.32862544220166,
109.0,222.13857440301513,
110.0,216.91902243005353,
111.0,253.82936192622523,
112.0,425.3321434253983,
113.0,258.2439844474155,
114.0,292.53310005667294,
115.0,288.8961341261923,
116.0,256.99356561471654,
117.0,253.58618911362177,
118.0,360.27935510694647,
119.0,309.74937591723767,
120.0,452.6645119398497,
121.0,497.32588819210156,
122.0,458.1601721518721,
123.0,308.78745966764046,
124.0,520.3229924375989,
125.0,179.21117187810276,
126.0,451.4927998616157,
127.0,423.89939080653505,
128.0,178.80996597599102,
129.0,557.8563286297922,
130.0,558.9163939537297,
131.0,184.44986937176185,
132.0,248.65013844540925,
133.0,145.70777062129952,
134.0,706.9856916649466,706.9856916649466
135.0,560.0043294073125,560.0043294073125
136.0,430.39965407504815,
137.0,380.386135643007,
138.0,100.57386554605937,
139.0,352.8264274117497,
140.0,423.4891849640492,
141.0,225.08482675185402,
142.0,288.4272527513929,
143.0,387.2912353423958,
144.0,79.706601159651,
145.0,500.49203162586315,
146.0,135.86652894609875,
147.0,239.49427421646257,
148.0,311.54231982669177,
149.0,251.20778292889503,
150.0,165.34764238144388,
151.0,78.6431700961099,
152.0,232.71585084355593,
153.0,185.01344589749493,
154.0,203.16067352041355,
155.0,311.19845609635667,
156.0,407.9312466497823,
157.0,372.99058280437816,
158.0,234.73597545400355,
159.0,287.6680830214683,
160.0,69.13691551900018,
161.0,196.77257551020637,
162.0,228.67187029611753,
163.0,463.08786714517686,
164.0,554.0295392666044,554.0295392666044
165.0,280.8291594397612,
166.0,126.0291375489467,
167.0,74.24570600493024,
168.0,328.8831750443612,
169.0,122.72489490149803,
170.0,152.71061966369373,
171.0,360.9768794137294,
172.0,318.2795638026173,
173.0,353.49678703610215,
174.0,97.10619222739336,
175.0,417.63184477786575,
176.0,382.18657748283977,
177.0,432.044837031926,
178.0,319.5398119548588,
179.0,206.9328728957567,
180.0,46.89445989468065,
181.0,535.5206432277638,535.5206432277638
182.0,268.53321845352036,
183.0,193.0894791443039,
184.0,396.01210331142033,
185.0,474.14128685175706,474.14128685175706
186.0,182.2961701301209,
187.0,196.84595845604346,
188.0,181.3917451272337,
189.0,331.3123608616833,
190.0,108.06222395996737,
191.0,402.65950105568686,
192.0,271.0738346792346,
193.0,361.7648194564331,
194.0,286.82956768716457,
195.0,350.130927568048,
196.0,208.68593485054527,
197.0,242.70509073221535,
198.0,140.62448271158712,
199.0,165.8705326874212,
200.0,226.30951247150645,
201.0,168.67933111013662,
202.0,222.1537067822054,
203.0,362.4008354316828,
204.0,222.04847809129458,
205.0,410.1370589153006,
206.0,120.5948850874858,
207.0,220.21317199370762,
208.0,426.0463670289934,
209.0,150.226411154815,
210.0,451.57237233754057,451.57237233754057
211.0,84.29330736032904,
212.0,247.60200465470882,247.60200465470882
213.0,30.41687023456315,
214.0,35.724596040040474,
215.0,351.15862188550506,
216.0,151.14686808796537,
217.0,182.96353177454475,
218.0,463.0993055076124,
219.0,175.40360503384287,
220.0,383.28689576500204,
221.0,51.40965432926487,
222.0,339.39759918378144,
223.0,268.3517187635803,
224.0,291.6728075978935,
225.0,153.0146353444536,
226.0,384.40791493994993,
227.0,81.24088658065692,
228.0,50.765843132231154,
229.0,162.37036029344216,
230.0,349.90587656113394,
231.0,131.5178930955519,
232.0,380.64926326995686,
233.0,248.28910844442748,
234.0,131.94121512691822,
235.0,180.00407969595096,
236.0,244.39290345321322,
237.0,312.4049981637618,
238.0,164.6242683423818,
239.0,159.16925242188404,
240.0,193.74927909602658,
