,AT0 0
0,-20160.936201690547
1,-20042.95782262733
2,-20023.948450229356
3,-19916.709621378937
4,-19910.388027317695
5,-19901.06531710765
6,-19823.232017362752
7,-19804.42976299645
8,-19787.61483273734
9,-19729.380336684488
10,-19693.320993853074
11,-19675.345179724485
12,-19625.275265726486
13,-19621.171582826595
14,-19615.75704515417
15,-19605.198463690944
16,-19569.63004188045
17,-19528.51974530907
18,-19468.32119294166
19,-19467.53066841015
20,-19442.171549023333
21,-19418.3532247357
22,-19418.20307522066
23,-19370.25206728842
24,-19325.65927684935
25,-19304.08045534294
26,-19248.583510959375
27,-19233.08076807444
28,-19224.126014026333
29,-19215.960629948262
30,-19204.158056915505
31,-19200.169272836556
32,-19191.30155128102
33,-19184.50250553958
34,-19160.525112618987
35,-19158.370313522566
36,-19143.5358441914
37,-19083.734309839627
38,-19034.221873736748
39,-19024.53315157594
40,-19009.21151080584
41,-19002.53843276955
42,-18996.136089846856
43,-18921.42189854377
44,-18863.618005090015
45,-18849.88567798731
46,-18840.20604494302
47,-18811.12280567322
48,-18804.5069685299
49,-18786.95282713123
50,-18784.72518996207
51,-18784.000412044574
52,-18778.189680899355
53,-18770.137451117305
54,-18758.281860700386
55,-18689.993118623075
56,-18687.70641053308
57,-18672.761002417217
58,-18666.534330818835
59,-18661.393891686945
60,-18647.820485914872
61,-18646.924731860094
62,-18644.189609100184
63,-18633.46740621716
64,-18627.136247805378
65,-18619.673085756844
66,-18599.22833948355
67,-18539.720416509273
68,-18531.840083633146
69,-18523.19186011232
70,-18512.76752869565
71,-18495.5690939567
72,-18491.12175632442
73,-18479.043647400773
74,-18459.15630408555
75,-18422.217440838343
76,-18410.983336814978
77,-18386.54290551205
78,-18350.069225587333
79,-18335.445103350652
80,-18327.857133174326
81,-18275.970270176116
82,-18273.30633690276
83,-18267.84672819918
84,-18243.96150330054
85,-18212.27972057357
86,-18202.504880105538
87,-18193.39233930257
88,-18186.97615287428
89,-18156.39140204776
90,-18131.433658710368
91,-18087.406943367725
92,-18080.320284490477
93,-18055.11955928641
94,-18048.14039552079
95,-18012.3293847
96,-18006.606123056932
97,-17971.19846502781
98,-17966.343729581138
99,-17965.291444631817
100,-17959.383723214654
101,-17954.494365102037
102,-17906.055642012434
103,-17883.966088674795
104,-17875.47787067912
105,-17867.568075875322
106,-17853.10784825038
107,-17849.96828783737
108,-17838.780860083814
109,-17836.62116039359
110,-17833.04492543566
111,-17831.81805315524
112,-17805.97267721546
113,-17777.797007735062
114,-17751.076135890893
115,-17750.62003460077
116,-17740.072339491468
117,-17726.54256620795
118,-17715.76233381951
119,-17712.75789069043
120,-17712.627717417126
121,-17687.61837452914
122,-17642.982479233935
123,-17636.58833366706
124,-17610.592761254487
125,-17610.55710299117
126,-17593.025361196454
127,-17588.505030243712
128,-17577.76260982385
129,-17559.810674201668
130,-17552.336349076162
131,-17548.707323932824
132,-17541.01614922724
133,-17518.25917841314
134,-17508.705185844265
135,-17471.010052424226
136,-17439.281421686894
137,-17400.9215708303
138,-17375.871559752315
139,-17375.097168596207
140,-17360.5059715102
141,-17358.074653401567
142,-17327.40003935203
143,-17296.696289121497
144,-17258.27451659598
145,-17225.878498241953
146,-17223.289643932512
147,-17218.452940546267
148,-17213.14295999085
149,-17181.677950737256
150,-17176.164374954173
151,-17166.559739216384
152,-17157.078200135817
153,-17150.40511594174
154,-17134.940832808286
155,-17118.197810670074
156,-17113.988314878952
157,-17095.194047320394
158,-17091.829520445473
159,-17090.92905748737
160,-17065.448410503046
161,-17063.395125960225
162,-17045.413285493283
163,-17027.864702928142
164,-17017.673337968627
165,-17013.314902226135
166,-17000.920499106047
167,-16994.020580991208
168,-16955.55044657029
169,-16941.873011970776
170,-16931.765439232084
171,-16914.26474241373
172,-16903.89623245256
173,-16902.985381828134
174,-16892.539253196323
175,-16884.545272832613
176,-16877.402878358283
177,-16824.191065317384
178,-16804.980570084863
179,-16793.00387119453
180,-16789.652141472947
181,-16781.206735805645
182,-16777.733092250273
183,-16760.845168433676
184,-16741.864512022745
185,-16722.93680918584
186,-16707.534190000006
187,-16675.834018222595
188,-16671.146773635082
189,-16653.123196909026
190,-16651.79135012959
191,-16642.83638815002
192,-16629.73518942636
193,-16628.509436068678
194,-16602.421610914138
195,-16586.532394611633
196,-16569.22124412235
197,-16565.73181022772
198,-16558.701869649165
199,-16558.349085835784
200,-16541.910885532023
201,-16538.044408085407
202,-16521.816543672157
203,-16513.046063623937
204,-16506.683316593244
205,-16505.84317420392
206,-16495.87980774659
207,-16492.462018170336
208,-16488.33972155652
209,-16470.32802260587
210,-16468.704898941796
211,-16437.183660753348
212,-16434.464624340602
213,-16429.1249688271
214,-16403.749466678426
215,-16396.6761428682
216,-16387.93466248997
217,-16364.477835522779
218,-16351.56119135818
219,-16350.006444585288
220,-16323.779669572588
221,-16320.89131000829
222,-16310.290332656174
223,-16308.552342529625
224,-16304.493751710505
225,-16260.958771181187
226,-16252.272396571747
227,-16242.53942392976
228,-16227.630872224583
229,-16221.488788568104
230,-16197.483838506587
231,-16187.678276926295
232,-16187.193979574198
233,-16167.53004698769
234,-16165.661518447567
235,-16164.92672365968
236,-16164.56687546389
237,-16153.20885980639
238,-16150.467989673936
239,-16124.756297766506
240,-16091.327720150017
241,-16089.506775824033
242,-16089.042328481719
243,-16088.805607056793
244,-16062.891200911501
245,-16045.73200162235
246,-16044.344753273224
247,-16035.50009104984
248,-16001.511377009292
249,-15994.093194320925
250,-15991.359115239704
251,-15977.593645056526
252,-15971.456223750896
253,-15968.494273652661
254,-15967.469312481531
255,-15924.030222597043
256,-15911.57973040932
257,-15891.19182757995
258,-15889.0299913733
259,-15885.538967989401
260,-15871.625931791636
261,-15867.689513773823
262,-15865.334359831233
263,-15861.489146409396
264,-15857.635118594037
265,-15852.34600834593
266,-15844.032978766072
267,-15838.110151646824
268,-15836.933216016467
269,-15832.38650262206
270,-15817.466771920008
271,-15796.682543828363
272,-15778.92256584012
273,-15764.525540052511
274,-15757.383684770053
275,-15730.209909619773
