,AT0 0
0,32477.00601707072
1,32398.22433644101
2,32294.672152416515
3,32086.231655022544
4,31520.154143025986
5,31503.659904517823
6,31291.739337417384
7,31284.503692545797
8,31273.730711803903
9,30905.680571138993
10,30905.437300050893
11,30850.419859843532
12,30823.52492785261
13,30702.32282788535
14,30695.19314652226
15,30508.776569536345
16,30506.151393521475
17,30358.218441640718
18,30248.775088867566
19,30103.073234576994
20,30080.91169906508
21,30063.36096242006
22,30017.001793612428
23,29948.574831956164
24,29934.32358004125
25,29881.333566930083
26,29846.250254760114
27,29806.998818439803
28,29796.026646956325
29,29705.40927863868
30,29677.267393541028
31,29596.450245570544
32,29555.58999231643
33,29548.452530635208
34,29415.65928974446
35,29410.591493607822
36,29406.542763129968
37,29373.72227247656
38,29338.21300650332
39,29236.79474536868
40,29233.904783840506
41,29177.015400844324
42,29172.35972530079
43,29166.102855600227
44,29137.33268760706
45,29132.61783262949
46,29123.701894217076
47,29091.857383394155
48,29080.278603303504
49,29059.152851050363
50,29046.25016398943
51,29035.767685730163
52,29008.541133916977
53,29005.79480430596
54,28991.979693589026
55,28885.10066534597
56,28874.15246931429
57,28867.420750795034
58,28848.202071488766
59,28820.795777585896
60,28786.186498499665
61,28766.545934320016
62,28750.52783025235
63,28748.223394596687
64,28711.501582738623
65,28704.739507822196
66,28650.977235735998
67,28628.64605470361
68,28626.226428649727
69,28620.795528010764
70,28602.763799215365
71,28537.94441933409
72,28534.36457088044
73,28501.757567407527
74,28413.230481047314
75,28389.14689759867
76,28373.541179131436
77,28363.998980236523
78,28339.157738633512
79,28330.968481753764
80,28310.702003582035
81,28281.13015553364
82,28244.46542970241
83,28227.215949391073
84,28199.85703042327
85,28199.19098801577
86,28176.600654007125
87,28171.796419014
88,28163.218144455295
89,28157.548756322944
90,28145.027113455446
91,28043.463654527775
92,28041.455478749453
93,28031.79533280855
94,28007.17783173168
95,27958.178313495562
96,27949.968280981277
97,27936.239013649236
98,27931.586977055136
99,27923.7264041874
100,27880.24631750782
101,27847.51864099152
102,27828.40507280995
103,27824.03794660853
104,27801.681994790062
105,27786.953265863194
106,27719.497164490764
107,27719.18228594612
108,27709.067334381525
109,27695.94010787071
110,27691.24875488769
111,27652.309318106396
112,27651.050794515744
113,27635.751431930632
114,27626.646270087127
115,27615.143734150777
116,27596.828016630177
117,27554.675033027772
118,27549.65196132983
119,27547.710737256384
120,27513.971585915886
121,27496.223126710593
122,27484.280671075954
123,27475.840426445062
124,27473.625927226625
125,27469.94253952909
126,27469.47057766379
127,27465.592745324702
128,27427.864530615418
129,27413.838226729677
130,27394.386728195783
131,27380.67691191953
132,27338.223217352537
133,27333.220371104617
134,27331.019704064798
135,27290.771729307075
136,27265.078370721894
137,27254.137064789567
138,27239.466939835664
139,27211.757919282587
140,27196.50576741425
141,27181.70158834926
142,27172.836047596164
143,27165.900392069867
144,27165.676727252074
145,27158.213767055408
146,27155.785333095417
147,27152.197357696125
148,27131.016373464816
149,27121.229105043374
150,27087.315559722
151,27077.603059425634
152,27072.51806406764
153,27065.136969771796
154,27037.69875501498
155,27035.992311189653
156,27032.282183617586
157,27019.36367441038
158,27013.018384479954
159,27007.981120472265
160,26998.023253498566
161,26996.838388572374
162,26995.5338199909
163,26986.24313205805
164,26974.68759879802
165,26939.793081806307
166,26924.62276501737
167,26902.214640411778
168,26898.839170783245
169,26897.047608502282
170,26887.248513194085
171,26882.834227018724
172,26865.71895991443
173,26864.6210001754
174,26859.421537699556
175,26849.674797494285
176,26835.830532365875
177,26833.91784141258
178,26809.456943764053
179,26794.244672910772
180,26768.83742359647
181,26760.571656468917
182,26747.164310251246
183,26717.55230513968
184,26697.794340189877
185,26689.09529026807
186,26625.779072529043
187,26621.062568322905
188,26616.550111225013
189,26605.51890339791
190,26604.534307632315
191,26557.869258819588
192,26554.680072795058
193,26538.308219105336
194,26537.80803027008
195,26534.795442278315
196,26527.85512927046
197,26522.258558014837
198,26507.766988492393
199,26497.218428328553
200,26491.169153365023
201,26489.84320130978
202,26468.23130244996
203,26451.445749457165
204,26429.8866254301
205,26429.539658539517
206,26428.65291507668
207,26399.35404438583
208,26396.012745111333
209,26389.775473354894
210,26386.939360063083
211,26364.449419124012
212,26359.053729433504
213,26329.126081944552
214,26307.198822884748
215,26294.91213917836
216,26285.05399606532
217,26270.351366123294
218,26263.978205090643
219,26243.837454529854
220,26234.509423267322
221,26201.562721647413
222,26177.41435315591
223,26176.530692105935
224,26165.137778361433
225,26151.395819124737
226,26151.014757932433
227,26141.912314921283
228,26140.833303840962
229,26130.706224991845
230,26125.005083987628
231,26118.946222283175
232,26116.76516461087
233,26105.946779218255
234,26095.90578544927
235,26094.972228643688
236,26084.137602918105
237,26063.27688481597
238,26061.669025488132
239,26060.258621308058
240,26059.52577253078
241,26049.44996714301
242,26042.061366832542
243,26011.943328273213
244,25961.35886504858
245,25924.11859141196
246,25919.034940589103
247,25917.918562354076
248,25890.427902195814
249,25874.011091052933
250,25870.282048379657
251,25866.722594674557
252,25866.605801214057
253,25864.194490345748
254,25847.11534435955
255,25835.806531656403
256,25831.881067785325
257,25829.984102305458
258,25828.965018486295
259,25828.621787188644
260,25819.254236256696
261,25817.126417580323
262,25811.608488545076
263,25807.260956677328
264,25803.9126620921
265,25793.83338260519
266,25791.497521714395
267,25762.434691615686
268,25754.21084211574
269,25752.747799544646
270,25750.404975806865
271,25731.1080951372
272,25719.95988375904
273,25704.368377194944
274,25693.695449404968
275,25690.73089267663
276,25685.44210038409
277,25677.9021060054
278,25660.977257978346
279,25647.781056233536
280,25628.892523705228
281,25618.91636527996
282,25611.03657866431
283,25610.002628974045
284,25605.374129355667
285,25572.304352267343
286,25560.234982047434
287,25541.20577909778
288,25523.296121134852
289,25522.135224717073
290,25518.74822773478
291,25517.07509289821
292,25495.99109238531
293,25484.146714935887
294,25480.61491380976
295,25467.148072604792
296,25438.299007447305
297,25407.605717513386
298,25405.196944827363
299,25398.95224559062
300,25389.951520277682
301,25366.44939881977
302,25363.006843094307
303,25340.53791078619
304,25330.316166990084
305,25322.392325699726
306,25312.178867204202
307,25312.053763383425
308,25308.741057082287
309,25303.556772414195
310,25284.906341326776
311,25283.506035156468
312,25265.33742011655
313,25262.658369883287
314,25254.59851554379
315,25228.626395368898
316,25224.57626244166
317,25213.913523618496
318,25188.891447909235
319,25182.301328591326
320,25162.151824623237
