,Anfang,Ende,RES,EE,Wechsel_EE-RES,Delta_t,Delta_E,LV_kurz,LV_lang,P_kurz,P_lang,Anteil_kurz,Anteil_lang
0,0,68,414532.9133508847,0,0,68,414532.9133508847,0.0,414532.9133508847,0.0,6096.072255160069,0.0,1.0
1,68,80,264.6616643395082,-22143.455372561177,79,12,-21878.793708221667,264.6616643395082,-22408.117036900687,22.055138694959016,-1867.3430864083905,0.01167310226183398,0.988326897738166
2,80,82,16.612025730013556,-1129.7611300732187,81,2,-1113.1491043432052,16.612025730013556,-1146.3731558032323,8.306012865006778,-573.1865779016161,0.014283953049266496,0.9857160469507334
3,82,91,12006.696929750029,-116.9826544077223,83,9,11889.714275342307,116.9826544077223,12123.679584157751,12.998072711969144,1347.0755093508612,0.009556889335542348,0.9904431106644577
4,91,137,80814.01003403094,-158387.52240815095,123,46,-77573.51237412001,80814.01003403094,-239201.5324421819,1756.8263050876292,-5200.033313960476,0.2525315158404781,0.7474684841595218
5,137,183,5770.775411839879,-177387.59788264564,174,46,-171616.82247080575,5770.775411839879,-183158.37329448553,125.45163938782345,-3981.7037672714246,0.03054465365114235,0.9694553463488575
6,183,211,15116.962503856057,-76008.82428905231,203,28,-60891.861785196255,15116.962503856057,-91125.78679290837,539.8915179948592,-3254.4923854610133,0.14228700409126588,0.8577129959087341
7,211,231,164994.17787056245,-1595.4369677280538,213,20,163398.7409028344,1595.4369677280538,166589.6148382905,79.7718483864027,8329.480741914525,0.009486199579545277,0.9905138004204548
8,231,245,10409.172751274851,-24100.85616379619,241,14,-13691.683412521339,10409.172751274851,-34510.028915071045,743.5123393767751,-2465.0020653622173,0.23173102738095971,0.7682689726190404
9,245,250,3105.0815353583166,-9389.651455678568,249,5,-6284.569920320251,3105.0815353583166,-12494.732991036884,621.0163070716633,-2498.946598207377,0.19904605468894876,0.8009539453110512
10,250,278,32609.025772013367,-50095.80626360498,273,28,-17486.780491591613,32609.025772013367,-82704.83203561834,1164.6080632861917,-2953.7440012720836,0.28278496957765675,0.7172150304223432
11,278,280,305.94382633562054,-868.437037826594,279,2,-562.4932114909734,305.94382633562054,-1174.3808641622145,152.97191316781027,-587.1904320811072,0.20667346042355833,0.7933265395764417
12,280,301,3764.5471429327745,-35987.292375926685,299,21,-32222.74523299391,3764.5471429327745,-39751.83951885946,179.26414966346545,-1892.9447389933075,0.08650872537259809,0.913491274627402
13,301,323,4000.685372769971,-31328.539036694674,317,22,-27327.853663924703,4000.685372769971,-35329.224409464645,181.84933512590777,-1605.8738367938474,0.10172119374087878,0.8982788062591213
