,0
2013-01-01,152558.35351754818
2013-01-02,143688.60257316259
2013-01-03,102207.51307517581
2013-01-04,-19654.498500275688
2013-01-05,-135774.288622609
2013-01-06,552.4261714694421
2013-01-07,-93354.76348425649
2013-01-08,-47906.68735219931
2013-01-09,13409.327866431031
2013-01-10,109004.24603163404
2013-01-11,-32446.848860445076
2013-01-12,4928.523890137383
2013-01-13,-41085.52287285555
2013-01-14,-25640.20731480595
2013-01-15,-42067.403988279344
2013-01-16,-13320.523384085871
2013-01-17,-18280.511040069614
2013-01-18,67524.8510156812
2013-01-19,254497.60323414044
2013-01-20,240609.11555982428
2013-01-21,296357.86359388375
2013-01-22,103735.33937685197
2013-01-23,-44046.406611265294
2013-01-24,-57463.84344522963
2013-01-25,-80406.30889707885
2013-01-26,191789.3106745359
2013-01-27,194817.73927639326
2013-01-28,214815.11582091727
2013-01-29,189006.9902324028
2013-01-30,223420.7747104828
2013-01-31,196107.02596908846
2013-02-01,10131.221462744386
2013-02-02,64500.32119821776
2013-02-03,21917.13750867521
2013-02-04,138215.52395339994
2013-02-05,212419.1551890335
2013-02-06,93006.79343944785
2013-02-07,-21129.025606985495
2013-02-08,-25653.980675413848
2013-02-09,-74765.24368129685
2013-02-10,121734.29779952967
2013-02-11,225761.2135502018
2013-02-12,8866.195396970066
2013-02-13,-90986.34735780004
2013-02-14,84009.61791138613
2013-02-15,-23968.37241571844
2013-02-16,-67559.65389533188
2013-02-17,-67294.99839375084
2013-02-18,-22934.254073059434
2013-02-19,118982.03905100665
2013-02-20,94430.1200486861
2013-02-21,30929.92428089392
2013-02-22,96073.22494900762
2013-02-23,247306.44923558334
2013-02-24,228317.5383757866
2013-02-25,169786.5233918685
2013-02-26,-6882.0659482023475
2013-02-27,-75629.59887986604
2013-02-28,47636.09684410402
2013-03-01,80158.86569721394
2013-03-02,103608.1498032332
2013-03-03,25626.62583570677
2013-03-04,77958.99782556025
2013-03-05,-19365.81021568815
2013-03-06,-99877.06011681772
2013-03-07,212691.03788108483
2013-03-08,215297.7694102501
2013-03-09,217768.68498736178
2013-03-10,195340.61835232459
2013-03-11,105836.5643833983
2013-03-12,-33046.75355077398
2013-03-13,-116019.63883875315
2013-03-14,-205881.49454879866
2013-03-15,-150132.85325371003
2013-03-16,255068.16909855232
2013-03-17,173259.4198417664
2013-03-18,227366.7218141539
2013-03-19,128388.86567263147
2013-03-20,99832.83857087234
2013-03-21,10329.669563535683
2013-03-22,204442.621418148
2013-03-23,239041.02635562595
2013-03-24,212575.74048854294
2013-03-25,277607.479851686
2013-03-26,278418.7090783457
2013-03-27,188798.8786229698
2013-03-28,-25874.0275198901
2013-03-29,65026.61892850993
2013-03-30,33830.283995582686
2013-03-31,43383.54142477637
2013-04-01,62525.106063919884
2013-04-02,156065.173501891
2013-04-03,159339.46074029105
2013-04-04,174787.71133450043
2013-04-05,27195.832142424613
2013-04-06,-4379.3403499165925
2013-04-07,22420.267348892143
2013-04-08,40487.739253936576
2013-04-09,267303.33498491184
2013-04-10,125959.1891900534
2013-04-11,34668.44122620899
2013-04-12,106560.08339077533
2013-04-13,60440.625804420524
2013-04-14,187865.40178859548
2013-04-15,70402.44929482663
2013-04-16,-20676.33345680941
2013-04-17,20282.96967625414
2013-04-18,205605.42781698742
2013-04-19,60963.2561433492
2013-04-20,-31982.966425033912
2013-04-21,-113152.47610140283
2013-04-22,-211080.0243701201
2013-04-23,53305.23910487452
2013-04-24,-19072.13921186189
2013-04-25,-64901.08799889223
2013-04-26,-210274.6805305073
2013-04-27,-150987.0158010174
2013-04-28,-95217.84092726109
2013-04-29,106624.6018621877
2013-04-30,-113281.69181397761
2013-05-01,-177776.49916512612
2013-05-02,-243863.49245992565
2013-05-03,-287408.4939277559
2013-05-04,-137227.8040969083
2013-05-05,-201083.78143710527
2013-05-06,-326920.1838747931
2013-05-07,-274261.1842559504
2013-05-08,-218509.42252181724
2013-05-09,-232485.1342160717
2013-05-10,-172399.87419187056
2013-05-11,-121869.8432666695
2013-05-12,-112739.82371930806
2013-05-13,-22065.18974277174
2013-05-14,-63879.394244985124
2013-05-15,-101832.31581958248
2013-05-16,-180149.37449241214
2013-05-17,-247445.67021420525
2013-05-18,-140578.374956513
2013-05-19,-187798.73546102515
2013-05-20,-147545.19997051274
2013-05-21,-122418.25150452112
2013-05-22,161095.09674764497
2013-05-23,-64987.284181786315
2013-05-24,-261917.82307116056
2013-05-25,28813.10611023381
2013-05-26,89768.0843674231
2013-05-27,-119756.7588355873
2013-05-28,-244342.5514585804
2013-05-29,-131935.39016496364
2013-05-30,-92059.62615853078
2013-05-31,167045.12838668455
2013-06-01,90126.66238593878
2013-06-02,82084.75483152145
2013-06-03,-103570.52059142849
2013-06-04,-244575.047028391
2013-06-05,-333993.5412726597
2013-06-06,-318776.8487729252
2013-06-07,-278477.42868374847
2013-06-08,-235765.20168402468
2013-06-09,-268159.9202746601
2013-06-10,-332539.5227430337
2013-06-11,-348140.54569647665
2013-06-12,-105705.33280528913
2013-06-13,70559.2984906648
2013-06-14,-114427.77611794841
2013-06-15,27923.51747575853
2013-06-16,-49156.465129695825
2013-06-17,-207757.25604074987
2013-06-18,-152084.17396458608
2013-06-19,-195679.51395413652
2013-06-20,-240991.97552101454
2013-06-21,81337.59803057721
2013-06-22,124859.04682407832
2013-06-23,95321.55289347348
2013-06-24,-116476.97939053926
2013-06-25,-85179.67936811806
2013-06-26,57801.88567772334
2013-06-27,-106842.48566277593
2013-06-28,-104242.47231214537
2013-06-29,57347.20012529073
2013-06-30,-115532.7612517791
2013-07-01,-73722.302846835
2013-07-02,-196673.8273952508
2013-07-03,-112751.63758903896
2013-07-04,-210045.8067877367
2013-07-05,-219483.42101672824
2013-07-06,-215757.10924967047
2013-07-07,-200824.5272572717
2013-07-08,-192852.53539313163
2013-07-09,-218250.65387100683
2013-07-10,-57744.883086742586
2013-07-11,-131694.67079635803
2013-07-12,-201291.87528864105
2013-07-13,-155089.22170087122
2013-07-14,-139603.45826798765
2013-07-15,-116657.8171570005
2013-07-16,-141029.2373419464
2013-07-17,-143039.52152495075
2013-07-18,-113792.108699899
2013-07-19,-20978.20304927654
2013-07-20,-131263.75991831388
2013-07-21,-148514.71064960278
2013-07-22,-135296.58504262695
2013-07-23,-108298.531781593
2013-07-24,-88438.56281604466
2013-07-25,-164149.8256051194
2013-07-26,-132898.1626292296
2013-07-27,-120405.69032798048
2013-07-28,-80257.05223244303
2013-07-29,-162837.5059399982
2013-07-30,16022.40336404887
2013-07-31,-3072.7634708990354
2013-08-01,-112096.16541592636
2013-08-02,-21910.153723201685
2013-08-03,-19005.845559467532
2013-08-04,-136875.816748704
2013-08-05,-66503.24528327503
2013-08-06,-50836.27428012532
2013-08-07,-114760.81055021618
2013-08-08,-59977.1964061999
2013-08-09,-133400.1588090096
2013-08-10,-38921.21712315357
2013-08-11,60864.69534056493
2013-08-12,8726.755016791596
2013-08-13,106483.94634085498
2013-08-14,40596.23590483025
2013-08-15,-127967.24740973517
2013-08-16,-76745.51195081563
2013-08-17,-57327.88441852764
2013-08-18,35328.53921299611
2013-08-19,-89358.33010501432
2013-08-20,-138623.58673498273
2013-08-21,-101527.17064009153
2013-08-22,-107184.36561830409
2013-08-23,58965.807303815964
2013-08-24,140852.03598519904
2013-08-25,143565.33820661876
2013-08-26,71631.45649802155
2013-08-27,-108745.71900371368
2013-08-28,-131287.58207184274
2013-08-29,-168138.39691974348
2013-08-30,-153521.73444006397
2013-08-31,4524.142826612349
2013-09-01,95220.53486832332
2013-09-02,145863.4241886085
2013-09-03,-84362.01684477489
2013-09-04,-94797.62249869511
2013-09-05,60329.38152042089
2013-09-06,44252.50086951036
2013-09-07,-106921.91102162183
2013-09-08,-58355.00061104704
2013-09-09,-59124.81543387422
2013-09-10,-3772.339503389685
2013-09-11,-4229.974914289006
2013-09-12,-135832.04110376455
2013-09-13,-145431.05040113613
2013-09-14,-40163.88811486822
2013-09-15,126824.63170508618
2013-09-16,188181.03258335748
2013-09-17,94498.33204172355
2013-09-18,-18021.757389799102
2013-09-19,-141713.2041332889
2013-09-20,-154495.78303132905
2013-09-21,-219048.88751995724
2013-09-22,-23510.46205734137
2013-09-23,-139434.43472623263
2013-09-24,-167489.6786529916
2013-09-25,-132980.8360612038
2013-09-26,-67297.9768189476
2013-09-27,-91292.80726518083
2013-09-28,5394.130784960709
2013-09-29,105734.74562041031
2013-09-30,189343.59971724657
2013-10-01,139952.99847611785
2013-10-02,119900.24094900551
2013-10-03,113838.29636895709
2013-10-04,98907.73761363601
2013-10-05,-193826.3295172162
2013-10-06,-162143.6553083755
2013-10-07,-124435.51051354286
2013-10-08,-145471.8093539821
2013-10-09,46956.83047166397
2013-10-10,-153985.10656339367
2013-10-11,195869.93953130944
2013-10-12,111762.79415971949
2013-10-13,-14893.740665659006
2013-10-14,-75505.03054787716
2013-10-15,-108898.05508501141
2013-10-16,-182831.63190255334
2013-10-17,184265.5467650549
2013-10-18,-38753.82531124673
2013-10-19,52827.63436804588
2013-10-20,77172.95592804335
2013-10-21,76247.82070971243
2013-10-22,129552.04639621403
2013-10-23,172531.6077312622
2013-10-24,73013.02181678341
2013-10-25,86326.22463259936
2013-10-26,64499.2992102516
2013-10-27,181931.8459744652
2013-10-28,243555.50651603536
2013-10-29,183576.18322416747
2013-10-30,96599.57632896192
2013-10-31,90091.39015987776
2013-11-01,20180.67457863245
2013-11-02,51335.04445342862
2013-11-03,146221.12673317397
2013-11-04,66247.10865808194
2013-11-05,97716.81145493891
2013-11-06,98049.97931318803
2013-11-07,8532.579407798494
2013-11-08,-42096.85225280764
2013-11-09,159052.32299546443
2013-11-10,85169.06917121218
2013-11-11,-44956.06795424844
2013-11-12,138260.38051891697
2013-11-13,43347.24368411586
2013-11-14,24878.985815866854
2013-11-15,12530.968161574277
2013-11-16,125326.8150744839
2013-11-17,-18486.275818636834
2013-11-18,30262.2617775928
2013-11-19,12368.805058334283
2013-11-20,97444.99422223798
2013-11-21,68739.69500763736
2013-11-22,116188.2728666806
2013-11-23,32493.95659467848
2013-11-24,101860.85449638401
2013-11-25,-43492.239533389664
2013-11-26,-69319.66558849107
2013-11-27,123962.66926141563
2013-11-28,205561.11731112676
2013-11-29,178373.18594687202
2013-11-30,107696.53423390546
2013-12-01,191104.46180460986
2013-12-02,13473.126325805304
2013-12-03,23643.601638137654
2013-12-04,169177.05830581687
2013-12-05,198075.920998905
2013-12-06,147830.2365944808
2013-12-07,-48844.115667792306
2013-12-08,156210.0995885978
2013-12-09,8267.463037629252
2013-12-10,21914.849938839347
2013-12-11,9836.31260963063
2013-12-12,89996.39065394083
2013-12-13,58699.853259543765
2013-12-14,97315.42661744524
2013-12-15,161941.54725704202
2013-12-16,249025.77353218404
2013-12-17,67514.54520280978
2013-12-18,174816.94278654986
2013-12-19,193452.8542132512
2013-12-20,143285.19512486373
2013-12-21,173828.03350561552
2013-12-22,224243.96268682572
2013-12-23,127297.77323589177
2013-12-24,214179.87657210627
2013-12-25,-10379.340504885102
2013-12-26,-39659.23066992237
2013-12-27,168105.0236076386
2013-12-28,26608.220028524876
2013-12-29,96843.12713127646
2013-12-30,128516.34233095153
2013-12-31,124140.0612359479
