,f,max
0.0,453.75139735836933,
1.0,4342.131918585622,
2.0,1113.9071378420508,
3.0,1280.675047685875,
4.0,648.3613005768202,
5.0,1281.8229882024468,
6.0,913.8280397063147,
7.0,879.5145217451854,
8.0,345.8306682676885,
9.0,948.0503543130484,
10.0,879.8731097690128,
11.0,399.6501417129079,
12.0,1305.3106644304617,
13.0,749.5777160841459,
14.0,450.09381713119313,
15.0,725.1761977410468,
16.0,428.29301501326546,
17.0,576.4825652460397,
18.0,432.0097248301996,
19.0,391.36072234214055,
20.0,370.0995471223827,
21.0,447.37309869069054,
22.0,545.105739875418,
23.0,1131.254482889,
24.0,527.7971909050319,
25.0,154.4341189857946,
26.0,391.6633033401681,
27.0,926.8057863971533,
28.0,776.6721782248625,
29.0,309.84301855747213,
30.0,1218.3193966260953,
31.0,900.8329796284847,
32.0,763.3561458371926,
33.0,609.683637693776,
34.0,694.2900912974594,
35.0,360.90266684693586,
36.0,943.9278174833701,
37.0,413.65803976628393,
38.0,503.67973989689995,
39.0,803.282417831778,
40.0,643.3285287965253,
41.0,287.32989889700957,
42.0,128.72959474096243,
43.0,420.14291717733335,
44.0,1387.8673718891691,1387.8673718891691
45.0,756.7676063969981,
46.0,1100.1464720023541,1100.1464720023541
47.0,690.4831863599551,690.4831863599551
48.0,656.1876214512616,656.1876214512616
49.0,3.289920206383516,
50.0,937.507889778425,
51.0,229.8117181852638,
52.0,932.1276647216209,
53.0,531.2137904519994,
54.0,657.867067492341,
55.0,551.1530510298953,
56.0,1041.7053169261837,1041.7053169261837
57.0,488.5030609813188,
58.0,169.7797315339058,
59.0,248.6647717495546,
60.0,414.2697478984278,
61.0,777.0234498606436,
62.0,492.66846343767156,
63.0,161.7066370065332,
64.0,441.5288659165168,
65.0,249.2124801538024,
66.0,610.4181305275721,
67.0,402.6855052868548,
68.0,728.2012401996138,
69.0,493.601991222418,
70.0,684.6418900304164,
71.0,72.44528619187092,
72.0,437.4428069108414,
73.0,314.8240713565997,
74.0,376.01912964211056,
75.0,816.5886789785216,816.5886789785216
76.0,711.0029556240081,
77.0,95.25904768998979,
