,0
2013-01-01,152787.78594089186
2013-01-02,143658.99865167466
2013-01-03,101687.96253442447
2013-01-04,-20566.61745665279
2013-01-05,-133488.56541112642
2013-01-06,-85.61075311847708
2013-01-07,-94392.4526188337
2013-01-08,-43850.2738681089
2013-01-09,17796.187854743002
2013-01-10,111907.802197315
2013-01-11,-27816.564134936278
2013-01-12,12268.851178373467
2013-01-13,-34085.85592285386
2013-01-14,-17419.8867584717
2013-01-15,-34493.31998668796
2013-01-16,-6149.4002360489485
2013-01-17,-13763.949468444964
2013-01-18,68341.18117108905
2013-01-19,255903.130110928
2013-01-20,240814.96302269248
2013-01-21,299105.359066637
2013-01-22,104378.43140393554
2013-01-23,-41910.50357730934
2013-01-24,-54259.26812307605
2013-01-25,-80940.77239791483
2013-01-26,200331.80074263475
2013-01-27,198678.3291182802
2013-01-28,217326.5761691116
2013-01-29,186179.09485501706
2013-01-30,216062.50276533715
2013-01-31,189148.97621968124
2013-02-01,6423.728555702454
2013-02-02,63727.615347478306
2013-02-03,15703.433117287008
2013-02-04,137128.766990747
2013-02-05,215243.21484082018
2013-02-06,93065.23171944106
2013-02-07,-23824.87018070871
2013-02-08,-28895.143192750656
2013-02-09,-75738.34567412295
2013-02-10,119538.19672372269
2013-02-11,222288.45854807072
2013-02-12,10317.527963026698
2013-02-13,-89513.31657842884
2013-02-14,83021.32145175149
2013-02-15,-23622.575982087306
2013-02-16,-63637.76873116181
2013-02-17,-62443.243511325236
2013-02-18,-21559.46286714966
2013-02-19,115650.45380926611
2013-02-20,94871.3914111837
2013-02-21,30620.020262828333
2013-02-22,97378.7007942961
2013-02-23,243128.0924566627
2013-02-24,227769.8595906196
2013-02-25,167667.51998021358
2013-02-26,-7422.018567305164
2013-02-27,-77554.55542674691
2013-02-28,43601.48690756299
2013-03-01,77142.27967030714
2013-03-02,98094.04151786678
2013-03-03,19438.805376558797
2013-03-04,70548.50042881868
2013-03-05,-28499.712648883957
2013-03-06,-103030.55703161561
2013-03-07,206617.95737082692
2013-03-08,209389.41244035205
2013-03-09,216504.997618464
2013-03-10,197621.08079273475
