,AT0 0
0,17728.42624754858
1,17715.489169089447
2,17694.829073202607
3,17685.435209180454
4,17624.465810788643
5,17576.159629195787
6,17561.320025913672
7,17548.553998922052
8,17513.1612535442
9,17463.697839826105
10,17421.457339230663
11,17398.59424289769
12,17369.328886335185
13,17302.261216713003
14,17299.021050905136
15,17282.876429478114
16,17238.585525093462
17,17226.56988031835
18,17199.68351801883
19,17193.625216368124
20,17186.414725048635
21,17169.924212741793
22,17169.78358895737
23,17165.37893065245
24,17110.97004913619
25,17098.91336069083
26,17053.31174755599
27,17050.83883688246
28,16995.749670826634
29,16981.64394496253
30,16949.867814941943
31,16916.409698340918
32,16907.626691165045
33,16882.472924100923
34,16795.87320227192
35,16792.72686589062
36,16747.48524079744
37,16740.38774486271
38,16735.483927749774
39,16726.114565004682
40,16709.452745914445
41,16682.01008387598
42,16681.231562917008
43,16680.425715339294
44,16667.417558784997
45,16651.90157213073
46,16644.289203709763
47,16621.13801011534
48,16616.55533810369
49,16589.18440266289
50,16587.10982354313
51,16581.51379618205
52,16570.145170759188
53,16557.865148766527
54,16554.918193230827
55,16554.85630364062
56,16514.767826025934
57,16511.126290113156
58,16427.99376918674
59,16417.654607094588
60,16414.492415475157
61,16411.927201635197
62,16388.821996380306
63,16345.514029002119
64,16325.005386897363
65,16309.467626634021
66,16309.194793032064
67,16285.963932716428
68,16268.613575792488
69,16254.237135869746
70,16249.464191865267
71,16243.431511204457
72,16213.101091396065
73,16200.906337375758
74,16183.53869257678
75,16176.731814418396
76,16168.445038958484
77,16140.83982720377
78,16109.32945163289
79,16074.834813573769
80,16068.542910786287
81,15992.973848033904
82,15977.02678359841
83,15974.546693706456
84,15963.152704735268
85,15929.881322274588
86,15889.251712517802
87,15860.352562418668
88,15854.723136221115
89,15845.874642840094
90,15833.623138875355
91,15832.73466614502
92,15832.377818574234
93,15779.35630093005
94,15776.575976171212
95,15760.037533364379
96,15735.285225682781
97,15715.059268663466
98,15713.222171815269
99,15699.849359271031
100,15689.938643044734
101,15682.918249627683
102,15671.911047528272
103,15670.686678364027
104,15662.537123121892
105,15655.007608428707
106,15648.656409038154
107,15646.133255208197
108,15644.953102446692
109,15609.985081536779
110,15607.619314483529
111,15595.370359451528
112,15595.367068546715
113,15571.13480117921
114,15565.567775738169
115,15546.453331749684
116,15526.981641952541
117,15491.594041410997
118,15472.017823288927
119,15469.673438612248
120,15468.875646800096
121,15447.832947380006
122,15441.10793701752
123,15429.559801985331
124,15425.281066318881
125,15379.162472237254
126,15361.158527321972
127,15343.42028080357
128,15319.777798153335
129,15312.32190035498
130,15307.492963326371
131,15299.24029920593
132,15279.08825053626
133,15276.516242916054
134,15275.841543852608
135,15255.44780800123
136,15252.171632688867
137,15239.911287748762
138,15216.563286204006
139,15204.090110724002
140,15185.521128461467
141,15166.851590955728
142,15164.372532362038
143,15145.181266641925
144,15140.400593112534
145,15140.13811365631
146,15123.168960318053
147,15098.367311840695
148,15096.810329344715
149,15093.075954574599
150,15089.635417300156
151,15082.263609728412
152,15066.09682083335
153,15025.457987095735
154,15015.300656671057
155,15014.831181255367
156,15005.549381354867
157,14984.51872896241
158,14980.356437830633
159,14976.527103406203
160,14951.710215013196
161,14949.075976096105
162,14948.33173458826
163,14940.516369723542
164,14932.624228609293
165,14924.42105098172
166,14912.280228474569
167,14908.122385105353
168,14900.32131089216
169,14887.818314175704
170,14831.112424258325
171,14830.72290206948
172,14823.707182495004
173,14821.00869032916
174,14788.223294678806
175,14783.09944413455
176,14765.39674802504
177,14755.318095017179
178,14721.642192356674
179,14706.031684386371
180,14698.557598112082
181,14694.478424981115
182,14688.923953889916
183,14659.372110630715
184,14653.302064407146
185,14646.992372620905
186,14636.685505003941
187,14631.95541263279
188,14613.094606576919
189,14612.74258940582
190,14612.42399904977
191,14598.668440152447
192,14589.684289739946
193,14587.430816697044
194,14573.642780890714
195,14546.35743203322
196,14540.996017841238
197,14529.209964463354
198,14525.187931955046
199,14524.545713383806
200,14514.679233643576
201,14507.948997744656
202,14502.578695529597
203,14497.370526074385
204,14444.129340798436
205,14435.5066071904
206,14425.109926487621
207,14420.955682878055
208,14396.940869694687
