,f,max
0.0,25326.83359663318,
1.0,3770.18308941103,
2.0,1324.4832059277403,
3.0,986.0599123554098,
4.0,603.8909303306523,
5.0,1610.7073462671558,
6.0,938.9590673101212,
7.0,839.8179366846078,
8.0,535.0418023850193,
9.0,966.131835450017,
10.0,1003.865982340265,
11.0,347.25386366136536,
12.0,1432.2327249290486,
13.0,786.7472165924106,
14.0,538.1841291617267,
15.0,691.1800565590503,
16.0,312.0296380250091,
17.0,643.3467799797328,
18.0,334.772575881836,
19.0,380.9343239837943,
20.0,218.92355903901066,
21.0,437.02927860667285,
22.0,498.5977580609722,
23.0,1185.9974215636184,
24.0,644.1292502236274,
25.0,288.98476698297577,
26.0,443.8395292423964,
27.0,919.4886068739655,
28.0,735.1467923241893,
29.0,374.99444087400195,
30.0,1345.7298994036903,
31.0,946.7373960423531,
32.0,704.4207963130852,
33.0,411.4927246991662,
34.0,777.6233450303489,
35.0,302.379856060559,
36.0,973.2253607088168,
37.0,398.9927271816578,
38.0,478.56148121134527,
39.0,825.6178028410291,
40.0,664.1757014668862,
41.0,186.14120633248314,
42.0,182.47893786439897,
43.0,426.59062622190663,
44.0,1308.2808824114852,
45.0,894.9252300909137,
46.0,1115.9461886691072,
47.0,724.8329211277187,
48.0,824.7266218827314,
49.0,156.07626338673256,
50.0,1036.1007492998299,
51.0,291.6855459054395,
52.0,1890.0736791100762,1890.0736791100762
53.0,784.5909523536235,
54.0,833.8789882438866,
55.0,758.5342505856661,
56.0,1047.8768266029565,
57.0,441.5382615287397,
58.0,184.47980393640515,
59.0,213.4749966599632,
60.0,386.5120917208126,
61.0,721.4864247646484,
62.0,539.2639004613478,
63.0,104.65066099154188,
64.0,450.13618671720656,
65.0,238.2935752652739,
66.0,581.4441880634121,
67.0,424.16894341161975,
68.0,813.7497803146006,
69.0,510.95445926136847,
70.0,664.7925364321554,
71.0,171.78054981507557,
72.0,392.10933070128266,
73.0,414.4824069081561,
74.0,450.437993219455,
75.0,875.0349049588262,
76.0,663.2335450338479,
77.0,121.38060298110092,
78.0,538.6034487584424,
79.0,353.5347285843572,
80.0,473.527514836959,
81.0,588.6179153422996,
82.0,470.06367871948464,
83.0,724.1221887774839,
84.0,361.38409335943,
85.0,213.05293839113173,
86.0,227.77886496991584,
87.0,261.7669547109339,
88.0,318.41748362616147,
89.0,359.1553516420328,
90.0,470.5620719227077,
91.0,124.70116068777452,
92.0,364.0654995997065,
93.0,85.97755931642504,
94.0,231.2740848907893,
95.0,454.18534776051933,
96.0,430.0754854752362,
97.0,477.1294304009227,
98.0,275.7659075904128,
99.0,270.7833722827145,
100.0,498.86785450285646,
101.0,563.2846738093253,
102.0,409.27084130094755,
103.0,377.4169484897959,
104.0,1215.6454465597058,1215.6454465597058
105.0,501.51745652231796,
106.0,333.35745331843657,
107.0,535.8820431141914,
108.0,191.79798412420757,
109.0,220.20964427348574,
110.0,267.2916088096946,
111.0,315.79523289569323,
112.0,541.6135698381336,
113.0,200.34664060378924,
114.0,334.9846781250354,
115.0,286.50783248602676,
116.0,259.37538934805883,
117.0,200.45765190439917,
118.0,349.10907030972163,
119.0,369.3365218857305,
120.0,522.9482415541826,
121.0,488.0839116811193,
122.0,442.0454658835791,
123.0,382.8277290150267,
124.0,545.5111889269507,
125.0,164.21962377038142,
126.0,442.3905506143153,
127.0,345.15887577862605,
128.0,196.5192825957972,
129.0,520.3012242721952,
130.0,612.8783266741447,
131.0,163.54464317195615,
132.0,255.22124919577743,
133.0,113.10207724116054,
134.0,793.4042413849896,793.4042413849896
135.0,580.7583975479712,
136.0,543.5414628777198,
137.0,390.7449281957883,
138.0,23.410985384956604,
139.0,433.46099526632077,
140.0,435.80480418788,
141.0,272.0733692015498,
142.0,236.3221814565778,
143.0,365.2102337115145,
144.0,51.455203018686866,
145.0,514.7543979714562,
146.0,176.15541595496728,
147.0,204.54004973654924,
148.0,276.1762110237869,
149.0,239.26339151599544,
150.0,155.63632690105229,
151.0,65.347536363631,
152.0,204.89869731040352,
