,AT0 0
0,-24727.036800170106
1,-24464.968904308684
2,-24235.723395804984
3,-24171.176057117118
4,-24063.276066100047
5,-23580.86544310794
6,-22979.487168965585
7,-22956.9976426892
8,-22930.800648689055
9,-22392.224101764346
10,-22247.280448718826
11,-21698.281290226358
12,-21542.639832349465
13,-21526.340560574503
14,-21408.152021963346
15,-21228.388414139445
16,-21200.58100701141
17,-21172.12914202468
18,-21098.326127649692
19,-21085.544562525654
20,-20994.04854350786
21,-20959.000183570522
22,-20893.185521911775
23,-20821.42085067666
24,-20785.27627708736
25,-20616.357514283947
26,-20389.26052361841
27,-20381.861741291505
28,-20320.4398166144
29,-20214.86529051335
30,-20179.66588015548
31,-20164.80881223523
32,-20130.96499491686
33,-20106.03142535997
34,-20082.67111796518
35,-20059.217206153728
36,-20007.83085087599
37,-19973.75299382127
38,-19951.28980171881
39,-19944.47194414547
40,-19912.57333623339
41,-19888.11462305105
42,-19873.12048248169
43,-19792.2712500076
44,-19771.238109984268
45,-19726.80486127416
46,-19640.70399336527
47,-19638.017391611895
48,-19594.33444827284
49,-19563.0529947338
50,-19545.577666145404
51,-19525.3963636128
52,-19518.190726840017
53,-19478.164686866672
54,-19477.952136654843
55,-19472.479363833798
56,-19471.89631564101
57,-19348.481516830656
58,-19336.36019501636
59,-19308.6813017741
60,-19269.011594160558
61,-19252.019601481526
62,-19236.829713389656
63,-19215.77362618447
64,-19215.19754219681
65,-19127.53420922474
66,-19106.247294918972
67,-19077.07926484851
68,-19073.861687059718
69,-19071.15163782768
70,-19065.535836080362
71,-19005.30657857984
72,-19004.721497842576
73,-18977.825892563178
74,-18970.62427616201
75,-18953.74786339021
76,-18949.01804158365
77,-18936.84689279469
78,-18935.37385805152
79,-18923.24868896277
80,-18899.436658355164
81,-18892.046116659527
82,-18890.58301286261
83,-18871.35823801824
84,-18860.644277674997
85,-18818.671892810657
86,-18776.114249148697
87,-18720.409238742253
88,-18704.13318090776
89,-18685.87196349154
90,-18680.131734411225
91,-18641.829163838738
92,-18638.09785381629
93,-18597.68705686628
94,-18587.40396249589
95,-18585.22507266861
96,-18570.516262854115
97,-18546.642209377387
98,-18546.24067087451
99,-18527.41662243156
100,-18519.678092668917
101,-18519.22226199131
102,-18509.21878604567
103,-18500.51416992583
104,-18495.523624635436
105,-18485.828734922605
106,-18475.57249034744
107,-18475.566054689356
108,-18404.056199101047
109,-18380.914781528485
110,-18353.606355745113
111,-18350.87777372369
112,-18340.11865772649
113,-18330.44486584249
114,-18330.395439164102
115,-18312.868925901632
116,-18310.604404762445
117,-18308.584799202847
118,-18293.984181018408
119,-18260.332291146544
120,-18245.074324932284
121,-18241.37439113346
122,-18199.442671592587
123,-18188.60618597047
124,-18183.666368371327
125,-18180.744867388075
126,-18167.58164793955
127,-18159.257375867157
128,-18156.61394851157
129,-18155.82894400327
130,-18127.88732608183
131,-18123.645607112012
132,-18120.113894252747
133,-18090.253655848323
134,-18087.5570940701
135,-18087.295720408423
136,-18065.217097191344
137,-18049.69527909698
138,-18044.248729335504
139,-18009.41003390289
140,-18007.475733086456
141,-18000.762933853846
142,-17981.692303967182
143,-17980.780099278873
144,-17952.696080272384
145,-17937.462751455416
146,-17914.20892081034
147,-17911.767760917966
148,-17894.56992484309
149,-17893.41548308295
150,-17882.072000306973
151,-17871.67321999408
152,-17843.190756972308
153,-17828.665102666593
154,-17826.385002243096
155,-17808.31350343205
156,-17792.999251822996
157,-17791.538359942166
158,-17783.77841207538
159,-17771.517108704556
160,-17723.817100892044
161,-17722.600326856504
162,-17711.23863788604
163,-17706.144445238995
164,-17668.83396676581
165,-17604.579101531122
166,-17595.073847721935
167,-17579.396104228683
168,-17575.363369069946
169,-17561.534898324942
170,-17559.215670118945
171,-17552.52790538904
172,-17546.429081189966
173,-17522.150832782863
174,-17521.031433458902
175,-17506.82404984795
176,-17505.261034260668
177,-17500.324060054616
178,-17490.382106899524
179,-17486.61846641331
180,-17436.42420067818
181,-17434.54816964265
182,-17414.773901903907
183,-17384.893472362186
184,-17384.815725245433
185,-17380.686541855255
186,-17372.132661020238
187,-17340.408346878787
188,-17338.049067413205
189,-17315.1962848251
190,-17293.692453888107
191,-17276.46776077595
192,-17265.0248007018
193,-17262.702514468285
194,-17246.572480150087
195,-17212.83122941642
196,-17199.54747276164
197,-17158.227677742252
