,AT0 0
0,38466.43978851133
1,37127.228844534795
2,37112.042323485795
3,37012.33465529519
4,36045.92551530389
5,35984.41337681835
6,35813.73281534693
7,35678.426329075286
8,35029.091866743154
9,34710.40421004671
10,34504.658235681854
11,34460.72474485196
12,34298.2839861409
13,34233.40058911484
14,33935.14205850049
15,33617.74893765791
16,33502.443073679024
17,33373.23794854745
18,33198.777874634005
19,33089.46979016509
20,32912.43449262146
21,32891.17539482704
22,32865.92323760845
23,32764.648762832527
24,32712.855239883538
25,32633.30393198236
26,32294.121247943673
27,32266.674031952585
28,32198.53940135965
29,32180.569692694433
30,32152.59238773489
31,32119.85438286223
32,32011.796745986492
33,31954.191688111365
34,31947.711234863462
35,31873.244434292686
36,31797.251374775384
37,31796.305549642762
38,31779.231649488294
39,31767.527898499717
40,31733.488732730697
41,31620.266754672644
42,31614.991098261824
43,31508.12383334729
44,31481.884111766507
45,31438.410711220044
46,31413.547549658953
47,31346.933810843297
48,31144.737257587913
49,31111.086821919995
50,31073.680566996605
51,31070.328214735957
52,30948.38212849151
53,30945.988205971564
54,30932.690888402067
55,30877.973234971374
56,30787.407634791096
57,30784.880211499203
58,30763.282199536407
59,30712.143562581125
60,30704.302806851898
61,30691.0511074209
62,30652.951421784892
63,30639.045423224852
64,30631.049960651297
65,30629.17402315384
66,30595.38001480712
67,30563.937424455733
68,30552.25646466816
69,30510.812963088134
70,30450.083371564586
71,30404.945867863094
72,30392.134095506823
73,30328.1303786654
74,30186.055077148532
75,30183.15512309145
76,30180.2646496565
77,30154.875567419145
78,30076.143938730573
79,30075.757181468696
80,30028.35168030254
81,30021.233796008248
82,29882.18447812025
83,29872.36575627476
84,29819.343204973025
85,29785.178539695287
86,29642.043579394853
87,29635.748787115146
88,29584.06481017157
89,29541.594929774372
90,29509.32045198385
91,29506.771939695318
92,29488.126761039683
93,29449.99935648748
94,29419.138594001637
95,29362.573319620205
96,29357.895385153555
97,29342.031395115708
98,29340.25913394185
99,29301.94607965697
100,29295.324904534973
101,29251.772355224275
102,29246.51121214735
103,29233.699341421725
104,29229.04356991542
105,29223.147096059925
106,29214.92931989517
107,29198.45912723548
108,29192.081462668797
109,29185.391911398725
110,29180.036540159592
111,29175.928476934972
112,29167.338730168234
113,29140.802544101894
114,29133.34749756351
115,29094.17338847472
116,29086.581654768863
117,29054.582494611674
118,28947.43154656533
119,28919.95312134927
120,28909.296463771374
121,28908.428935004078
122,28898.551511495727
123,28896.18668607881
124,28887.38061459639
125,28871.438970638854
126,28866.30078915752
127,28850.66317167546
128,28817.776082787714
129,28796.689789031836
130,28772.39516341282
131,28764.420648822186
132,28760.467463974484
133,28752.074004490576
134,28735.78593296654
135,28727.69459992826
136,28692.36806930364
137,28690.569303270753
138,28677.549483367686
139,28669.9032703177
140,28657.60791196055
141,28638.657031334602
142,28628.383718485682
143,28573.78944838059
144,28557.395434203194
145,28509.373256299215
146,28470.79043229973
147,28451.776579718622
148,28413.161563641872
149,28389.494284892477
150,28376.073380920403
151,28312.843710479112
152,28306.440157116114
153,28301.667652026445
154,28293.424366949253
155,28290.236929360162
156,28269.18513714919
157,28266.427222453374
158,28261.273824511616
159,28214.08036097586
160,28211.79678084508
161,28192.870708260165
162,28188.108673132865
163,28177.942402952947
164,28175.914107376408
165,28174.323345552806
166,28140.969872718866
167,28132.959231182278
168,28106.861779268245
169,28086.999489767928
170,28029.54104826744
171,28018.348686213132
172,27998.152355454513
173,27985.943041748527
174,27983.09488899174
175,27972.678526460113
176,27959.458856172143
177,27944.866633977712
178,27903.365377319013
179,27882.979439770606
180,27857.75538918085
181,27847.431294950162
182,27830.806788600854
183,27791.36015702022
184,27780.95780445179
185,27731.538371403545
186,27721.928145266163
187,27704.118371482145
188,27699.88848548712
189,27699.872804745923
190,27682.833802202167
191,27662.979457559122
192,27658.852835675585
193,27645.143617783127
194,27630.418702575273
195,27610.354898862595
196,27593.26980123438
197,27588.326733566046
198,27568.420833818316
199,27563.453072954297
200,27540.339129412663
201,27525.849850788047
202,27474.64608106963
203,27466.220907981766
204,27456.883915462742
205,27452.24161380594
206,27442.349575526227
207,27434.45533292042
208,27427.831886291067
209,27419.995554645102
210,27415.08626335704
211,27404.82932823885
212,27401.241720862905
213,27379.60273235995
214,27374.812985376993
215,27374.360349376213
216,27336.934013102997
217,27329.12562580606
218,27326.50749709183
219,27317.626709451026
220,27308.738295466108
221,27289.222924698784
222,27276.768815042604
223,27272.50802101625
224,27270.064532104403
225,27268.769604147332
226,27267.8803073035
227,27251.074287515847
228,27248.08352291841
229,27215.716982467162
230,27209.08675755635
231,27200.966314469155
232,27196.33078549846
233,27181.407269321717
234,27152.949729671316
235,27144.510423319058
236,27142.520123108086
237,27141.724196888146
238,27129.213869809562
239,27112.26100963735
240,27103.717862199865
241,27098.950851717495
242,27093.19503391995
243,27088.830647529685
244,27086.403204892937
245,27082.455999819227
246,27075.440969424304
247,27046.620004478587
248,27044.70077317131
249,27040.18396252018
250,27035.216794618675
251,27023.04962236847
252,27021.956944832807
