,f,max
0.0,26674.9424405458,
1.0,4155.687685036472,
2.0,1332.712228766318,
3.0,706.9923405363114,
4.0,604.822637328066,
5.0,1657.9644160182895,
6.0,843.2411367896542,
7.0,790.1964099702064,
8.0,624.6998083793243,
9.0,1080.5129250078014,
10.0,1219.8037282830032,
11.0,595.4325119321227,
12.0,1552.4337107780314,
13.0,858.4280819168723,
14.0,485.6692555237778,
15.0,848.4194283816961,
16.0,430.75159886802777,
17.0,654.4319591497824,
18.0,419.0842442556281,
19.0,381.380210095669,
20.0,185.81319576615775,
21.0,501.37578489036014,
22.0,512.7775862527739,
23.0,1290.0501017816296,
24.0,836.5372781311887,
25.0,331.9553209769498,
26.0,493.04256826859427,
27.0,1048.5817431277262,
28.0,643.8838618876238,
29.0,309.9886356534494,
30.0,1501.022861325789,
31.0,1195.214567609977,
32.0,742.1711815614594,
33.0,650.3653701752962,
34.0,894.5729788238741,
35.0,486.0196711490789,
36.0,1109.6839837733385,
37.0,249.89124073322907,
38.0,549.6797424184228,
39.0,869.2422328310631,
40.0,749.0210381695454,
41.0,313.525482770412,
42.0,84.59167844305804,
43.0,445.36145070450596,
44.0,1408.1969059076623,
45.0,971.285010724039,
46.0,1122.066732481979,
47.0,885.1657658897174,
48.0,941.996503126001,
49.0,260.8043299005183,
50.0,1093.1197010324308,
51.0,260.653997014034,
52.0,2107.802652463126,2107.802652463126
53.0,935.1863673583025,
54.0,876.3569739428897,
55.0,891.4162497605745,
56.0,1299.4702399774362,
57.0,619.3421655379537,
58.0,363.7977485558583,
59.0,213.43440459966257,
60.0,495.7678594563378,
61.0,663.1473104362523,
62.0,611.5162101176995,
63.0,231.32936766691057,
64.0,486.92915796520924,
65.0,260.46625879928513,
66.0,675.2073548106894,
67.0,474.9101692612264,
68.0,918.8490707707027,
69.0,560.8494241138019,
70.0,765.7654252741479,
71.0,276.9124132540026,
72.0,349.9047520025684,
73.0,531.598113337339,
74.0,473.96879931654166,
75.0,970.5751201861542,
76.0,673.5751037296446,
77.0,140.29353201513624,
78.0,631.2859818927469,
79.0,484.09370733251546,
80.0,696.7563472962988,
81.0,748.5352748357342,
82.0,492.780626717762,
83.0,865.0088530285562,
84.0,533.5924074536675,
85.0,390.8051040000104,
86.0,358.7329151218237,
87.0,417.00424060903913,
88.0,367.3102057239955,
89.0,456.79349611328615,
90.0,436.76440268441274,
91.0,187.1205633202367,
92.0,403.3149150235736,
93.0,111.35777219441043,
94.0,192.8899334485769,
95.0,533.4881512107391,
96.0,536.7717846246927,
97.0,503.432000128964,
98.0,190.7839246857914,
99.0,377.9111455512801,
100.0,332.2774963184321,
101.0,689.2804023193148,
102.0,481.43526276119775,
103.0,412.255860707617,
104.0,1358.1935359922447,1358.1935359922447
105.0,593.8523372068171,
106.0,460.901496184755,
107.0,618.9871563385171,
108.0,167.20305943335208,
109.0,297.75508712599793,
110.0,212.61086511607962,
111.0,268.89831863285497,
112.0,605.7145281430193,
113.0,156.01835377935308,
114.0,404.81591397237287,
115.0,210.32041535691172,
116.0,133.2816209878459,
117.0,195.3840797031893,
118.0,486.13616973590496,
119.0,365.83881830458637,
120.0,620.9207809217897,
121.0,546.2969880768529,
122.0,431.1021983159558,
123.0,402.12656479296174,
124.0,634.149966303132,
125.0,140.640778052609,
126.0,457.3562176236729,
127.0,338.71028797692253,
128.0,131.16622316038053,
129.0,556.9526471943138,
130.0,606.8882601096844,
131.0,155.59344977477036,
132.0,307.04640375161244,
133.0,112.9964476454013,
134.0,773.4630562133212,773.4630562133212
135.0,587.0726777242455,
136.0,551.7898037024721,
137.0,389.0376084446964,
138.0,30.021220863861284,
139.0,467.6233338452429,
140.0,464.4832352857122,
141.0,267.7314573718396,
142.0,200.91061681438816,
143.0,357.38685606616804,
144.0,41.93375729985731,
145.0,565.1101610058739,
146.0,336.05405411448356,
147.0,161.6073891290042,
148.0,410.3304088966181,
149.0,279.28517569715143,
150.0,194.75689984707407,
151.0,145.31320905814852,
152.0,268.6782197929538,
153.0,223.72891428525213,
154.0,272.2076775609753,
155.0,338.5801614900672,
156.0,678.8552821478115,678.8552821478115
157.0,321.11810399923996,
158.0,198.4313865367743,
159.0,360.7727263049377,
160.0,78.99044388316564,
161.0,147.7750521714865,
162.0,314.2790382298181,
163.0,517.9151222455107,
164.0,568.8396714240054,
165.0,366.7503234127537,
166.0,146.3860818068431,
167.0,95.34512417046838,
168.0,282.40450135905235,
169.0,105.92506581150411,
170.0,184.75356580061606,
171.0,343.2146707786377,
172.0,330.92406677907354,
173.0,426.8645322449422,
174.0,56.29661087950239,
175.0,432.7275920142933,
176.0,512.6381039657912,
177.0,511.3019264718024,
178.0,356.077982412267,
179.0,248.14236163644514,
180.0,76.73883474867425,
181.0,434.46739377006514,
182.0,319.8029155310541,
183.0,303.09353762686123,
