,f,max
0.0,4488.018058492183,
1.0,5256.7990196095525,
2.0,1201.287911345655,
3.0,795.2805080087714,
4.0,718.6020990197543,
5.0,1648.011322925988,
6.0,888.4626359494642,
7.0,829.5412489053701,
8.0,456.99020752358257,
9.0,1126.550370977987,
10.0,1124.7646647967206,
11.0,632.4596678846042,
12.0,1538.0863835287596,1538.0863835287596
13.0,790.1877431720853,
14.0,454.7242598790357,
15.0,872.4912751721,
16.0,474.74756833773984,
17.0,608.129901978562,
18.0,435.5662956326438,
19.0,455.7900437438627,
20.0,328.1745698132327,
21.0,461.79051442405137,
22.0,559.2480719910473,
23.0,1270.7842049279957,
24.0,799.3685591338825,
25.0,257.4166771848678,
26.0,458.69437251377786,
27.0,1113.1958837551338,
28.0,694.8340295228087,
29.0,319.6528735059332,
30.0,1384.5329525086618,
31.0,1205.8154592389894,
32.0,761.7305178658013,
33.0,699.8103994938946,
34.0,832.9627786396087,
35.0,480.922748495755,
36.0,1071.5326709843014,
37.0,352.65136444703626,
38.0,622.1294111953578,
39.0,854.9664807730773,
40.0,741.9968149126687,
41.0,290.3071414458408,
42.0,117.28628707789893,
43.0,464.80204821391834,
44.0,1424.0790628934344,1424.0790628934344
45.0,960.4805570179184,
46.0,1142.130754901974,
47.0,933.4018448820684,
48.0,866.516098482073,
49.0,199.16794086940214,
50.0,1086.1483499663505,
51.0,363.9290211951594,
52.0,1162.2525680268957,
53.0,703.9909167393423,
54.0,756.0408321669055,
55.0,796.4103066223128,
56.0,1339.6220845750204,1339.6220845750204
57.0,621.2819488485198,
58.0,342.4115223031929,
59.0,237.88535138237785,
60.0,568.8140431101253,
61.0,718.7137642336268,
62.0,643.6141858416657,
63.0,221.6325084075665,
64.0,491.65721796372804,
65.0,252.11210349748302,
66.0,755.4371512626876,
67.0,417.02640746036644,
68.0,894.8008552254939,
69.0,578.6996554483957,
70.0,736.7957330167714,
71.0,227.904152747255,
72.0,386.1040516733642,
73.0,490.962399871862,
74.0,426.1143952749735,
75.0,1004.7873728531961,1004.7873728531961
76.0,713.5614440241401,
77.0,134.1077746941847,
78.0,632.0040880772436,
79.0,513.963776502188,
80.0,685.3755575186201,
81.0,743.0472541089384,
82.0,501.36165172146787,
83.0,853.4879995768624,853.4879995768624
84.0,538.879615342958,
85.0,344.0880107383561,
86.0,310.33405848986393,
87.0,428.9879190700567,
88.0,339.02168789286105,
89.0,447.038287521664,
90.0,437.52849250185915,
91.0,185.2337383014297,
92.0,415.32613598473364,
93.0,117.3757142548862,
94.0,146.6126081440245,
95.0,578.5214485945239,
96.0,554.7049846721042,
97.0,511.153927233528,
98.0,224.37912591448895,
99.0,392.4236819843779,
100.0,383.8860923484336,
101.0,648.6590347854659,
102.0,495.51319738424354,
103.0,566.6515721802141,
104.0,762.1675600141311,762.1675600141311
105.0,329.3572295601766,
106.0,466.22073180584704,
107.0,558.6368754619081,
108.0,183.55158906339395,
109.0,360.5362573016027,
110.0,227.6934943338772,
111.0,243.48496033283683,
112.0,579.2881893373092,
113.0,189.00709691657246,
114.0,404.8214655530242,
115.0,229.86093458775358,
116.0,90.55383145141938,
117.0,202.64288671712293,
118.0,484.7638092999709,
119.0,356.0162768818832,
120.0,636.0150807052224,
121.0,511.53955571711526,
122.0,444.2822643021279,
123.0,417.0472228766555,
124.0,653.2009413560589,
125.0,168.2084066664482,
126.0,457.03997419949616,
127.0,377.1953035906059,
128.0,128.6778250885257,
129.0,555.2509643143839,
130.0,618.5851716809565,
131.0,188.07859679274546,
132.0,312.9697375400541,
133.0,163.44055210827912,
134.0,730.8584794319423,730.8584794319423
135.0,574.9522559441573,574.9522559441573
136.0,513.9340650172188,513.9340650172188
137.0,364.1613122664553,364.1613122664553
138.0,8.752319961958216,
139.0,446.7381072017104,
140.0,475.18507639505304,
