,AT0 0
0,-30648.640438423394
1,-28763.028969243285
2,-28589.30999192223
3,-28531.803787394365
4,-28279.778953925434
5,-28180.921545281315
6,-27953.07546454807
7,-27371.88138933423
8,-27246.946966540232
9,-27132.702299248813
10,-27077.993586442142
11,-26865.965928186928
12,-26791.939163031133
13,-26491.53839555727
14,-26164.141958113454
15,-25551.07873438222
16,-25445.566975616617
17,-25417.178999748052
18,-25284.197192967345
19,-25075.990600015557
20,-24920.255993978557
21,-24773.016414538943
22,-24761.788215472436
23,-24756.342660052986
24,-24702.900546323806
25,-24423.886504834423
26,-24347.552121881086
27,-24129.069128107436
28,-24033.00865048057
29,-23874.666527751055
30,-23784.595047318122
31,-23677.456129025028
32,-23489.52110854604
33,-23473.6885533919
34,-23460.98272584276
35,-23451.924452057086
36,-23382.125579406213
37,-23226.73313227376
38,-23223.73909491027
39,-23075.696954274994
40,-23041.933669484763
41,-22984.920603154984
42,-22940.808943709868
43,-22815.936322001668
44,-22812.29938041643
45,-22714.100472554823
46,-22694.670645050686
47,-22502.59586142139
48,-22418.69080319512
49,-22383.750162110526
50,-22365.864980845115
51,-22281.841896953607
52,-22211.48374990642
53,-22142.591436824812
54,-22118.751089546495
55,-22115.02546342222
56,-22105.08942417224
57,-22095.62903770578
58,-22088.182246165266
59,-22067.205190572822
60,-22044.6262780467
61,-22038.216101309954
62,-22030.755446128962
63,-21986.16611129631
64,-21959.34304563224
65,-21953.29211793909
66,-21895.085248780906
67,-21886.850744681346
68,-21879.794192780944
69,-21867.714729915737
70,-21867.28596965695
71,-21812.1069378854
72,-21787.969530735216
73,-21748.1869261143
74,-21710.293088978917
75,-21693.372862292803
76,-21668.35327070774
77,-21656.35813259473
78,-21642.84823916359
79,-21631.141415195096
80,-21603.74823614415
81,-21589.253486988644
82,-21580.52343499461
83,-21578.363133606916
84,-21538.73533488239
85,-21425.910645471995
86,-21418.62495608326
87,-21401.31994386552
88,-21395.53922291024
89,-21389.693385703482
90,-21388.65501857565
91,-21371.732641719995
92,-21348.58415176714
93,-21337.58276278766
94,-21205.615230600393
95,-21189.345242089017
96,-21182.19947175926
97,-21164.267092406997
98,-21124.902588008703
99,-21121.55631033818
100,-21109.778683188037
101,-21079.31559796698
102,-21012.271879721906
103,-21009.810849595946
104,-20975.334631269132
105,-20975.2475657745
106,-20973.391769293346
107,-20958.75635982978
108,-20954.20629918771
109,-20938.797427879912
110,-20916.43289249939
111,-20873.587562152497
112,-20871.219762647714
113,-20867.508992688563
114,-20835.98931013961
115,-20811.90667065527
116,-20807.050463865984
117,-20794.81713869844
118,-20686.6699041495
119,-20684.144466988626
120,-20608.99724800662
121,-20604.526995898468
122,-20577.71350760987
123,-20541.01663076226
124,-20532.474496167986
125,-20514.55266076457
126,-20502.106781228125
127,-20488.59944800764
128,-20433.80181393364
129,-20422.799776605447
130,-20387.673162027157
131,-20351.6201026829
132,-20247.726337298725
133,-20230.489145404183
134,-20099.746252891826
135,-20074.54640283654
136,-20046.473857278997
137,-20034.55092870025
138,-20024.16901862264
139,-20007.704724979434
140,-19986.42721795268
141,-19959.94433826273
142,-19952.370780889807
143,-19940.154212670088
144,-19937.69700685509
145,-19919.0027774369
146,-19918.953565255757
147,-19889.211440030642
148,-19888.201617043313
149,-19887.327699518966
150,-19879.31740428545
151,-19877.52933342792
152,-19853.048121213407
153,-19848.706305964075
154,-19837.163179743875
155,-19778.47724952358
156,-19713.74299471689
157,-19695.928947408636
158,-19693.85314367335
159,-19653.41202595387
160,-19631.68979593558
161,-19623.04724521173
162,-19592.593622991706
163,-19590.741953522927
164,-19563.673701003092
165,-19552.229587152186
166,-19536.379280848916
167,-19524.964932859966
168,-19491.940544291952
169,-19460.761124411845
170,-19460.473282119383
171,-19451.06668747007
172,-19432.976366879207
173,-19400.688843041793
174,-19399.669982702624
175,-19391.85106353258
176,-19384.202074300127
177,-19370.60189900986
178,-19347.19282724287
179,-19346.85843145961
180,-19339.288636165693
181,-19324.984798336907
182,-19311.591907379938
183,-19280.944571733642
184,-19280.451506024525
185,-19275.702348397375
186,-19261.505763330635
187,-19219.389037343975
188,-19207.488384362798
189,-19203.05401915933
190,-19168.61366804334
191,-19158.91873090029
192,-19154.33262242718
193,-19153.081450890684
194,-19147.89459429612
195,-19141.89987215145
196,-19115.395774974604
197,-19107.76960535228
198,-19101.979473975167
199,-19094.410107485342
200,-19075.42980833923
201,-19030.107942412345
202,-19029.56825888103
203,-19009.273684978773
204,-19005.78134523346
205,-19000.472269567286
206,-18972.542011831596
207,-18962.500784498723
208,-18959.31923277255
209,-18945.613671138854
210,-18939.037205683755
211,-18934.315213714985
212,-18889.789610069245
213,-18886.094040613458
214,-18864.18719299369
215,-18863.315097985607
216,-18861.900868278128
217,-18843.870317926405
218,-18843.20478545487
219,-18826.208938195567
220,-18816.31578305746
221,-18781.53576869356
222,-18779.294460427744
223,-18771.822054295284
224,-18765.53201274153
225,-18748.596354191322
226,-18735.842741823322
227,-18725.11407542607
228,-18723.21776390049
229,-18704.279226726096
230,-18700.809809545888
231,-18689.449695970274
232,-18684.493032766193
233,-18681.53210893419
234,-18675.311435197065
235,-18668.757914279195
236,-18647.811682550375
237,-18643.638108851603
238,-18639.551112593937
239,-18636.228812334666
240,-18635.859818477154
241,-18630.823521414484
242,-18625.881288777837
243,-18614.864436169766
244,-18608.702764423266
245,-18605.843245782802
246,-18594.89066317189
247,-18582.595245522665
248,-18570.210323999243
249,-18564.999903771924
250,-18561.059004637464
251,-18558.780647778978
252,-18557.14392853973
253,-18498.294256301677
254,-18494.056508773887
255,-18491.363397409412
256,-18469.631414448904
257,-18450.990119659036
258,-18447.695404806203
259,-18447.315274641413
260,-18443.47745402787
261,-18440.917977708854
262,-18425.969842201113
263,-18412.98134509492
264,-18386.46686594691
265,-18377.872825663355
266,-18371.531183082872
267,-18370.585301701143
268,-18360.982062188268
269,-18343.377738171872
270,-18341.11296355995
271,-18330.460353583243
272,-18317.159648919776
273,-18298.218122745187
274,-18295.716901748907
275,-18289.4923712347
276,-18286.454155157822
277,-18283.38548232345
278,-18282.181498288308
279,-18277.134401766598
280,-18274.643864401263
281,-18270.50182757531
282,-18252.901416725603
283,-18249.54694445371
284,-18248.87010914371
285,-18234.14499123026
286,-18227.61952869605
287,-18216.37290590621
288,-18209.949590423643
289,-18209.539608881067
290,-18201.768277720163
291,-18201.182413148887
292,-18179.51478645183
293,-18170.646532189276
294,-18166.085099190008
295,-18129.609443415357
296,-18120.686678424514
297,-18111.212523551945
298,-18098.575045269114
299,-18089.974915744002
300,-18087.94058616153
301,-18082.89637949253
302,-18077.98727579035
303,-18073.502282376357
304,-18067.97976702942
305,-18060.489113564196
306,-18053.619057246593
307,-18050.36239837989
308,-18043.25852087008
309,-18020.173220135104
310,-18014.53735401029
311,-18014.423171546718
312,-18000.065911912603
313,-17963.707692448697
314,-17960.333236898965
315,-17955.676079185538
316,-17954.16719934028
317,-17948.005575363375
318,-17929.52340750354
319,-17924.932281675254
320,-17908.19492854565
321,-17903.477590570794
322,-17889.418590681707
323,-17888.18593808048
324,-17887.85561501265
325,-17875.378933025928
326,-17872.718297165164
327,-17866.427037270918
328,-17856.74124493658
329,-17855.3639949477
330,-17854.67803112457
331,-17853.0867888477
332,-17851.149313611808
333,-17848.152287819372
334,-17819.442290507533
335,-17818.168748617798
336,-17818.14756894646
337,-17810.166417378496
338,-17810.012522446756
339,-17804.61524677966
340,-17790.65710595482
341,-17782.491061020028
342,-17782.004124603773
343,-17774.084272120897
344,-17758.840129447923
345,-17756.574082951163
346,-17746.181328409337
347,-17742.05659776918
348,-17742.0288588951
349,-17733.43916423675
350,-17713.877159241885
351,-17711.58641619591
352,-17710.13849461646
353,-17708.150667062255
354,-17692.752273487764
355,-17692.31782807922
356,-17691.43809769631
357,-17682.050934833176
358,-17667.804867782754
359,-17666.305649669448
360,-17657.19656806223
361,-17654.490281795464
362,-17610.93762676589
363,-17609.159739107698
