,AT0 0
0,44846.862830162696
1,42531.390949613764
2,42502.43195758451
3,41745.39684850431
4,41586.00185858552
5,41570.15441638012
6,40805.61411827227
7,40493.958400015224
8,40009.021226929624
9,39994.18772788192
10,39815.02451738207
11,39780.856398204174
12,39447.591182974946
13,38891.3258618439
14,38738.311522580894
15,38407.81390703995
16,37990.47832948948
17,37882.239071944
18,37766.80039044783
19,37699.40226149211
20,37590.94549391694
21,37381.58295273779
22,37333.801890744915
23,37313.132777579645
24,37095.17780226732
25,37036.643577925985
26,36944.43248263669
27,36839.385595936066
28,36664.25739747247
29,36504.4971749457
30,36474.8900422565
31,36384.40555788117
32,36349.54446860791
33,36304.606215355736
34,36280.14379372227
35,36236.70146986771
36,36172.84141246573
37,36140.54562724258
38,36136.42785334825
39,35832.57258625419
40,35763.03298206128
41,35758.937507406015
42,35705.820104522696
43,35563.617292649215
44,35457.80976675369
45,35383.961128059105
46,35380.31400895757
47,35278.19833469775
48,35208.00067931518
49,35166.31648358135
50,35159.834825764854
51,35155.843743728874
52,35079.060071457156
53,35062.36282251904
54,34944.13835902495
55,34925.82056343643
56,34845.69896324305
57,34808.28372697935
58,34802.356162407035
59,34693.92360010279
60,34683.87221343912
61,34669.102302397216
62,34451.76392960748
63,34394.996356426374
64,34381.650357321036
65,34342.02307111592
66,34333.828109198315
67,34312.68095315325
68,34220.935370310035
69,34188.037765808614
70,34175.93534712791
71,34135.50302083115
72,34079.15565865872
73,34075.400723641586
74,34021.94851746014
75,33968.30994773318
76,33963.710379182274
77,33962.904246906335
78,33936.65110414204
79,33931.2795334642
80,33906.292048022384
81,33873.20357131315
82,33867.24859933424
83,33846.186815927475
84,33782.25022004574
85,33748.86055419108
86,33716.23321089777
87,33706.02541737197
88,33705.9628303723
89,33694.05151212511
90,33638.97859657637
91,33531.68750529033
92,33499.71361287831
93,33434.627596668295
94,33408.379995239586
95,33364.445292416545
96,33347.64787686528
97,33346.82789332946
98,33314.00436267367
99,33196.78492649387
100,33189.29929035599
101,33131.58574652086
102,33126.29670566795
103,33119.23361743599
104,33073.3949562531
105,33028.90432975703
106,32931.2238777811
107,32913.516176589095
108,32909.2691319446
109,32865.3211358725
110,32853.04934167762
111,32844.25728594624
112,32749.186044167414
113,32735.91211349669
114,32732.64285637159
115,32723.0802775091
116,32720.70368668366
117,32699.844804059256
118,32671.07824460442
119,32624.725453304065
120,32588.4142944661
121,32550.642735844922
122,32492.616802673667
123,32482.473370074506
124,32465.690534993842
125,32452.396799281967
126,32432.97302500943
127,32378.636331620422
128,32346.566604090614
129,32343.59204595271
130,32339.340530606543
131,32334.687320504614
132,32288.390899428898
133,32206.985264719184
134,32122.83073064752
135,32103.663259968554
136,32081.00351659018
137,32022.198316879563
138,31972.897815877044
139,31935.456185834337
140,31933.61755272761
141,31926.70583488125
142,31921.25775937582
143,31917.63818807408
144,31894.25684608772
145,31889.189079886673
146,31817.850572638745
147,31797.057337511244
148,31796.3398211805
149,31791.04763301563
150,31777.686798314688
151,31752.44290403273
152,31748.596838328973
153,31742.245954349597
154,31727.413399224173
155,31717.109500516937
156,31692.295791608965
157,31612.339618016344
