,AT0 0
0,15180.207822182752
1,15177.410142893732
2,15143.837991425578
3,15008.150545908473
4,14954.994639417228
5,14936.751143094789
6,14849.257444204923
7,14796.925759588014
8,14762.33548071224
9,14746.567532385787
10,14704.602343050592
11,14696.209305183553
12,14687.816267316519
13,14673.416622357892
14,14640.255719403303
15,14634.660360825279
16,14624.868483313734
17,14606.18490609599
18,14605.50387977205
19,14596.891690423607
20,14521.354349620264
21,14510.163632464213
22,14503.169434241683
23,14479.58755984293
24,14475.192641351558
25,14472.394962062544
26,14465.400763840014
27,14440.221650238898
28,14422.036734860312
29,14363.28546979105
30,14361.886630146544
31,14350.694071245092
32,14328.314478678389
33,14260.972372070157
34,14254.042709186777
35,14183.330370300073
36,14153.459523115098
37,14133.87576809201
38,14099.747895977596
39,14089.112899467806
40,14040.401144098834
41,14008.084502446249
42,14003.953136439095
43,13999.587162219399
44,13981.402246840818
45,13971.610369329277
46,13875.090433858342
47,13840.11944274568
48,13838.720603101174
49,13770.177460520365
50,13727.404247654147
51,13680.860821703869
52,13672.258685404919
53,13652.674930381829
54,13651.812202777499
55,13635.888854647757
56,13613.507420335653
57,13595.322504957068
58,13581.334108512005
59,13558.952674199905
60,13526.779362376265
61,13486.744888253035
62,13475.294057534664
63,13451.242021572918
64,13372.907001480562
65,13364.513963613526
66,13361.076911245378
67,13311.358057122288
68,13307.161538188762
69,13295.970821032715
70,13290.726615161442
71,13245.612593830487
72,13241.416074896968
73,13203.647404495296
74,13197.520478455752
75,13192.188104347917
76,13185.462489116711
77,13184.157044232361
78,13180.4658538475
79,13178.468290894181
80,13163.08105480461
81,13125.037272713345
82,13124.55210285965
83,13115.520506891398
84,13111.32398795788
85,13104.329789735348
86,13090.341393290282
87,13062.364600400155
88,13045.57852466608
89,13039.983166088055
90,13025.994769642988
91,13020.399411064966
92,13016.202892131447
93,12989.624938885829
94,12983.533417447485
95,12982.630740663295
96,12982.630740663295
97,12964.445825284714
98,12963.67819719647
99,12960.249306351197
100,12946.26090990613
101,12945.440027776469
102,12927.861135473166
103,12922.480635949523
104,12891.706163770385
105,12861.883170746327
106,12852.538653724203
107,12839.949096923652
108,12825.96070047859
109,12804.978105810991
110,12796.585067943957
111,12785.394350787905
112,12778.400152565373
113,12778.400152565373
114,12770.007114698332
115,12767.209435409322
116,12751.82219931975
117,12746.226840741727
118,12728.041925363143
119,12728.041925363143
120,12727.128239690584
121,12718.899375934307
122,12716.975150658525
123,12701.463972117524
