,Anfang,Ende,RES,EE,Wechsel_EE-RES,Delta_t,Delta_E,LV_kurz,LV_lang,P_kurz,P_lang,Anteil_kurz,Anteil_lang
0,0,10,50844.608449891646,0,0,10,50844.608449891646,0.0,50844.608449891646,0.0,5084.460844989165,0.0,1.0
1,10,34,130834.27948225723,-13120.379777337545,14,24,117713.89970491969,13120.379777337545,143954.65925959477,546.6824907223977,5998.110802483116,0.0835293746083527,0.9164706253916474
2,34,62,135534.73832931084,-9254.49740247493,37,28,126280.24092683592,9254.49740247493,144789.23573178577,330.5177643741046,5171.044133278063,0.06007707820485589,0.9399229217951441
3,62,67,4569.263325393733,-164.05265236995547,63,5,4405.210673023777,164.05265236995547,4733.315977763688,32.81053047399109,946.6631955527376,0.03349812210592745,0.9665018778940725
4,67,90,1052.2419420448969,-68902.5803731337,88,23,-67850.33843108879,1052.2419420448969,-69954.8223151786,45.74964965412595,-3041.5140137034173,0.014818834619512566,0.9851811653804874
5,90,137,51797.224423551255,-221418.04444355887,123,47,-169620.8200200076,51797.224423551255,-273215.26886711014,1102.0686047564097,-5813.09082695979,0.15936994882602426,0.8406300511739758
6,137,176,2214.349823937677,-225683.4874076543,173,39,-223469.13758371663,2214.349823937677,-227897.83723159196,56.77820061378658,-5843.534287989537,0.009622914163183022,0.990377085836817
7,176,205,1553.807628640032,-106150.22521370274,203,29,-104596.4175850627,1553.807628640032,-107704.03284234277,53.57957340138041,-3713.932166977337,0.01422147483367749,0.9857785251663225
8,205,211,6677.989246244542,-3512.675372093843,207,6,3165.313874150699,3512.675372093843,10190.664618338385,585.4458953489739,1698.4441030563976,0.25633716849661603,0.743662831503384
9,211,231,129266.80236708611,-1763.060475319624,213,20,127503.74189176649,1763.060475319624,131029.86284240574,88.1530237659812,6551.493142120287,0.013276765291936972,0.986723234708063
10,231,245,9118.494586483972,-28663.59001332344,241,14,-19545.095426839467,9118.494586483972,-37782.08459980741,651.3210418917123,-2698.720328557672,0.1944217906193625,0.8055782093806376
11,245,272,208.10536221106486,-84138.87508647476,271,27,-83930.7697242637,208.10536221106486,-84346.98044868582,7.707606007817217,-3123.9622388402154,0.002461180900182419,0.9975388190998176
12,272,278,10890.959410658064,-4795.148900990511,273,6,6095.810509667554,4795.148900990511,15686.108311648575,799.1914834984185,2614.3513852747624,0.234123757697423,0.7658762423025769
13,278,280,298.28644853948754,-2367.7635977227983,279,2,-2069.4771491833108,298.28644853948754,-2666.050046262286,149.14322426974377,-1333.025023131143,0.10062502993926609,0.8993749700607339
14,280,321,1422.0089461379175,-78281.9062269292,317,41,-76859.89728079128,1422.0089461379175,-79703.91517306713,34.68314502775409,-1943.9979310504177,0.0175284159974368,0.9824715840025633
15,321,342,3488.785163039316,-31857.35259236729,335,21,-28368.567429327974,3488.785163039316,-35346.137755406606,166.132626811396,-1683.1494169241241,0.08983628396445723,0.9101637160355427
16,342,360,87.60682610283766,-66713.8555324281,358,18,-66626.24870632526,87.60682610283766,-66801.46235853095,4.867045894602092,-3711.1923532517194,0.001309733072544584,0.9986902669274553
17,360,366,1592.0483920218594,-1926.2639129857016,364,6,-334.2155209638422,1592.0483920218594,-3518.312305007561,265.3413986703099,-586.3853841679269,0.3115334682632665,0.6884665317367336
18,366,368,159.54769859315456,-78.82380803321394,367,2,80.72389055994063,78.82380803321394,238.3715066263685,39.41190401660697,119.18575331318425,0.24850243490452728,0.7514975650954727
19,368,392,2361.7005403688363,-34781.9771058401,389,24,-32420.276565471264,2361.7005403688363,-37143.67764620894,98.40418918203484,-1547.6532352587058,0.05978174741714636,0.9402182525828536
20,392,400,269.1551394233393,-10629.722687013547,399,8,-10360.567547590208,269.1551394233393,-10898.877826436887,33.64439242791741,-1362.3597283046108,0.02410049650158849,0.9758995034984115
21,400,413,10998.332426899828,-19850.214570696844,409,13,-8851.882143797016,10998.332426899828,-30848.54699759667,846.0255712999867,-2372.9651536612823,0.26282323982470196,0.7371767601752981
22,413,423,22717.57796908873,-12492.837356758262,417,10,10224.740612330466,12492.837356758262,35210.41532584699,1249.2837356758262,3521.041532584699,0.2618864889545302,0.7381135110454699
23,423,518,868422.1465917045,-21728.576041716584,428,95,846693.5705499878,21728.576041716584,890150.7226334211,228.7218530707009,9370.00760666759,0.02382834666088578,0.9761716533391142
24,518,523,4506.715083363026,-1920.5748418606654,519,5,2586.1402415023604,1920.5748418606654,6427.289925223691,384.1149683721331,1285.4579850447383,0.23006779523232035,0.7699322047676797
25,523,536,1581.7649647979015,-23167.19702073276,533,13,-21585.43205593486,1581.7649647979015,-24748.961985530663,121.67422806137704,-1903.7663065792817,0.06007296979615535,0.9399270302038446
26,536,560,1571.8626814011568,-73073.21937894721,557,24,-71501.35669754606,1571.8626814011568,-74645.08206034836,65.49427839171487,-3110.211752514515,0.020623533083452692,0.9793764669165473
27,560,690,682501.4262806401,-208193.9382358177,599,130,474307.48804482236,208193.9382358177,890695.3645164578,1601.4918325832132,6851.502803972752,0.18945851753618465,0.8105414824638153
28,690,752,379073.48867857084,-5188.144536893973,693,62,373885.34414167685,5188.144536893973,384261.6332154648,83.67975059506408,6197.768277668788,0.013321729355801512,0.9866782706441984
29,752,759,4964.162756650279,-32754.543263012154,757,7,-27790.380506361875,4964.162756650279,-37718.70601966244,709.166108092897,-5388.386574237491,0.11630339991123537,0.8836966000887646
30,759,779,51943.890298273196,-51338.61532923576,767,20,605.274969037433,51338.61532923576,103282.50562750896,2566.930766461788,5164.125281375448,0.3320284771677328,0.6679715228322672
31,779,787,2113.1368391253654,-16556.577849355475,784,8,-14443.44101023011,2113.1368391253654,-18669.71468848084,264.1421048906707,-2333.714336060105,0.10167694439420169,0.8983230556057984
32,787,791,274.056266344518,-570.402312753642,790,4,-296.346046409124,274.056266344518,-844.45857909816,68.5140665861295,-211.11464477454,0.24501799637362337,0.7549820036263766
33,791,817,48604.03091784848,-112920.40515791118,807,26,-64316.3742400627,48604.03091784848,-161524.43607575967,1869.385804532634,-6212.478310606141,0.2313062652254868,0.7686937347745132
