,0
2013-01-01,106309.59240116876
2013-01-02,111417.6433304263
2013-01-03,58408.51091317509
2013-01-04,-77840.3952802059
2013-01-05,-188004.32779577363
2013-01-06,-46986.45279233864
2013-01-07,-125440.28169449103
2013-01-08,-67490.05278077601
2013-01-09,-11517.105652762662
2013-01-10,69376.23147934735
2013-01-11,-64535.29941784275
2013-01-12,-16483.624403509028
2013-01-13,-60204.26695833694
2013-01-14,-37452.01622070576
2013-01-15,-64129.945309227114
2013-01-16,-26582.45473422605
2013-01-17,-36137.59846405455
2013-01-18,36489.13361421171
2013-01-19,233556.40685637126
2013-01-20,215750.10309317015
2013-01-21,286777.01055344543
2013-01-22,85586.88199963796
2013-01-23,-73524.80681886163
2013-01-24,-82679.79705852669
2013-01-25,-118190.04423265746
2013-01-26,163946.3995333598
2013-01-27,171548.86904250173
2013-01-28,195083.3753414964
2013-01-29,153039.37713484094
2013-01-30,186983.0467325597
2013-01-31,153702.1171596467
2013-02-01,-53978.81646014544
2013-02-02,27064.931785606143
2013-02-03,-61786.627846943804
2013-02-04,107619.85719175744
2013-02-05,174058.6791262044
2013-02-06,43910.00276298544
2013-02-07,-85716.11693346477
2013-02-08,-96257.57431926993
2013-02-09,-125594.2870342218
2013-02-10,68069.67512472483
2013-02-11,155944.97985208835
2013-02-12,-26225.89025183061
2013-02-13,-140214.84424359447
2013-02-14,37195.25081150294
2013-02-15,-74648.25529741897
2013-02-16,-111757.5194630685
2013-02-17,-108562.13772122172
2013-02-18,-71204.33780051541
2013-02-19,46729.491157663906
2013-02-20,47877.674018904334
2013-02-21,-18055.96245331835
2013-02-22,56431.864383604654
2013-02-23,193510.13810411392
2013-02-24,193321.545687459
2013-02-25,117546.99101726644
2013-02-26,-55952.418507275535
2013-02-27,-124968.03277149316
2013-02-28,-16811.63774440589
2013-03-01,36455.11144942761
2013-03-02,21998.788307583793
2013-03-03,-69789.01826267804
2013-03-04,-29234.016588440754
2013-03-05,-147038.40349866878
2013-03-06,-166859.15437466226
2013-03-07,126732.1970563477
2013-03-08,129994.70523211746
2013-03-09,181069.64305941615
2013-03-10,160582.1102959822
2013-03-11,41622.44467460495
2013-03-12,-86924.05818525884
2013-03-13,-155536.58131555287
2013-03-14,-279543.063406653
2013-03-15,-253177.03312859221
2013-03-16,254017.80393953912
2013-03-17,152834.28611736547
2013-03-18,207938.60210033174
2013-03-19,102835.35775352643
2013-03-20,-81979.08849963539
2013-03-21,-91109.58642662165
2013-03-22,189007.32406597864
2013-03-23,234978.69355374033
2013-03-24,200416.1220659211
2013-03-25,264798.4614073189
2013-03-26,298676.7611886985
2013-03-27,118428.47172108936
2013-03-28,-129118.32734891312
2013-03-29,-18267.962324882006
2013-03-30,-33684.02826846042
2013-03-31,22107.856750878847
2013-04-01,-26175.69036641313
2013-04-02,100800.06388293517
2013-04-03,137841.72657113092
2013-04-04,92533.9208057403
2013-04-05,-8220.406085767783
2013-04-06,-59469.56281319833
2013-04-07,-31922.39920803216
2013-04-08,-135015.514103479
2013-04-09,249577.1449809939
2013-04-10,109588.6797722236
2013-04-11,20300.23308056889
2013-04-12,91199.68185354938
2013-04-13,45136.707807259896
2013-04-14,185523.96441044018
2013-04-15,63833.20788388163
2013-04-16,-30786.26863816255
2013-04-17,4932.016278451881
2013-04-18,215340.66331613122
2013-04-19,61603.12286702533
2013-04-20,-50709.909893365126
2013-04-21,-117468.5576756419
2013-04-22,-306075.5451265742
2013-04-23,78017.70664442159
2013-04-24,-11094.829433827663
2013-04-25,-68087.20432605641
2013-04-26,-375249.2443189537
2013-04-27,-248027.78344779022
2013-04-28,-97196.96071186541
2013-04-29,111646.58274739738
2013-04-30,-135278.7400863117
2013-05-01,-177968.02119240115
2013-05-02,-291746.90227098175
2013-05-03,-405969.7040169201
2013-05-04,-129198.62713007569
2013-05-05,-203414.78305529073
2013-05-06,-419211.8256114272
2013-05-07,-342520.79690758965
2013-05-08,-236862.28464014275
2013-05-09,-219547.22542168773
2013-05-10,-138759.49078277306
2013-05-11,-100142.2477395461
2013-05-12,-104926.40925073654
2013-05-13,-15420.860493149663
2013-05-14,-57636.77075849445
2013-05-15,-98884.18957010937
2013-05-16,-222171.812226018
2013-05-17,-286376.43921545404
2013-05-18,-129794.89329412056
2013-05-19,-158420.36353562455
2013-05-20,-131061.98118634282
2013-05-21,-144005.6443967133
2013-05-22,170428.59254884924
2013-05-23,-65152.65107739534
2013-05-24,-329878.37701260304
2013-05-25,45057.29625808558
2013-05-26,83080.62069003616
2013-05-27,-128149.46475207683
2013-05-28,-427092.97464963945
2013-05-29,-193075.83807358693
2013-05-30,-99736.77601592129
2013-05-31,181540.1232695873
2013-06-01,110041.83637915844
2013-06-02,81478.85851981875
2013-06-03,-111984.16683230235
2013-06-04,-252084.42926699782
2013-06-05,-454779.2945706788
2013-06-06,-435806.1833202169
2013-06-07,-352588.6535310157
2013-06-08,-229444.5042297138
2013-06-09,-259016.26046382164
2013-06-10,-435388.82014779956
2013-06-11,-422170.19254868093
2013-06-12,-119104.59919132077
2013-06-13,83981.39271447806
2013-06-14,-100430.23127852085
2013-06-15,45169.85367362996
2013-06-16,-33338.14264972313
2013-06-17,-272993.2410594106
2013-06-18,-213178.58125715304
2013-06-19,-282480.51389240363
2013-06-20,-410571.2814564147
2013-06-21,87649.32832944408
2013-06-22,141850.35984915105
2013-06-23,103392.27004768142
2013-06-24,-119600.19734173371
2013-06-25,-92431.89016076359
2013-06-26,62939.12897564509
2013-06-27,-108481.55678172111
2013-06-28,-102752.63071813043
2013-06-29,78808.78908830807
2013-06-30,-106339.76921670922
2013-07-01,-69388.89678605493
2013-07-02,-330013.739632789
2013-07-03,-222783.5482960725
2013-07-04,-311993.6233939575
2013-07-05,-309367.3903412763
2013-07-06,-312562.4257187615
2013-07-07,-315677.4518810849
2013-07-08,-322631.64612508676
2013-07-09,-331563.8439805013
