,f,max
0.0,26662.41297821148,
1.0,4167.4887594016045,
2.0,1346.865975365398,
3.0,724.0719868094103,
4.0,611.9930564916426,
5.0,1667.3353566994958,
6.0,855.9082936363332,
7.0,801.1406620114492,
8.0,629.526111538988,
9.0,1114.5564102047902,
10.0,1234.7279382368522,
11.0,600.646241279603,
12.0,1547.0209038196954,
13.0,870.2800402045217,
14.0,479.66102071524017,
15.0,841.8158064852007,
16.0,424.6994205799103,
17.0,658.8096575822299,
18.0,422.66093509051507,
19.0,368.4224810364747,
20.0,192.1647371701225,
21.0,483.455828219084,
22.0,513.8250468339227,
23.0,1289.4418512835198,
24.0,824.1970359856278,
25.0,334.63955779076514,
26.0,496.54601049337737,
27.0,1044.3328767134076,
28.0,640.5770480113125,
29.0,334.76588220598376,
30.0,1494.5522232318294,
31.0,1200.5934424117706,
32.0,721.2651538259995,
33.0,660.7938330792571,
34.0,875.1012497442885,
35.0,484.0909205553786,
36.0,1110.8939104216788,
37.0,247.49841294709756,
38.0,568.4128966735116,
39.0,864.6105463167264,
40.0,756.8976774016581,
41.0,334.3761661990982,
42.0,86.15691155677126,
43.0,436.08572263567794,
44.0,1408.5402376086874,
45.0,982.0094813567475,
46.0,1116.4676214773103,
47.0,880.3352700094724,
48.0,958.0613376193188,
49.0,271.5793403608073,
50.0,1097.5596674369554,
51.0,259.90910730657964,
52.0,2097.2171565426565,2097.2171565426565
53.0,950.4346574905848,
54.0,885.4450464148664,
55.0,888.5681625099699,
56.0,1299.2620740135742,
57.0,620.9178877342852,
58.0,355.4192593112912,
59.0,204.7073016497201,
60.0,493.6738708701696,
61.0,654.025443992808,
62.0,620.1241734251572,
63.0,234.1694260989774,
64.0,486.13115431008407,
65.0,249.72046682436326,
66.0,673.3952164330025,
67.0,480.5707842780449,
68.0,927.4025068901674,
69.0,560.0529577843273,
70.0,757.4573703304869,
71.0,271.1069494401488,
72.0,342.74578527484016,
73.0,524.9727685134346,
74.0,470.7657613917561,
75.0,967.3947097845039,
76.0,653.262918707077,
77.0,132.6222020061376,
78.0,639.2428069112896,
79.0,490.0753040906883,
80.0,695.6682115964552,
81.0,746.6984871621676,
82.0,479.11895669595015,
83.0,867.8450695796558,
84.0,549.5323430698761,
85.0,377.9714944777122,
86.0,348.8622312219834,
