,f,max
0.0,4475.48859615785,
1.0,5268.649536856444,
2.0,1216.5501607829012,
3.0,808.32722409046,
4.0,723.752488891576,
5.0,1658.2031729637456,
6.0,899.7608149504831,
7.0,838.6189376951036,
8.0,461.70707668773167,
9.0,1159.9407459815934,
10.0,1138.2677986748727,
11.0,634.2797469274707,
12.0,1530.8385109435656,1530.8385109435656
13.0,802.0966006071698,
14.0,448.50195949471436,
15.0,865.7214693924908,
16.0,473.6681874340302,
17.0,612.3588274720623,
18.0,435.9121082796619,
19.0,442.6847413676689,
20.0,335.78291464483027,
21.0,443.76387994173876,
22.0,560.7916459009668,
23.0,1270.3995218810428,
24.0,786.7465360820139,
25.0,259.7053871804689,
26.0,462.4608942979279,
27.0,1108.7238330414887,
28.0,691.4042255519144,
29.0,347.19031851203175,
30.0,1377.8906680583923,
31.0,1211.2553842844882,
32.0,741.1569662742917,
33.0,709.8163935430023,
34.0,813.9085636637984,
35.0,481.4312142442746,
36.0,1073.1897401748406,
37.0,348.4460951755342,
38.0,640.5889792184836,
39.0,850.2790854612356,
40.0,749.577589870773,
41.0,310.8337110169005,
42.0,129.26518407173685,
43.0,457.3285913704069,
44.0,1424.38878439219,1424.38878439219
45.0,971.2525201992099,
46.0,1136.6349208304027,
47.0,929.5293699715204,
48.0,882.5752204500421,
49.0,210.16781216705135,
50.0,1091.3630672839186,
51.0,361.93030553797894,
52.0,1156.5176135341753,
53.0,720.3065478884247,
54.0,764.9541478416465,
55.0,793.0711069807874,
56.0,1339.6678900636962,1339.6678900636962
57.0,621.8048511441344,
58.0,333.47859461111557,
59.0,229.21064136405678,
60.0,566.9949375337701,
61.0,708.7695629177615,
62.0,651.9746839681252,
63.0,226.05149585976312,
64.0,490.78043116140105,
65.0,240.77948606709148,
66.0,753.7059006279975,
67.0,422.79019281922035,
68.0,903.284249327802,
69.0,578.2778074372234,
70.0,728.329541624547,
71.0,221.4674425153507,
72.0,379.3170037726862,
73.0,484.63955690286195,
74.0,423.01470058394403,
75.0,1001.4669246232239,1001.4669246232239
76.0,693.2367217067213,
77.0,127.56984846060338,
78.0,639.8917189872813,
79.0,519.9142879273497,
80.0,684.2304188366104,
81.0,741.2237925577215,
82.0,487.5058774584162,
83.0,855.7538579683019,855.7538579683019
84.0,554.8679653413241,
85.0,331.78505177787304,
86.0,300.3883182481409,
87.0,422.11789610792124,
88.0,334.6009699733984,
89.0,451.2385618495933,
90.0,433.8292698826276,
91.0,176.72243030842597,
92.0,423.53901755996935,
93.0,119.2794495751887,
94.0,143.05194892652773,
95.0,576.5399989973441,
96.0,555.9767837365833,
97.0,516.5904886579848,
98.0,221.2303047027794,
99.0,388.35980062583917,
100.0,385.8682362537688,
101.0,645.2994726919615,
102.0,493.38029898217945,
103.0,568.7170080318709,
104.0,751.6438210083007,751.6438210083007
105.0,333.69247681749454,
106.0,466.12354198268935,
107.0,557.8761261921854,
108.0,181.92648825416552,
109.0,358.5465955535219,
110.0,231.0258373595053,
111.0,257.1344253692891,
112.0,571.9278274498729,
113.0,177.48240606429832,
114.0,407.2580894509014,
115.0,232.54699173975237,
