,AT0 0
0,45147.21294279572
1,43270.10087826817
2,42478.32752539215
3,41883.99867515559
4,41865.97385887833
5,41523.13945436
6,41110.350368284504
7,40731.813490806155
8,40075.566441466966
9,39942.959085064685
10,39800.27380451777
11,39617.63383784308
12,39208.82637596623
13,39034.318555674276
14,38866.398214309884
15,38330.599500263386
16,38101.19544170122
17,37661.753348620354
18,37527.27730483235
19,37515.25682892487
20,37424.18286331566
21,37375.23056713372
22,37362.14583560774
23,37336.506214795445
24,37301.08931144315
25,37153.71279673324
26,37050.33141396937
27,36934.10586057613
28,36856.06387673957
29,36541.6408680672
30,36506.76607059002
31,36459.07718960404
32,36428.674187708355
33,36419.39309712471
34,36291.62364916768
35,36264.39117285211
36,36162.02151197615
37,36099.899919408774
38,35883.25805248986
39,35861.42352029848
40,35855.59925724134
41,35732.93631316382
42,35705.13692964693
43,35677.57674663105
44,35466.189115273315
45,35445.04773228182
46,35382.17045567004
47,35343.57908349956
48,35200.808795682584
49,35103.4805643937
50,35095.48609264492
51,34943.17509789582
52,34930.294625344446
53,34928.03342210555
54,34895.0024082491
55,34891.566331047914
56,34788.6592866823
57,34749.37902944855
58,34713.477437146204
59,34697.39884659159
60,34691.76747962412
61,34680.232894291155
62,34679.653841686
63,34606.20579505447
64,34600.93138672642
65,34433.33447183048
66,34289.34570368419
67,34282.757065744016
68,34261.53045663316
69,34244.05890230173
70,34182.09907005989
71,34170.329786136026
72,34165.03586023698
73,34163.65603582409
74,34140.96541364255
75,34065.92578137246
76,34033.14794964568
77,33947.4476134047
78,33915.658475988515
79,33881.50313624648
80,33829.67989601703
81,33826.50866446006
82,33817.442845452206
83,33793.09001076299
84,33727.27586170864
85,33704.97785858677
86,33692.13626600892
87,33612.80336302296
88,33527.790239784095
89,33494.60843120124
90,33455.061907370065
91,33362.510095164835
92,33337.43204217957
93,33313.51092844168
94,33258.06063057263
95,33232.95626892159
96,33230.62526897839
97,33163.67538271521
98,33158.735222653595
99,33151.00311308182
100,33137.93607870291
101,33129.77683605907
102,33124.103211644484
103,33062.056319602794
104,33035.91609447383
105,32970.47242871999
106,32927.014881396935
107,32925.43691355578
108,32792.84054075481
109,32781.87305418734
110,32780.64227752235
111,32752.677606815734
112,32750.15914792211
113,32710.408687047282
114,32705.850137314097
115,32702.64241437615
116,32674.610765055437
117,32543.07740964318
118,32520.134996204324
119,32446.016908984813
120,32445.41410673051
121,32434.0589551378
122,32432.387398883715
123,32399.065794538517
124,32364.380525210163
125,32333.710352873193
126,32318.18510183815
127,32307.558911876753
128,32295.301474792366
129,32253.169367542454
130,32238.276815026158
131,32220.652035697785
132,32181.1562051398
133,32179.83446072315
134,32108.007083221062
135,32086.12134360641
136,32068.50209746017
137,31996.237295199295
138,31968.720730654768
139,31966.977207894495
140,31951.618970484153
141,31942.557253778432
142,31932.291939026843
143,31929.56029041048
144,31911.73317450325
145,31910.496223867805
146,31907.97270418561
147,31894.558762088476
148,31876.044893362756
149,31791.681125313306
150,31786.79411581598
151,31781.732470739935
152,31778.669106504305
153,31777.200192803426
154,31771.96724135505
155,31758.108058885497
156,31741.860524654672
157,31741.15739542052
158,31729.358009672877
159,31726.115391022242
160,31684.699231306095
161,31659.827442823775
162,31626.196459316907
163,31611.168286095897
164,31559.872672891426
165,31442.450383841733
166,31439.949890723983
167,31429.91150396907
168,31421.58613974225
169,31398.123403664475
170,31354.288624471115
171,31349.329374369816
172,31321.031197478816
173,31316.828249889033
174,31316.00458410223
175,31312.433387882924
176,31244.929656872744
177,31206.79779048213
178,31195.812718057743
179,31187.55752219103
180,31171.295023500606
181,31162.02343727461
182,31155.73244173043
183,31153.519513059007
184,31094.801225423944
185,31073.07773615298
186,31012.231848102118
187,30960.273556875563
188,30952.716311118296
189,30932.77224956866
190,30924.848411007533
191,30906.131843185958
192,30905.427865115907
193,30876.704123029536
194,30860.625291808996
195,30840.53468256747
196,30827.36026052576
197,30808.81743807823
198,30798.483772993717
199,30751.3426635011
200,30740.243538698764
201,30737.259779998127
202,30732.115146957276
203,30722.97417362556
204,30701.52277390416
205,30672.465304131016
206,30664.718809435493
207,30655.07931029957
208,30653.441418305512
209,30643.522399536807
210,30593.953813872926
211,30591.173129650684
212,30590.08854405275
213,30581.60856507613
214,30571.81005008581
215,30557.88286417214
216,30550.514022354095
217,30550.261274537967
218,30546.902589151134
219,30546.17733638513
220,30476.93433843228
221,30453.522089378508
222,30444.724494945876
223,30420.45592020987
224,30415.58494586481
225,30410.42943366973
226,30391.43879657878
227,30384.813491314886
228,30379.205241897882
229,30297.46107361525
230,30287.470288604258
231,30280.599463623552
232,30269.121889767983
233,30265.47640468329
234,30235.314068376585
235,30217.831885715314
236,30195.457361628945
237,30189.111168482115
238,30181.831645467028
239,30150.12251603182
240,30138.034100322555
241,30099.657209961348
242,30097.39593716697
243,30094.394858682797
244,30092.597069831
245,30074.56510027812
246,30059.677755628232
247,30053.10021806948
248,30038.321474199573
249,30034.127678492296
250,30031.06454664387
251,30001.589972007307
252,29999.794563978827
253,29997.185182316804
254,29981.493498400443
255,29946.1129391476
256,29938.308983038427
257,29928.032251293607
258,29925.30644598375
259,29902.904804795508
260,29897.692234209033
261,29885.16732998943
262,29879.148928153874
263,29874.12694798965
264,29872.698608561248
265,29857.142864999918
266,29856.904068602722
267,29840.890571999662
268,29838.63025928979
269,29833.066010617233
270,29818.708430612245
271,29814.530742731793
272,29792.629937347137
273,29737.11675709182
274,29725.170038635213
275,29716.817510079774
276,29711.269650775044
277,29707.39367301411
278,29690.371669289638
279,29688.146480014802
280,29685.375595658286
281,29675.703808958377
282,29640.529754598832
283,29623.599559283193
284,29607.12894473527
285,29606.095467017276
286,29599.26611940324
287,29584.549222584516
288,29540.73108571171
289,29493.163279763543
290,29480.861727465184
291,29468.475592304592
292,29462.53608209818
293,29460.4086411994
294,29458.490783810565
295,29430.134325325012
296,29425.997869516494
297,29424.423430336137
298,29414.53792261113
299,29413.56392765576
300,29404.601158006757
301,29403.611015044047
302,29403.218610298114
303,29382.386132340078
304,29376.387493764687
305,29361.805479938714
306,29361.532351462163
307,29351.700368076756
308,29345.79280899445
309,29345.09817759598
310,29343.44229069815
311,29340.8001640003
312,29328.665017615214
313,29316.95897735827
314,29305.53832925374
315,29293.2166817926
316,29287.786088354685
317,29260.09556301281
318,29258.91494838822
319,29254.7144170208
320,29240.289394885283
321,29231.529883758765
322,29223.980347296405
323,29223.198919812192
324,29202.922031268437
325,29192.602815678143
326,29175.820896241305
327,29134.669425910986
328,29133.7680475971
329,29106.162463604873
330,29103.62860632407
331,29074.512015491953
332,29066.795254118264
333,29065.495795421546
334,29058.362323140333
335,29055.804007140636
336,29037.56403307214
337,29034.37338173177
338,29005.263361326062
339,28988.859465022757
340,28961.277964076744
341,28960.634119410264
342,28959.15391929227
343,28958.02491373703
344,28953.608134543167
345,28928.3792984336
346,28918.78991883435
347,28908.319515776227
348,28890.19180551269
349,28886.466361841423
350,28885.25365996815
351,28869.81217550153
352,28869.241254971013
353,28867.46922876904
354,28866.412262248243
355,28864.89459184072
356,28862.52333322888
357,28862.373087577173
358,28859.93826774334
359,28856.834644108712
360,28840.64877599066
361,28834.293769472915
362,28834.10233389071
363,28801.670196038955
364,28792.619711083033
365,28763.574411272235
366,28762.742925847317
367,28761.995320065205
368,28760.051073509927
369,28746.540621396583
370,28724.134774700204
371,28711.32355646767
372,28688.19765095097
373,28680.654064673836
374,28675.742729165333
375,28671.483316672464
376,28658.455811723932
377,28600.882826339326
378,28599.759250342086
379,28598.696123597605
380,28597.247325791483
381,28555.410973186834
382,28553.581448582958
383,28526.64646476992
384,28521.20605922985
385,28491.89528914667
386,28472.192359041004
387,28471.905053190974
388,28468.98774164191
389,28468.776181997393
390,28467.098009726462
391,28454.742315935535
392,28441.056242237948
393,28430.484880984637
394,28426.261909622634
395,28424.71103785348
396,28420.553755054843
397,28412.76121546663
398,28411.2957256597
399,28395.017813607585
400,28378.528857915582
401,28378.018572725246
402,28367.522554072348
403,28346.124229479985
404,28338.530759962363
405,28335.494080025725
406,28333.658168779468
407,28316.45739163048
408,28308.18836858409
409,28308.00871271411
410,28291.95336441147
411,28288.478699884257
412,28285.270148950716
413,28285.032761238843
414,28279.10825670504
415,28278.779134923916
416,28262.10316564936
417,28260.478893980144
418,28248.099326000032
419,28237.255422722705
420,28205.653443617608
421,28198.638686231738
422,28179.799354149487
423,28164.863461777164
424,28162.325102136216
425,28161.516469267404
426,28159.98684786138
427,28159.304746685444
428,28147.653687345373
429,28131.520989093577
430,28126.437508171843
431,28098.525734076615
432,28080.553410551493
433,28073.46957289819
434,28055.241392096526
