,AT0 0
0,30948.990551056417
1,29270.51371604877
2,28738.92453705093
3,28575.59839642364
4,28478.918361851385
5,28367.052597777925
6,28257.811714560303
7,27484.802057331162
8,27372.703629704934
9,27346.953741800215
10,27066.640157383874
11,26668.575248647936
12,26598.02523966698
13,26460.148991206835
14,26252.773588548553
15,25473.864327605657
16,25170.347577440167
17,25104.108098955672
18,25072.879051408403
19,25069.638214411494
20,25050.196756728918
21,25006.195255683284
22,24856.58780489397
23,24813.617658535542
24,24746.016037992427
25,24656.741173644958
26,24368.389559702635
27,24260.74054424795
28,24117.025661970943
29,24108.43819635334
30,23834.677731007134
31,23652.700244148542
32,23410.733125086237
33,23376.101464819738
34,23309.405784536357
35,23261.71078692272
36,23249.33275353817
37,23177.41928345925
38,23126.48923164861
39,23120.24513601405
40,23113.19905967515
41,23075.013779399225
42,22959.735389538935
43,22952.288799155278
44,22912.843357149563
45,22736.66006933278
46,22681.55638975979
47,22483.861435762574
48,22456.114302515154
49,22408.508890749472
50,22327.878091117338
51,22322.01590166043
52,22210.508050366734
53,22184.9802934267
54,22126.85426526091
55,22102.299163062315
56,22095.619661016135
57,22088.65442064903
58,22072.376295845694
59,22070.761773397706
60,22067.580441908372
61,22028.30098951196
62,22001.75334906232
63,21995.66364834401
64,21967.578205017584
65,21951.13599746042
66,21919.585610422135
67,21902.506103815467
68,21863.820573030687
69,21853.08090780313
70,21823.458072070905
71,21749.212309687588
72,21723.730722922883
73,21709.54064390398
74,21699.264970368917
75,21678.609265847095
76,21672.629732861606
77,21621.381712944163
78,21596.265701267774
79,21588.29048529175
80,21562.70261796555
81,21547.306293087066
82,21509.813399909654
83,21493.155056549524
84,21480.202956124223
85,21468.64010667324
86,21416.107776468984
87,21391.752676296997
88,21367.445189234124
89,21346.943733485008
90,21306.194101074332
91,21291.974371664
92,21256.54362073252
93,21226.771004190185
94,21214.7871393421
95,21183.35157114402
96,21171.579952879198
97,21165.340443687892
98,21132.06590760307
99,21129.874470524446
100,21081.640771717284
101,21077.400351850793
102,21074.913142315196
103,21040.237334024125
104,21036.03620839086
105,21030.58286343053
106,21017.181686407217
107,21009.317415363956
108,20958.635135320044
109,20956.511153860964
110,20951.742074194837
111,20914.464494370768
112,20894.758372065735
113,20820.8922264462
114,20781.014951802506
115,20775.750973896833
116,20745.77130190968
117,20742.92899528049
118,20722.201167802734
119,20717.29645683439
120,20663.19119875684
121,20649.191042370236
122,20600.919551303334
123,20583.907171235875
124,20545.549842006094
125,20521.677974813923
126,20517.350271081465
127,20475.63961663156
128,20393.026688285405
129,20386.62560324195
130,20330.394088826106
131,20323.563202738216
132,20264.374118794363
133,20257.898109666923
134,20246.736369245067
135,20244.324375431985
136,20201.37069836656
137,20176.92901754075
138,20169.430868190866
139,20167.630747027622
140,20085.011535669764
141,20081.65287725399
142,20035.688647304843
143,19983.169934327183
144,19960.49357987053
145,19957.08796276468
146,19932.0782718346
147,19922.892584792382
148,19786.640743018383
149,19778.69971403663
150,19746.660711126857
151,19744.73506408439
152,19739.149907788782
153,19724.21709394522
154,19711.97828716874
155,19711.754942656742
156,19707.679421716846
157,19705.4962536613
158,19691.245339854544
159,19676.324609970514
160,19673.70593288814
161,19670.425520959227
162,19637.838208079345
163,19612.746140715128
164,19609.97028646735
165,19588.887959586813
166,19533.536648861605
167,19522.440126891302
168,19509.007833446773
169,19508.529546254897
170,19502.452386316705
171,19475.438325625488
172,19425.743863617754
173,19425.137486886528
174,19406.35399789456
175,19394.02718011229
176,19364.94398415432
177,19364.788652085197
178,19346.278993674267
179,19342.80116914248
180,19311.986420735662
181,19311.147545799246
182,19261.57429017367
183,19238.431630437364
184,19207.770466925624
185,19206.546319200443
186,19179.448848184802
187,19172.841091183476
188,19163.581483072463
189,19162.70865447251
190,19135.659155188943
191,19102.216745102276
192,19087.360122976053
193,19086.490759959393
194,19078.127872168297
