,Anfang,Ende,RES,EE,Wechsel_EE-RES,Delta_t,Delta_E,LV_kurz,LV_lang,P_kurz,P_lang,Anteil_kurz,Anteil_lang
0,0,10,50487.50778645015,0,0,10,50487.50778645015,0.0,50487.50778645015,0.0,5048.750778645015,0.0,1.0
1,10,34,132814.29453207433,-12503.418169753055,14,24,120310.87636232127,12503.418169753055,107807.45819256821,520.975757073044,4491.977424690343,0.10392591715564006,0.8960740828443599
2,34,62,136494.07921657563,-8974.5106322483,37,28,127519.56858432732,8974.5106322483,118545.05795207902,320.51823686601074,4233.752069717108,0.07037751720680856,0.9296224827931914
3,62,67,4700.762556669637,-183.57464879187864,63,5,4517.187907877758,183.57464879187864,4333.61325908588,36.71492975837573,866.7226518171759,0.04063914376281166,0.9593608562371884
4,67,90,793.5686283817467,-69700.99260901101,88,23,-68907.42398062926,793.5686283817467,-68113.85535224751,34.50298384268464,-2961.4719718368483,0.011516446016104576,0.9884835539838954
5,90,137,49803.82480432183,-229895.76560501163,123,47,-180091.9408006898,49803.82480432183,-130288.11599636797,1059.6558469004644,-2772.0875743908077,0.2765466604607276,0.7234533395392723
6,137,176,2950.8545611944537,-217350.53941437084,173,39,-214399.68485317638,2950.8545611944537,-211448.83029198193,75.66293746652445,-5421.764879281588,0.013763334415417803,0.9862366655845822
7,176,205,1559.1025001916005,-103878.72383872782,203,29,-102319.62133853622,1559.1025001916005,-100760.51883834462,53.76215517902071,-3474.5006495980906,0.015237571052311959,0.9847624289476881
8,205,211,6632.612507920414,-3557.6683056866095,207,6,3074.9442022338044,3557.6683056866095,-482.72410345280514,592.9447176144349,-80.45401724213419,0.8805254404594768,0.11947455954052325
9,211,231,128459.64148049978,-1658.8789976466542,213,20,126800.76248285313,1658.8789976466542,125141.88348520648,82.9439498823327,6257.094174260324,0.013082563268268826,0.9869174367317312
10,231,245,8970.53002307321,-27562.275710127105,241,14,-18591.745687053895,8970.53002307321,-9621.215663980685,640.7521445052292,-687.2296902843347,0.482500684662426,0.517499315337574
11,245,278,10199.30462400297,-92983.19000487454,273,33,-82783.88538087158,10199.30462400297,-72584.58075686861,309.0698370909991,-2199.53275020814,0.12320398561964173,0.8767960143803584
12,278,280,779.286139318212,-2609.0163334546032,279,2,-1829.7301941363912,779.286139318212,-1050.4440548181792,389.643069659106,-525.2220274090896,0.4259022132418954,0.5740977867581045
13,280,320,1543.2862051369375,-85307.44861548787,317,40,-83764.16241035092,1543.2862051369375,-82220.87620521398,38.58215512842344,-2055.5219051303493,0.01842418237976949,0.9815758176202304
14,320,342,1256.3819671886322,-33906.71644473278,340,22,-32650.33447754415,1256.3819671886322,-31393.95251035552,57.10827123584692,-1426.9978413797965,0.038479911072663936,0.9615200889273361
15,342,366,1101.0856839981807,-67427.39475920502,365,24,-66326.30907520684,1101.0856839981807,-65225.22339120866,45.87857016659086,-2717.717641300361,0.016601039607822426,0.9833989603921776
16,366,368,232.4976461840215,-53.9751609370378,367,2,178.5224852469837,53.9751609370378,124.5473243099459,26.9875804685189,62.27366215497295,0.3023437684186606,0.6976562315813394
17,368,392,1745.737314435115,-38369.8923810461,390,24,-36624.15506661098,1745.737314435115,-34878.41775217587,72.73905476812979,-1453.2674063406612,0.04766628230084809,0.9523337176991519
18,392,401,163.01998488034405,-11119.931903180295,399,9,-10956.911918299951,163.01998488034405,-10793.891933419607,18.11333165337156,-1199.3213259355118,0.01487827830468111,0.9851217216953189
19,401,413,10880.33267217569,-20512.375489905105,409,12,-9632.042817729416,10880.33267217569,1248.2898544462732,906.6943893479742,104.02415453718943,0.897079008625562,0.10292099137443798
20,413,423,21367.545675371548,-12637.616250004092,417,10,8729.929425367456,12637.616250004092,-3907.6868246366357,1263.7616250004091,-390.7686824636636,0.7638189637864045,0.23618103621359557
21,423,518,867798.6878217339,-19128.779830496598,428,95,848669.9079912372,19128.779830496598,829541.1281607406,201.3555771631221,8732.011875376216,0.022539717327522007,0.977460282672478
22,518,523,5097.847419754216,-1035.5492955078244,519,5,4062.298124246392,1035.5492955078244,3026.7488287385677,207.10985910156487,605.3497657477135,0.254917109437883,0.745082890562117
23,523,536,1855.0780597795529,-21809.13977222365,533,13,-19954.061712444098,1855.0780597795529,-18098.983652664545,142.69831229073483,-1392.2295117434264,0.09296744124143191,0.9070325587585681
24,536,560,1755.3312749377,-70425.83446544559,557,24,-68670.50319050788,1755.3312749377,-66915.17191557019,73.13880312240417,-2788.1321631487576,0.025561648646552138,0.9744383513534479
25,560,611,76643.24510213923,-201827.97226827475,599,51,-125184.72716613552,76643.24510213923,-48541.482063996285,1502.8087274929262,-951.7937659607114,0.612241180191448,0.387758819808552
26,611,690,601938.4363403304,-454.2601152781717,612,79,601484.1762250522,454.2601152781717,601029.916109774,5.750128041495844,7607.973621642709,0.0007552320297586766,0.9992447679702413
27,690,752,377352.23092373664,-3699.553790038215,693,62,373652.6771336984,3699.553790038215,369953.1233436602,59.67022241997121,5966.9858603816165,0.009901049869139464,0.9900989501308606
28,752,759,5210.73085799195,-31934.124493247495,757,7,-26723.393635255547,5210.73085799195,-21512.6627772636,744.3901225702785,-3073.2375396090856,0.19498761755758276,0.8050123824424174
29,759,779,53827.169327863674,-49420.26709599116,767,20,4406.902231872511,49420.26709599116,-45013.36486411865,2471.0133547995583,-2250.6682432059324,0.5233333301939189,0.47666666980608113
30,779,788,2682.3348277664845,-15779.83153456944,784,9,-13097.496706802955,2682.3348277664845,-10415.16187903647,298.03720308516495,-1157.24020878183,0.20479751877877977,0.7952024812212202
31,788,791,434.0111582843565,-237.24171598269277,789,3,196.76944230166373,237.24171598269277,-40.47227368102904,79.08057199423092,-13.490757893676346,0.8542663488791613,0.1457336511208387
32,791,817,48759.325605536134,-112189.90112402543,807,26,-63430.5755184893,48759.325605536134,-14671.249912953164,1875.358677136005,-564.2788428058909,0.7687038184183485,0.23129618158165158
33,817,879,351328.768573649,-12981.083850055664,822,62,338347.68472359335,12981.083850055664,325366.6008735377,209.37232016218812,5247.848401186092,0.03836610810758262,0.9616338918924174
34,879,882,1054.5466724029138,-1281.8596144996372,880,3,-227.31294209672342,1054.5466724029138,827.2337303061904,351.51555746763796,275.74457676873016,0.5603983710770588,0.43960162892294113
35,882,929,540.6785525140986,-176474.6712416373,928,47,-175933.9926891232,540.6785525140986,-175393.31413660911,11.503798989661671,-3731.7726412044494,0.003073189804027707,0.9969268101959724
36,929,969,763.9312375008467,-164649.3802338114,968,40,-163885.44899631053,763.9312375008467,-163121.51775880967,19.098280937521167,-4078.037943970242,0.004661373185840585,0.9953386268141593
37,969,993,186023.89044356768,-8047.896618830313,973,24,177975.99382473738,8047.896618830313,169928.09720590708,335.32902578459635,7080.337383579462,0.04521900086567581,0.9547809991343242
38,993,1013,113659.06336279534,-22977.63410664536,998,20,90681.42925614998,22977.63410664536,67703.79514950461,1148.881705332268,3385.1897574752306,0.25338853054179256,0.7466114694582074
39,1013,1025,1071.0033230168883,-32581.32276535384,1023,12,-31510.319442336953,1071.0033230168883,-30439.316119320065,89.25027691807402,-2536.6096766100054,0.03398897066012917,0.9660110293398708
40,1025,1063,1198.46315441986,-170364.4513637741,1061,38,-169165.98820935425,1198.46315441986,-167967.5250549344,31.538504063680527,-4420.198027761432,0.007084539670803575,0.9929154603291965
41,1063,1088,58310.91146503105,-7683.563302180333,1066,25,50627.348162850714,7683.563302180333,42943.78486067038,307.3425320872133,1717.751394426815,0.15176705043813396,0.848232949561866
