,0
2013-01-01,107687.9849464994
2013-01-02,113767.27314520316
2013-01-03,58380.053634633565
2013-01-04,-81014.40485448795
2013-01-05,-194656.88101980858
2013-01-06,-46945.3639003794
2013-01-07,-119490.54535365224
2013-01-08,-64425.872979021195
2013-01-09,-9907.566492745716
2013-01-10,68574.11768823134
2013-01-11,-66729.30369989565
2013-01-12,-19548.949974536932
2013-01-13,-65839.12942869417
2013-01-14,-39818.25650294412
2013-01-15,-64668.921572101244
2013-01-16,-30687.548487153457
2013-01-17,-39006.70183928013
2013-01-18,37400.436956739555
2013-01-19,232880.87871937332
2013-01-20,215562.81504796114
2013-01-21,287171.2830349034
2013-01-22,87800.12637830584
2013-01-23,-70453.41366048614
2013-01-24,-79873.26582825185
2013-01-25,-114165.33325477486
2013-01-26,157285.40064873899
2013-01-27,170317.3118096067
2013-01-28,198804.89353852745
2013-01-29,153906.8981665151
2013-01-30,186239.17344266362
2013-01-31,153153.97115432585
2013-02-01,-50644.77016070142
2013-02-02,30832.430735258386
2013-02-03,-61196.60141238857
2013-02-04,110237.03416870495
2013-02-05,172349.60529684945
2013-02-06,47682.794428341644
2013-02-07,-83189.53674601305
2013-02-08,-95234.27708887577
2013-02-09,-125173.44257861096
2013-02-10,66134.81793715959
2013-02-11,152316.33682940525
2013-02-12,-26388.665831448292
2013-02-13,-140877.7620259426
2013-02-14,31840.37415226203
2013-02-15,-75284.5729813662
2013-02-16,-114108.45408407075
2013-02-17,-109631.81533899292
2013-02-18,-72472.05018203298
2013-02-19,49062.25721322682
2013-02-20,44677.21150532621
2013-02-21,-23224.330926021965
2013-02-22,55063.068453094194
2013-02-23,193325.68188862537
2013-02-24,200146.71104760532
2013-02-25,117811.45935680822
2013-02-26,-55154.047262707376
2013-02-27,-122727.49444265189
2013-02-28,-14450.23903129581
2013-03-01,41094.58705915064
2013-03-02,20769.08142971031
2013-03-03,-68844.83201487918
2013-03-04,-28104.254317609073
2013-03-05,-146344.3532013874
2013-03-06,-168009.4329308486
2013-03-07,126051.13447131916
2013-03-08,130172.30836588882
2013-03-09,181136.6103601433
2013-03-10,160364.7412823143
2013-03-11,39620.64604906189
2013-03-12,-87124.82454490101
2013-03-13,-152760.92552695906
2013-03-14,-280185.33342556976
2013-03-15,-252481.18010814872
2013-03-16,255690.9612986978
2013-03-17,157440.056993913
2013-03-18,212127.68274270388
2013-03-19,102724.94167678714
2013-03-20,-86549.11145801005
2013-03-21,-98825.62137156415
2013-03-22,193715.82492400007
2013-03-23,239373.18029652492
2013-03-24,205495.19556584788
2013-03-25,270010.534459774
2013-03-26,298783.6432544002
2013-03-27,121922.49305289167
2013-03-28,-142409.8732307267
2013-03-29,-24292.19447347537
2013-03-30,-40084.33187193095
2013-03-31,20861.13417023321
2013-04-01,-22403.89859037022
2013-04-02,105611.17961810285
2013-04-03,142400.21312531419
2013-04-04,99913.31008713429
2013-04-05,-1702.1187595791835
2013-04-06,-57442.59409723505
2013-04-07,-26356.73995074562
2013-04-08,-128717.99569040036
2013-04-09,249870.61131958486
2013-04-10,111356.9834372623
2013-04-11,24788.52343578793
2013-04-12,94453.42609768064
2013-04-13,49258.21012708104
2013-04-14,185860.8095702632
2013-04-15,64774.72261570992
2013-04-16,-28489.28042099889
2013-04-17,7168.4099936520315
2013-04-18,217228.04409558474
2013-04-19,63666.24783314839
