,AT0 0
0,29011.827910290223
1,28379.39812554219
2,28005.96554891582
3,27587.646097587898
4,27347.38029769641
5,27123.602523761238
6,27071.88148694512
7,26958.432383396714
8,26456.46653830514
9,26132.04670018122
10,25900.449213619337
11,25683.147943183812
12,25547.451741203888
13,25413.720369100505
14,25303.687993890337
15,25246.64877790963
16,25193.708419861527
17,25067.12490209096
18,24843.24698120176
19,24688.892297099253
20,24364.541462056564
21,24162.129127432687
22,24059.59340719127
23,23935.55714281787
24,23847.415165416725
25,23834.389428330516
26,23807.32419596062
27,23779.662903192682
28,23690.581993075193
29,23668.62784026623
30,23653.521438749834
31,23632.28406860949
32,23585.06410698291
33,23450.176777401557
34,23381.045744021656
35,23266.845583104423
36,23244.244020671584
37,23242.6004569835
38,23175.65419616048
39,23165.70838813023
40,23139.710868538852
41,22976.55866338663
42,22952.8052966689
43,22906.997201571434
44,22902.306678782443
45,22876.687468004046
46,22871.001961301477
47,22856.818270333657
48,22806.810085254994
49,22793.373925526044
50,22786.058861679005
51,22735.012104188303
52,22731.44573768258
53,22711.458682236796
54,22704.882263367814
55,22669.938919950513
56,22660.29895272159
57,22659.191572367345
58,22659.02128180801
59,22623.153977432437
60,22614.051240872745
61,22606.480421370827
62,22594.22155991887
63,22584.8030932569
64,22563.44005359296
65,22551.50987252599
66,22530.169346785082
67,22502.534491987826
68,22454.573423324135
69,22453.99898192397
70,22405.72736756628
71,22357.244059417342
72,22322.803260121633
73,22315.142168466
74,22308.135676348025
75,22268.345695251624
76,22244.658454901557
77,22231.556992945756
78,22223.63104575545
79,22213.95145980583
80,22204.482311993277
81,22203.139733752276
82,22186.765617262787
83,22159.676186063603
84,22129.13488520848
85,22063.838617987883
86,22060.204576564454
87,22054.70456916243
88,22025.013803373007
89,22019.98074303422
90,22019.751306548376
91,21947.221608735723
92,21939.694013336084
93,21938.542810587718
94,21904.613416847187
95,21900.680636927013
96,21872.3235962806
97,21871.54629948595
98,21861.08207858015
99,21860.340549024455
100,21819.490556891455
101,21802.169712171763
102,21790.389525401624
103,21787.5342888677
104,21777.016568555624
105,21775.76720583934
106,21771.940647214375
107,21770.674473573195
108,21762.36717935282
109,21753.33306011907
110,21744.215802191782
111,21725.00168906722
112,21705.867264272703
113,21684.898208941053
114,21675.72527734746
115,21650.15850733311
116,21638.932834927935
117,21627.21360758967
118,21622.962307405738
119,21622.73229615117
120,21619.098076022306
121,21598.065206503758
122,21577.308461447647
123,21523.056271132064
124,21515.07596480891
125,21510.566749412974
126,21483.54381931524
127,21475.082184645402
128,21467.859693960276
129,21437.776467474076
130,21402.673970765547
131,21394.92823348401
132,21389.143913982334
133,21377.18772722375
134,21349.821159289782
135,21330.261275870715
136,21329.753521103456
137,21299.189423342134
138,21295.230819713503
139,21292.888161597402
140,21281.3082637547
141,21257.186501347285
142,21256.041306474504
143,21255.258134967335
144,21250.708359027358
145,21219.838580787255
146,21216.77686934088
147,21201.177436770744
148,21196.612316374558
149,21176.968908782783
150,21169.299418761653
151,21145.364302560032
152,21142.071693198577
153,21136.15170681692
154,21135.832994865763
155,21108.828790581425
156,21084.870456012308
157,21078.901249827373
158,21075.128602314166
159,21069.812604710103
160,21046.252314856636
161,20991.942985930385
162,20984.933392314622
163,20974.4807384221
164,20970.333002206007
165,20963.06434119012
166,20961.91582588545
167,20961.608084077885
168,20959.47102816655
169,20957.516559266896
170,20935.283852213997
171,20928.34125339545
172,20926.384108742244
173,20914.346595396688
174,20903.191111691063
175,20897.08253334381
176,20890.0213492411
177,20880.78701610144
178,20879.037489074548
179,20860.508717029334
180,20858.86144834802
181,20854.720670127117
182,20841.340551065226
183,20832.474850962328
184,20828.023107640798
185,20825.597352699486
186,20825.07741642503
187,20820.417429023317
188,20790.87331064487
189,20764.165078164348
190,20754.904980116236
191,20741.144562916314
192,20740.7350072028
193,20737.73425178472
194,20727.226313872663
195,20712.155075370505
196,20700.129098518897
197,20672.46561965568
198,20647.35429807847
199,20638.508516830596
200,20623.5588242743
201,20614.634038136417
202,20605.032194860247
203,20596.470891387482
204,20575.66572703736
205,20574.34663377884
206,20571.103262574015
207,20494.82544871591
208,20493.878400036225
209,20482.611676866763
210,20481.565812818062
211,20469.301301295127
212,20460.0202871402
213,20457.38258957858
214,20431.25761399548
215,20425.612098648708
216,20416.984455130576
217,20395.087529337263
218,20390.685894780356
219,20381.721154124938
220,20361.180248903744
221,20351.131098263297
222,20344.06259853114
223,20341.94768537114
224,20341.253153072772
225,20322.878983790557
226,20301.4381394608
227,20297.99337260099
228,20285.807864182432
229,20266.139457601512
230,20260.824093391268
231,20258.529288764177
232,20247.137314857016
233,20244.02829747287
234,20236.23907358815
235,20225.524656021105
236,20223.99972034762
237,20221.003175207585
238,20220.172964250607
239,20208.51912271767
240,20206.207249488987
241,20191.00745588266
242,20185.369960515127
243,20181.11375737535
244,20179.871126973354
245,20175.470121712202
246,20168.40520491323
247,20163.60251627392
248,20160.176195135453
249,20159.075141619072
250,20140.979321954703
251,20138.32985634157
252,20135.68385564784
253,20128.36391393437
254,20128.006461667574
255,20125.34106602995
256,20124.641516010448
257,20121.422877620465
258,20118.25196214466
259,20108.90818542666
260,20089.84055324897
261,20082.40446855582
262,20080.162650367638
263,20074.16160684138
264,20073.681608690564
265,20071.836034404394
266,20065.899481820496
267,20058.13338259073
268,20055.93527187551
269,20051.045981623876
270,20046.128578691852
271,20045.516025935936
272,20044.832147963134
273,20040.8479794586
274,20040.381194564343
275,20039.68731944794
276,20038.96941962295
277,20036.02817313811
278,20033.143852614347
279,20024.51534612636
280,20020.76109585612
281,20003.42050634844
282,19996.601725950793
283,19994.706721239614
284,19988.341604729998
285,19974.876715539653
286,19947.833143929125
287,19947.6360717995
288,19934.408221156496
289,19916.553614786942
290,19912.954531205236
291,19912.6598453097
292,19911.911432753608
293,19901.18602947405
294,19900.784688931777
295,19897.539154560545
296,19892.574673531635
297,19881.698225817232
298,19878.475831400323
299,19872.935484575253
300,19860.132344050224
301,19851.73335254992
302,19832.938772131256
303,19832.374263979273
304,19825.727276557624
305,19824.39429107557
306,19813.651890178528
307,19813.574334508936
308,19799.634079296586
309,19798.79730730251
310,19793.627536139553
311,19784.034286336046
312,19780.424336482232
313,19765.440871336654
314,19763.599836611036
315,19763.035968555458
316,19755.055427288957
317,19753.853708391285
318,19746.78431657755
319,19745.800276941933
320,19733.733306993472
321,19732.677700518558
322,19721.697217928697
323,19718.165085992146
324,19711.635850063136
325,19699.038152967187
326,19689.72732772413
327,19682.16251652712
328,19679.271978852426
329,19674.482160710955
330,19669.53084948821
331,19662.469225006003
332,19661.673854678556
333,19647.233788826386
334,19645.037509071106
335,19639.163118089797
336,19637.225621459856
337,19632.35076135182
338,19623.815921885205
339,19620.812570400347
340,19613.926254463546
341,19612.975517792955
342,19605.008255564233
343,19601.361443358222
344,19599.962711776916
345,19596.89477719234
346,19596.44771117264
347,19593.32491510663
348,19583.411431036082
349,19577.87959707089
350,19576.49264830437
351,19569.010772501406
352,19568.56917313718
353,19565.73371375447
354,19564.95642783867
355,19563.97823720773
356,19563.000911671188
357,19547.579548339145
358,19542.78021048791
359,19535.915714180424
360,19535.225584296495
361,19531.078297561984
362,19531.050671104415
363,19530.088818601107
364,19518.247759759135
365,19516.005117060507
366,19515.18248930525
367,19513.59987442803
368,19511.714285122
369,19511.48399971366
370,19496.68130434448
371,19496.027001489154
372,19491.517033892087
373,19490.533385703933
374,19485.44026582415
375,19479.275417550103
376,19472.08486353667
377,19471.14620308383
378,19465.72757519223
379,19443.798937459567
380,19441.49870910245
381,19427.52694125741
382,19398.852801601253
383,19381.442114125333
384,19373.833260360974
385,19369.026791426128
386,19367.674567607173
387,19364.905484737235
388,19362.06568159662
389,19361.34470999511
390,19360.874579080013
391,19356.913093483232
392,19349.172531562373
393,19338.31447821299
394,19337.34571126678
395,19336.695717389965
396,19335.761663089135
397,19333.814067315285
398,19330.504828244604
399,19319.94779940339
400,19299.538610751675
401,19299.237862081198
402,19297.646094510645
403,19295.456930083586
404,19286.765614529035
405,19281.616666986163
406,19274.22236977485
407,19266.404283928274
408,19262.166676267727
409,19259.995054140614
410,19258.064956402955
411,19253.524676334408
412,19250.436812587875
413,19248.990794805097
414,19247.271563760332
415,19245.266257791915
416,19244.531346528212
417,19230.963216456836
418,19230.680065884437
419,19229.894065896817
420,19223.65063633849
421,19220.760447422308
422,19203.180037828017
423,19202.4194543519
424,19198.51294180045
425,19198.41357810132
426,19194.237646408663
427,19193.745606701417
428,19190.13673706946
429,19190.08497368794
430,19183.985735884824
431,19171.010601901875
432,19165.69334780142
433,19164.510652617708
434,19162.81896247637
435,19162.711331288454
436,19156.506122699404
437,19149.87687405615
438,19145.114000830545
439,19142.545815747977
440,19140.872495527663
441,19134.767466611444
442,19129.906783256956
443,19129.58783948719
444,19126.402412917876
445,19122.327866251253
446,19119.47935092047
447,19115.24760640416
448,19110.92287094146
449,19110.815424608634
450,19108.53832496079
451,19093.102159849772
452,19090.6777283794
453,19089.789224992746
454,19086.52179136679
455,19085.18583555149
456,19077.910242057253
457,19077.563669181953
458,19072.08519055428
459,19067.15653851385
460,19061.554616061614
461,19039.552347345958
462,19035.57797226971
463,19030.947677287477
464,19022.32758006242
465,19017.483516956585
466,19012.715005651346
467,19008.736208727747
468,19007.89478397818
469,19006.464487808706
470,19005.122844016747
471,19004.696573482575
472,19003.427311606087
473,19002.526054100552
474,18991.833130603725
475,18986.299483344425
476,18973.39395541434
477,18972.381450799872
478,18965.247392735648
479,18964.31959066758
480,18960.360456451093
481,18956.412491166226
482,18953.23948450184
483,18953.092856246098
484,18951.86110474589
485,18948.73947900442
486,18946.586112975703
487,18941.242276672572
488,18940.15268584528
489,18940.059683198288
490,18933.165804767614
491,18931.230592639477
492,18929.282676460403
493,18911.03526956193
494,18909.236350431485
495,18906.216501802257
496,18901.27593218813
497,18900.517275946782
498,18897.949348167473
499,18896.282907503683
