,AT0 0
0,14857.411585816466
1,14771.047226164643
2,14618.881449635248
3,14500.987244396256
4,14443.411004628373
5,14405.026844783117
6,14331.000250795843
7,14191.526412745825
8,14145.218405641552
9,14133.596000163107
10,14099.324428872702
11,13826.017653555904
12,13675.493923836999
13,13607.184665142486
14,13603.072076587638
15,13448.164574355002
16,13431.075417652526
17,13363.171077554802
18,13353.800366988373
19,13334.382957670861
20,13304.223974935305
21,13291.16273287455
22,13286.370255894419
23,13249.95005056653
24,13238.810550012104
25,13224.71392954156
26,13204.21608733284
27,13202.780123915702
28,13182.217181141456
29,13171.25027832853
30,13145.203884147822
31,13119.157489967112
32,13082.144192973474
33,13059.942466046039
34,13033.366688790617
35,13030.051404612062
36,13019.536546072506
37,12994.40897047004
38,12989.13879175748
39,12942.509068313017
40,12899.8758141515
41,12876.431498193731
42,12869.399991115599
43,12849.097508198722
44,12806.807210325518
45,12798.375582688923
46,12777.812639914677
47,12759.991422843668
48,12744.889780693637
49,12714.752948740332
50,12714.034459563385
51,12705.156908779018
52,12705.156908779018
53,12692.29905463108
54,12686.388381496225
55,12676.368788895079
56,12670.26579565468
57,12615.307498296013
58,12607.1347468076
59,12569.441486469013
60,12565.328897914167
61,12544.60469264462
62,12529.686463772143
63,12514.606972404365
64,12505.175839993197
65,12492.943362738963
66,12473.48108685588
67,12465.588166432946
68,12434.154893767964
69,12430.444591727759
70,12426.871749900929
71,12401.940654879025
72,12377.520687242748
73,12355.850492368054
74,12355.586881616886
75,12350.103430210424
76,12339.622286570706
77,12329.153020879632
78,12328.169624584561
79,12318.93261052668
80,12317.202721771631
81,12304.864956107083
82,12282.931150481225
83,12276.076836223145
84,12257.198743587594
85,12245.853609546419
86,12235.355558980467
87,12227.95879616126
88,12205.273418302084
89,12205.15201395756
90,12197.93765368102
91,12193.825065126173
92,12192.454202274559
93,12191.480772772175
94,12181.487299461627
95,12174.045359504405
96,12169.14953379708
97,12167.408249887108
98,12137.619688209908
99,12131.944794761253
100,12121.150525118106
101,12118.434006831034
102,12108.831568325968
103,12104.718979771118
104,12078.861619442863
105,12073.98729248458
106,12067.411287723004
107,12066.334819925865
108,12058.109642816169
109,12044.622898540238
110,12044.576688374686
111,12036.08558868221
112,12022.16901265155
113,12007.387717306374
114,12007.156543349096
115,11999.162540196672
116,11996.420814493438
117,11993.679088790212
118,11990.449457826822
119,11959.407517499803
120,11955.878510880924
121,11949.811477538491
122,11937.861863662483
123,11936.102849022323
124,11908.975010501246
125,11908.669239476796
126,11906.168726514456
127,11899.08955202869
128,11892.772526621447
129,11862.076255035054
130,11861.558485228175
131,11848.806366773217
132,11843.783463571017
133,11830.54640944788
134,11820.950369486567
135,11817.115198330246
136,11796.274838157477
137,11779.824483938079
138,11775.711895383229
139,11774.489994755055
140,11766.115855421918
141,11762.003266867068
142,11751.29443362963
143,11745.236077018428
144,11740.065524549585
145,11737.389694691696
146,11735.773939294733
147,11723.619107021812
148,11713.990003129546
149,11709.910478505646
150,11704.427027099191
151,11698.94357569272
152,11693.7922675365
153,11686.605810028175
154,11679.59852576982
155,11678.380632918475
