,f,max
0.0,50.001139153019146,
1.0,2.361176161222315,
2.0,2.005063976360735,
3.0,0.6598512498455635,
4.0,0.7559907456254433,
5.0,1.2337451470769096,
6.0,0.6932336866251994,
7.0,0.44081814318478363,
8.0,0.7080196336241913,
9.0,0.34005681258559584,
10.0,0.8034420497481518,
11.0,0.5935426715628699,
12.0,0.4356335570361423,
13.0,0.5138434023110378,
14.0,0.6342174756256853,
15.0,0.4443352164821178,
16.0,0.542430880973645,
17.0,0.10822916403736237,
18.0,0.446039130198425,
19.0,0.31440792161801295,
20.0,0.2501144337865434,
21.0,0.5182406123245553,
22.0,0.4738402279511367,
23.0,0.08744784497144395,
24.0,0.03782542335511449,
25.0,0.6540976574061468,
26.0,0.7336661007479115,
27.0,0.6324068561593181,
28.0,0.34022696122884954,
29.0,0.2755167679028339,
30.0,0.3813179893099208,
31.0,0.4379517451940588,
32.0,0.3818910418259015,
33.0,0.3441405217054228,
34.0,0.374525545076396,
35.0,0.10949365263398264,
36.0,0.2154528669047688,
37.0,0.8304878168937453,
38.0,0.45145779851360646,
39.0,0.222502294412217,
40.0,0.27444183238587233,
41.0,0.5501802107166132,
42.0,0.5369357199968885,
43.0,0.24958019461463513,
44.0,0.3776032931454626,
45.0,0.4589977820421931,
46.0,0.17236329990296984,
47.0,0.3811881045581343,
48.0,0.1705549608221645,
49.0,0.07177406670474587,
50.0,0.15492897985210152,
51.0,0.2589212318012516,
52.0,0.2320054109832795,
53.0,0.3228676898819174,
54.0,0.48064111199528686,
55.0,0.44224972345589814,
56.0,0.4729661072661687,
57.0,0.39376552949579846,
58.0,0.4232936938467365,
59.0,0.3153518833753994,
60.0,0.24838201112409056,
61.0,0.13375888052988116,
62.0,0.2290498330164745,
63.0,0.4315449465188768,
64.0,0.5384204898204695,
65.0,0.44026178229521024,
66.0,0.20875556868817716,
67.0,0.25531706922949954,
68.0,0.24824485381340974,
69.0,0.27629053474475423,
70.0,0.1784013652047968,
71.0,0.3242992552887983,
72.0,0.296503129593015,
73.0,0.34766085266487856,
74.0,0.47347977051359263,
75.0,0.1289275651109884,
76.0,0.1527332603360048,
77.0,0.2427799494129697,
78.0,0.23423266742100268,
79.0,0.10592106275801422,
80.0,0.20465794260886497,
81.0,0.2616815612642418,
82.0,0.2118027087333929,
83.0,0.09349043299045168,
84.0,0.09232220682513628,
85.0,0.3019653116563061,
86.0,0.31125913313975695,
87.0,0.3619828390854809,
88.0,0.12679223176781051,
89.0,0.3705743444048902,
90.0,0.18560395590459133,
91.0,0.283497058594615,
92.0,0.32026409132617384,
93.0,0.3133419701564423,
94.0,0.0798744641090368,
95.0,0.13589245652311174,
96.0,0.14604726546702657,
97.0,0.026050723761994295,
98.0,0.363738108386741,
99.0,0.04438931617415695,
100.0,0.30855172496358513,
101.0,0.15540360159534788,
102.0,0.33495647431253156,
103.0,0.14995361596321027,
104.0,0.25218702481015187,
105.0,0.011335200338774292,
106.0,0.27297042310522435,
107.0,0.3222314888699334,
108.0,0.14928061468784162,
109.0,0.18040592868953806,
110.0,0.43928476743370276,
111.0,0.4619587939044703,
112.0,0.10925659756535315,
113.0,0.13160386687185152,
114.0,0.22843125942053777,
115.0,0.15977391972312174,
116.0,0.13381516039727023,
117.0,0.10854547368326833,
118.0,0.2822175173615758,
119.0,0.06986804319002446,
120.0,0.12440812270053644,
121.0,0.08596087451648533,
122.0,0.11229955651119357,
123.0,0.1405088685883279,
124.0,0.26873775452095633,
125.0,0.31773798402222164,
126.0,0.10722028246995939,
127.0,0.27405283927806984,
128.0,0.17682163694219044,
129.0,0.12616515455188548,
130.0,0.07947599727205722,
131.0,0.11786064996031548,
132.0,0.18456866938224506,
133.0,0.12354751668235224,
134.0,0.1579116218625746,
135.0,0.10074074153215015,
136.0,0.17141005221520855,
137.0,0.15975046804896018,
138.0,0.1627283178675135,
139.0,0.12978626021690645,
140.0,0.11343657691927937,
141.0,0.09427220120300625,
142.0,0.17536303091277816,
143.0,0.2658574257986253,
144.0,0.15469421258845903,
145.0,0.2731203947019072,
146.0,0.362189292858807,
147.0,0.3334824184865223,
148.0,0.10396885053287601,
149.0,0.16130998954999384,
150.0,0.08815769519340902,
151.0,0.2561905828598014,
152.0,0.10347378362812999,
153.0,0.12356114838378077,
154.0,0.22041812925114965,
155.0,0.08691307754176238,
156.0,0.1552115301567174,
157.0,0.15775991040864093,
158.0,0.03458232043253059,
159.0,0.15168444926881114,
160.0,0.041074599656830364,
161.0,0.1915054964054551,
162.0,0.2581570972589157,
163.0,0.10973958257945975,
164.0,0.07976926701731223,
165.0,0.24502709419552007,
166.0,0.12487044906893642,
167.0,0.23819475929973635,
168.0,0.038263915192539744,
169.0,0.10006042438757738,
170.0,0.10274821058289892,
171.0,0.18042891894480428,
172.0,0.1919235211227395,
173.0,0.12197770531110372,
174.0,0.19377187782953387,
175.0,0.19929200782844758,
176.0,0.04191839506442761,
177.0,0.079322708528432,
178.0,0.17075166641712178,
179.0,0.131797600782556,
180.0,0.17964859740780456,
181.0,0.04619842001512625,
182.0,0.06900881361880644,
183.0,0.08279688799965615,
184.0,0.05749264119190142,
185.0,0.33956816321934263,
186.0,0.20308912078366034,
187.0,0.04500331123247979,
188.0,0.14197351924092314,
189.0,0.20028606321211678,
190.0,0.08277006982552305,
191.0,0.11071306104214738,
192.0,0.13046161038634982,
193.0,0.21985791326813492,
194.0,0.16937538754280385,
195.0,0.06614494566207073,
196.0,0.13007399321842653,
197.0,0.07393529986674675,
198.0,0.028952721501691744,
199.0,0.035601349502340535,
200.0,0.21728029853284753,
201.0,0.22253305393067085,
202.0,0.07179877421013083,
203.0,0.06285095576985933,
204.0,0.12622212657176576,
205.0,0.10911479261675074,
206.0,0.3040910925807114,
207.0,0.13006882823722238,
208.0,0.05732585668102061,
209.0,0.1357572829974148,
210.0,0.08942268201129115,
211.0,0.11772979796685337,
212.0,0.04167070864274164,
213.0,0.041947085382099666,
214.0,0.24102751892497673,
215.0,0.1009489904089752,
216.0,0.07950519049279585,
217.0,0.12068548833454032,
218.0,0.05191908841941044,
219.0,0.2813313017442192,
220.0,0.28383021609351483,
221.0,0.048610612061633356,
222.0,0.0042665918995254005,
223.0,0.06883888199469568,
224.0,0.096532831004263,
225.0,0.08761230832222659,
226.0,0.11978909415625155,
227.0,0.22243454329216036,
228.0,0.1546552404592321,
229.0,0.10333954409830183,
230.0,0.1057880007035065,
231.0,0.15923139683253584,
232.0,0.09036336573277283,
233.0,0.13605624040484163,
234.0,0.07826201101617017,
235.0,0.057214219548564545,
236.0,0.10641630406841844,
237.0,0.15303972498781024,
238.0,0.10896091639582753,
239.0,0.06178664623497138,
240.0,0.14078901620868522,
241.0,0.09512014141228552,
242.0,0.12711741972845447,
243.0,0.13437048337746504,
244.0,0.12818990166834496,
245.0,0.19215121451482667,
