,f,max
0.0,19995.746618160916,
1.0,3439.5370807938116,
2.0,1173.9264235266864,
3.0,1307.4361445030165,
4.0,560.9796636497312,
5.0,1158.587201660114,
6.0,655.9341993326848,
7.0,832.1950622414787,
8.0,511.9713762478908,
9.0,801.7140882903971,
10.0,990.8730930540855,
11.0,473.6930462671495,
12.0,1194.26797313157,
13.0,839.1493195671056,
14.0,338.84218178297635,
15.0,668.3851733329293,
16.0,362.07618878034054,
17.0,522.8482011604135,
18.0,385.6999480248412,
19.0,330.3327791809646,
20.0,191.85443122192993,
21.0,541.8322130354903,
22.0,397.2165831232593,
23.0,1103.0548678480977,
24.0,470.95520509364735,
25.0,260.2553164060502,
26.0,405.2071559995232,
27.0,792.4538055277512,
28.0,777.9173921833443,
29.0,299.0374908633269,
30.0,1268.7500986873404,
31.0,767.0273503425269,
32.0,751.0346107178952,
33.0,536.6095917000579,
34.0,609.0729117575169,
35.0,317.0561819959306,
36.0,837.2457497161433,
37.0,350.3029870948762,
38.0,265.11433934509125,
39.0,733.6439405525362,
40.0,708.3363629619901,
41.0,308.8328741129217,
42.0,129.0119232350948,
43.0,451.22185296693556,
44.0,1366.5546164112286,
45.0,749.8175831086444,
46.0,1040.099181001073,
47.0,628.5675744072636,
48.0,579.6871507935863,
49.0,55.70220417166646,
50.0,916.3223790128604,
51.0,209.7246971553672,
52.0,1801.0025194783793,1801.0025194783793
53.0,604.8147330397339,
54.0,742.353448469514,
55.0,475.9701900398232,
56.0,936.3841640873235,
57.0,290.5570455425607,
58.0,163.04187036680062,
59.0,255.64872512502163,
60.0,368.48336662100974,
61.0,687.4860043024544,
62.0,424.59585898565786,
63.0,118.4346944279361,
64.0,360.2655309913715,
65.0,279.0372815030672,
66.0,444.4316717434969,
67.0,457.49686274804435,
68.0,609.2720469470762,
69.0,453.99683899362515,
70.0,704.6899694069053,
71.0,167.94117655998562,
72.0,331.5812171514281,
73.0,434.230727539639,
74.0,376.88436484635855,
75.0,677.074452043532,
76.0,587.9160559152602,
77.0,132.2571247306586,
78.0,501.0773167399886,
79.0,307.6285664340883,
80.0,484.7136178387805,
81.0,594.5460489111567,
82.0,425.3290503366352,
83.0,531.126905848754,
84.0,413.6877495083535,
85.0,277.8334500707264,
86.0,241.29177734498296,
87.0,284.1837504703051,
88.0,351.9498109326451,
89.0,361.5986035895827,
90.0,530.7341123962451,
91.0,68.07758018396828,
92.0,379.6276828170983,
93.0,102.71705035591883,
94.0,250.01973984207697,
95.0,474.16512458585,
96.0,442.14246182154085,
97.0,423.6310988547668,
98.0,120.82407610066879,
99.0,257.348426886062,
100.0,322.6363262205033,
101.0,563.9403391917779,
102.0,369.6084562833345,
103.0,373.1562433441351,
104.0,978.2893252206976,978.2893252206976
105.0,463.25843057635535,
106.0,350.66216857046885,
107.0,420.395681855518,
108.0,245.76786840374677,
109.0,114.44932381887506,
110.0,122.66941100126722,
111.0,231.54802050715514,
112.0,384.2952420789485,
113.0,213.57802041119072,
114.0,303.5624803086578,
115.0,206.47866834989293,
116.0,263.01222777778594,
117.0,220.29417822009918,
118.0,357.5921177165925,
119.0,267.61723814746756,
120.0,349.44413786105065,
121.0,557.6946545368309,
122.0,433.9882562653946,
123.0,257.4407951648368,
124.0,504.56977304768384,
125.0,100.1107658953808,
126.0,414.2811532674435,
127.0,415.8901799370461,
128.0,177.82880162276098,
129.0,539.1258059917341,
130.0,517.1710858914421,
131.0,128.21059260737704,
