,AT0 0
0,30297.776266911478
1,29905.92060235962
2,29858.59572952242
3,29834.388958531137
4,29599.75555075989
5,29538.745256533708
6,29214.983628430018
7,29017.601499981432
8,28837.847730049576
9,28821.705689222672
10,28752.422082159646
11,28716.120714712924
12,28667.558875525767
13,28455.03335449365
14,28448.053758342314
15,28410.162803508123
16,28273.699066772366
17,28083.65486845632
18,28018.814524537498
19,27914.730086727977
20,27894.027771976806
21,27814.213928488334
22,27752.57322863466
23,27717.725503593723
24,27622.877193560147
25,27621.95008585086
26,27511.85960403562
27,27473.825302182686
28,27313.05456910999
29,27300.27586763883
30,27293.451332646924
31,27261.68970372955
32,27245.74936761753
33,27241.653955295566
34,27220.86307790919
35,27165.31388638769
36,27079.01244373995
37,27066.792581813752
38,27061.044084363522
39,27029.51651542693
40,26972.352730130653
41,26971.18926671825
42,26970.21225714336
43,26935.032987740124
44,26918.54407060908
45,26906.837764787502
46,26904.006260523045
47,26891.505947592133
48,26886.76476649833
49,26884.44928974614
50,26847.1980269879
51,26846.893302648576
52,26833.846484251888
53,26828.830671640328
54,26818.086257550745
55,26774.2375489478
56,26767.884341598114
57,26718.646831285034
58,26675.698765263704
59,26639.288987517517
60,26639.050410192227
61,26637.420451646227
62,26579.561487329967
63,26569.69131499347
64,26525.084467910267
65,26516.12503468809
66,26487.99867566725
67,26473.52741802315
68,26426.56104529857
69,26386.625777883066
70,26354.314814223202
71,26348.089118624714
72,26313.822069960956
73,26261.546146617555
74,26226.88468724225
75,26204.05925088842
76,26182.49364129887
77,26130.069894319433
78,26122.775339659143
79,26102.99738452525
80,26056.30050214682
81,26033.938299628844
82,26030.416205906306
83,26011.07419009365
84,25988.0624543818
85,25978.918289329325
86,25956.692412271394
87,25896.548083281996
88,25890.037332809523
89,25888.29986353985
90,25871.059052675955
91,25869.649480455642
92,25861.260602518105
93,25817.845895629478
94,25739.233176725582
95,25724.151804408644
96,25722.25469084691
97,25719.95626999152
98,25681.077960324663
99,25660.693985970658
100,25658.36811458406
101,25628.653752843995
102,25589.473405142297
103,25537.076208330487
104,25519.834983993052
105,25440.664592331494
106,25435.58809604671
107,25432.58870349834
108,25421.664666127825
109,25409.93886380166
110,25409.600731738396
111,25361.641806216034
112,25345.204688055455
113,25330.836361264555
114,25330.531914078565
115,25315.36017810973
116,25307.315979280847
117,25278.93885555056
118,25273.378738575633
119,25245.255275740492
120,25242.04701838091
121,25226.263259935393
122,25214.707743815325
123,25180.50899996698
124,25175.01171880101
125,25160.95918742672
126,25154.843453908798
127,25152.17229790496
128,25142.985647682675
129,25141.887335236042
130,25115.039822823484
131,25114.05272366413
132,25113.36608548186
133,25105.79400006219
134,25102.039008598404
135,25101.97537411029
136,25089.598887369793
137,25084.487207566897
138,25077.606683645572
139,25072.910298315364
140,25070.061750221794
141,25059.280591246654
142,25040.314487827854
143,25031.075561354806
144,25027.022489857583
145,25010.148419546807
146,25004.501840042754
147,24998.51884604177
148,24990.847265873275
149,24982.443627309673
150,24975.833101829543
151,24945.439348565447
152,24928.627114764084
153,24919.274485698115
154,24889.998905599812
155,24847.65558835017
156,24839.928250370987
157,24832.658157479746
158,24828.661278097203
159,24825.43216206724
160,24822.00847862504
161,24815.923320380207
162,24815.29254809635
163,24812.686416432334
164,24792.25698559066
165,24791.177644735122
166,24769.003107979952
167,24764.423627422
168,24762.852533809455
169,24761.52234165239
170,24726.835802090547
171,24715.418690528182
172,24698.211040398066
173,24664.955125137858
174,24656.494309577094
175,24644.230556436345
176,24642.408160227555
177,24631.47387694609
178,24630.872769823025
179,24623.41132564628
180,24601.315110614625
181,24563.15038306138
182,24560.523789200368
183,24558.655103487377
184,24545.512025098255
185,24542.290359772032
186,24541.952821575152
187,24540.269675861247
188,24524.930366540466
189,24522.82141446983
190,24512.094874491107
191,24511.079617530293
192,24458.94196272492
193,24443.689583494233
194,24436.069245854855
195,24433.372776664517
196,24430.852419060764
197,24415.166305085902
198,24409.259366833016
199,24406.75439409157
200,24395.670908438013
201,24389.848156651897
202,24379.087983046487
203,24357.702035143397
204,24356.733646010765
205,24307.988771463744
206,24304.62620252208
207,24303.54554284996
208,24302.311996652363
209,24298.17514336288
210,24297.641075485768
211,24279.567314010616
212,24279.157255941846
213,24273.94576872911
214,24265.137881691513
215,24248.55455650433
216,24225.324386707107
217,24217.20856685792
218,24190.893093068524
219,24171.964995470527
220,24159.016433860983
221,24142.57901521919
222,24132.45019722725
223,24126.15066294395
224,24115.1295833388
225,24109.63343828473
226,24102.287564502854
227,24099.398331197575
228,24055.98062924008
229,24052.334541739212
230,24035.928228637982
231,24027.993927776388
232,24024.219858407458
233,24021.40726129513
234,24017.99258186792
235,24004.490392143773
236,24001.617962588385
237,23982.233860483768
238,23981.124404562157
239,23978.662390616337
240,23945.118109480696
241,23933.866784209524
242,23919.83461631523
243,23915.069420329346
244,23914.66227709688
245,23909.65549750362
246,23906.001715183607
247,23902.852209371304
248,23902.084837084585
249,23901.97064439336
250,23899.9806512076
251,23877.744677992
252,23872.30474325507
253,23865.295508410727
254,23863.700609006955
255,23852.078024097184
256,23851.906883975455
257,23847.42389376628
258,23841.94413136571
259,23838.563494388298
260,23837.416689636393
261,23835.139424794976
262,23834.300589127164
263,23826.138309891547
264,23822.57043933645
265,23820.419094117944
266,23794.410810063306
267,23787.585942492475
268,23785.857548250413
269,23780.775627974286
270,23776.623780830665
271,23776.09842177852
272,23748.15687088933
273,23742.58289167232
274,23738.80915827041
275,23726.825212966854
276,23718.354522997135
277,23715.634225804475
278,23714.77457603013
279,23712.371902996136
280,23712.064302517472
281,23708.08748535505
282,23669.554109954064
283,23666.732587751987
284,23609.559955549757
285,23599.881244842447
286,23597.448968944533
287,23596.13574220185
288,23562.38193084705
289,23550.7043543317
290,23543.35465824909
291,23538.633221188556
292,23519.516454929224
293,23517.35001663839
294,23482.886988017366
295,23466.774934748373
296,23462.515775701388
297,23461.73708542588
298,23452.29746414542
299,23439.805261074005
300,23433.072896396145
301,23430.489608565837
302,23423.47767171975
303,23418.08681121962
304,23416.0954584257
305,23408.284625753655
306,23401.566323030813
307,23397.720187688436
308,23379.417163064863
309,23376.05659732414
310,23370.396436064435
311,23368.518630407205
312,23356.62205905769
313,23350.870364717375
314,23341.044884353512
315,23318.177821988276
316,23312.647384148808
317,23312.300142549997
318,23306.071149186948
319,23292.858518034747
320,23289.90383881781
321,23282.097599129156
322,23244.83618008461
323,23244.159373693845
324,23242.253148404976
325,23242.040114007363
326,23240.598160175774
327,23220.61799766234
328,23220.08855530644
329,23170.029615398234
330,23164.500314957222
331,23121.751487830195
332,23098.004389341593
333,23086.332265742836
334,23069.883759115837
335,23067.99437127496
336,23058.348976700527
337,23047.72112935315
338,23037.04217020835
339,23029.664910288062
340,23014.41566548956
341,22998.47271756633
342,22997.744464204
343,22995.293616222818
344,22971.64009271948
345,22968.604945021543
346,22958.121580879462
347,22955.034251741647
348,22947.93767732333
349,22943.904970817373
350,22930.741105985915
351,22926.509834275916
352,22885.79877893103
353,22879.007989675687
354,22875.65199181514
355,22865.843918746083
356,22865.801349573117
357,22858.95350043921
358,22854.32664869158
359,22852.198953277657
360,22848.056387913333
361,22846.8627454838
362,22827.97224938102
363,22823.743152103656
364,22819.59020307769
365,22818.583170903807
366,22810.936933329183
367,22808.919970752322
368,22805.905713023076
369,22798.30272993692
370,22788.781334912168
371,22787.566111366745
372,22781.055811282415
373,22776.725986353485
374,22769.22769467813
375,22729.73245100518
376,22723.867517453204
377,22712.276043402795
