,Anfang,Ende,RES,EE,Wechsel_EE-RES,Delta_t,Delta_E,LV_kurz,LV_lang,P_kurz,P_lang,Anteil_kurz,Anteil_lang
0,0,73,491296.6163667699,0,0,73,491296.6163667699,0.0,491296.6163667699,0.0,6730.090635161231,0.0,1.0
1,73,96,63882.83245360344,-664.0898026231553,76,23,63218.74265098029,664.0898026231553,64546.92225622659,28.87346967926762,2806.387924183765,0.010183706427126859,0.989816293572873
2,96,108,4815.143826396603,-3216.9912161558786,101,12,1598.1526102407242,3216.9912161558786,8032.1350425524815,268.0826013463232,669.3445868793734,0.2859769854272449,0.7140230145727551
3,108,111,1980.5849887167606,-135.72180067059526,109,3,1844.8631880461653,135.72180067059526,2116.306789387356,45.24060022353175,705.4355964624519,0.060266464320110055,0.9397335356798899
4,111,137,109716.73959009472,-56924.85191860295,122,26,52791.887671491764,56924.85191860295,166641.59150869766,2189.417381484729,6409.291981103756,0.25462162856794646,0.7453783714320535
5,137,183,9822.885192731586,-131684.815175647,173,46,-121861.92998291542,9822.885192731586,-141507.7003683786,213.54098245068667,-3076.2543558343173,0.0649101115700429,0.935089888429957
6,183,200,114.22723938027957,-54066.9205644279,199,17,-53952.69332504762,114.22723938027957,-54181.14780380818,6.719249375310563,-3187.126341400481,0.0021038115914922624,0.9978961884085078
7,200,234,209522.15829477095,-2138.5909671420395,203,34,207383.5673276289,2138.5909671420395,211660.749261913,62.899734327707044,6225.316154762148,0.010002794979866864,0.9899972050201331
8,234,245,16668.088633933294,-10187.018164203226,240,11,6481.070469730068,10187.018164203226,26855.10679813652,926.0925603821114,2441.373345285138,0.27501171097933064,0.7249882890206694
9,245,248,8.635368428942456,-695.4837522340313,247,3,-686.8483838050888,8.635368428942456,-704.1191206629737,2.8784561429808186,-234.70637355432459,0.012115487957072476,0.9878845120429275
10,248,252,7106.479770117543,-1557.9614788175859,249,4,5548.518291299957,1557.9614788175859,8664.441248935129,389.49036970439647,2166.110312233782,0.1524065838834435,0.8475934161165565
11,252,256,89.79679510520327,-5549.40782471145,255,4,-5459.611029606247,89.79679510520327,-5639.204619816654,22.44919877630082,-1409.8011549541634,0.015674074520442074,0.9843259254795579
12,256,272,763.6769359060472,-19401.659092371498,270,16,-18637.98215646545,763.6769359060472,-20165.336028277547,47.72980849412795,-1260.3335017673467,0.036488913128055724,0.9635110868719442
13,272,278,36081.897065034354,-403.3079346089344,273,6,35678.58913042542,403.3079346089344,36485.20499964329,67.21798910148907,6080.867499940548,0.010933157845852045,0.9890668421541479
14,278,280,1297.3371962007132,-77.27871648449945,279,2,1220.0584797162137,77.27871648449945,1374.6159126852126,38.63935824224973,687.3079563426063,0.053226119121807386,0.9467738808781926
15,280,301,4614.840596317813,-21930.22867479847,299,21,-17315.388078480657,4614.840596317813,-26545.06927111628,219.75431411037204,-1264.050917672204,0.14810185959943628,0.8518981404005638
16,301,307,1128.0684173656682,-3298.973362974735,303,6,-2170.904945609067,1128.0684173656682,-4427.041780340403,188.01140289427804,-737.8402967234006,0.2030685940004382,0.7969314059995618
17,307,326,14663.072764375962,-10353.671801014762,316,19,4309.4009633612,10353.671801014762,25016.744565390723,544.9300947902506,1316.6707665995118,0.29272123047012216,0.7072787695298778
18,326,342,5427.5653898950495,-16711.228607138703,334,16,-11283.663217243653,5427.5653898950495,-22138.793997033754,339.2228368684406,-1383.6746248146096,0.1968909029194711,0.803109097080529
19,342,346,1144.0767285843303,-1554.7928121999594,344,4,-410.71608361562903,1144.0767285843303,-2698.8695407842897,286.0191821460826,-674.7173851960724,0.2977082291531225,0.7022917708468775
20,346,360,548.353923607734,-24733.14899501551,358,14,-24184.795071407774,548.353923607734,-25281.502918623242,39.16813740055243,-1805.8216370445173,0.021229460424697096,0.9787705395753029
21,360,376,11823.457310089063,-1009.0325638519862,364,16,10814.424746237077,1009.0325638519862,12832.48987394105,63.06453524074914,802.0306171213156,0.07289895807248148,0.9271010419275185
