,0
2013-01-01,167585.81686140975
2013-01-02,162556.73932520812
2013-01-03,152235.0586067797
2013-01-04,62836.59463190931
2013-01-05,-50282.78887956809
2013-01-06,58947.45335415657
2013-01-07,-74642.65400295223
2013-01-08,-32894.189162298266
2013-01-09,33877.5298058064
2013-01-10,143053.36749134082
2013-01-11,4615.338084753897
2013-01-12,22755.75762052594
2013-01-13,-18420.622201693957
2013-01-14,-4740.486647995129
2013-01-15,-21000.06876081221
2013-01-16,8441.359290802551
2013-01-17,11453.995604394042
2013-01-18,104177.56669799257
2013-01-19,264170.7484848772
2013-01-20,247063.81588163308
2013-01-21,304633.71199876966
2013-01-22,115010.33972351204
2013-01-23,-35799.60914414929
2013-01-24,-41633.53459703824
2013-01-25,-49741.76049069878
2013-01-26,216231.91660853237
2013-01-27,209140.33702007015
2013-01-28,227903.5875924385
2013-01-29,220484.405027368
2013-01-30,225887.26594289867
2013-01-31,228443.81951917068
2013-02-01,42022.0203302686
2013-02-02,104628.91683420652
2013-02-03,76671.82337511527
2013-02-04,185391.12208333588
2013-02-05,240550.5142114373
2013-02-06,109362.6416963108
2013-02-07,2460.532095856037
2013-02-08,-12906.328210987756
2013-02-09,-59372.590403165246
2013-02-10,135993.31249598088
2013-02-11,257397.49827951347
2013-02-12,32314.348275065036
2013-02-13,-54368.12263726079
2013-02-14,104490.89928686156
2013-02-15,-11214.276436463357
2013-02-16,-49791.04734430407
2013-02-17,-49384.28968948383
2013-02-18,-9336.958501609894
2013-02-19,147686.79592963273
2013-02-20,116058.69122973204
2013-02-21,44160.63602319238
2013-02-22,116376.68726127547
2013-02-23,251417.45020971785
2013-02-24,239846.41332524424
2013-02-25,178266.61400298605
2013-02-26,10797.387406163169
2013-02-27,-59844.836048309415
2013-02-28,54369.202994623745
2013-03-01,93818.77657168794
2013-03-02,114349.13274428256
2013-03-03,41708.93698952082
2013-03-04,95410.20322689158
2013-03-05,26288.00319898178
2013-03-06,-65679.10579891992
2013-03-07,228693.0753556569
2013-03-08,224189.65329865567
2013-03-09,223661.3854250493
2013-03-10,204957.65564402248
2013-03-11,129392.00604867609
2013-03-12,-15156.682178314419
2013-03-13,-98033.46287112031
2013-03-14,-138205.47756739747
2013-03-15,-84980.36164614353
2013-03-16,260589.5376572707
2013-03-17,193747.4725972003
2013-03-18,260847.8935525742
2013-03-19,167319.02250169785
2013-03-20,115356.40783532128
2013-03-21,60906.55376946761
2013-03-22,219236.77585908593
2013-03-23,243896.1186962792
2013-03-24,221219.13404183963
2013-03-25,286221.05425389064
2013-03-26,284105.2751464181
2013-03-27,197351.41012157922
2013-03-28,11501.04567252747
2013-03-29,85648.02214200623
2013-03-30,47975.76508768916
2013-03-31,68798.30633729073
2013-04-01,75061.75092089878
2013-04-02,175912.83452161305
2013-04-03,184206.08854339353
2013-04-04,186271.6847571789
2013-04-05,37244.736104444586
2013-04-06,6868.867150308113
2013-04-07,29247.90693059331
2013-04-08,51861.092026575105
2013-04-09,276962.21736786555
2013-04-10,136221.2128606098
2013-04-11,47099.97431565846
2013-04-12,135977.95376769293
2013-04-13,76899.24454336423
2013-04-14,196239.26399507452
2013-04-15,86443.29679198445
2013-04-16,-1301.719411951075
2013-04-17,36727.70610124979
2013-04-18,204734.24318478353
2013-04-19,87391.23121684318
2013-04-20,12191.944813971571
2013-04-21,-81502.7915799567
2013-04-22,-180408.49172926482
2013-04-23,58422.358721325036
2013-04-24,-6147.723584419345
2013-04-25,-49139.73583731648
2013-04-26,-174898.3159821355
2013-04-27,-100935.99643249522
2013-04-28,-64580.64333021475
2013-04-29,125564.9409228386
2013-04-30,-75790.6702018427
2013-05-01,-142959.30267288376
2013-05-02,-208392.08173631754
2013-05-03,-245081.68491942447
2013-05-04,-110992.1960810426
2013-05-05,-165961.66468262547
2013-05-06,-275685.04475351545
2013-05-07,-227815.83584787892
2013-05-08,-177607.92971212097
2013-05-09,-191166.9600993537
2013-05-10,-119512.51647732982
2013-05-11,-80905.55800077565
2013-05-12,-71312.86168055414
2013-05-13,-10353.844233332284
2013-05-14,-41669.79629086993
2013-05-15,-57384.705207450286
