,f,max
0.0,5257.843279633041,
1.0,4247.512668830575,
2.0,1576.6114159157196,
3.0,1780.711419822597,
4.0,601.4850743689918,
5.0,796.7711119991695,
6.0,814.3454136782879,
7.0,1039.6587210680455,
8.0,265.06889201560386,
9.0,876.7076074715459,
10.0,918.5854822805433,
11.0,527.014946665463,
12.0,1064.751617636588,
13.0,829.4699748727202,
14.0,294.3271776422202,
15.0,698.4876142384086,
16.0,465.1572999414026,
17.0,525.809074890468,
18.0,566.6764756354155,
19.0,350.7769699883053,
20.0,361.7354852853778,
21.0,593.689405841049,
22.0,473.3698663398766,
23.0,1039.6963668734495,
24.0,424.379679024626,
25.0,181.83529002648115,
26.0,328.39516534103075,
27.0,820.795021208714,
28.0,798.0984591812747,
29.0,237.48892753123982,
30.0,1156.5588378242,
31.0,728.4835193695695,
32.0,809.8759288872943,
33.0,765.6306886294446,
34.0,524.7785089151178,
35.0,357.3540077667805,
36.0,897.6658448084709,
37.0,441.23377042246585,
38.0,302.3844450231447,
39.0,796.3420661929339,
40.0,703.9886646789417,
41.0,351.48481748772724,
42.0,124.4179160203218,
43.0,397.5844935528099,
44.0,1424.8956408647548,1424.8956408647548
45.0,574.6869004508752,
46.0,1022.8957668614701,1022.8957668614701
47.0,673.3537090885095,
48.0,541.5673468896708,
49.0,157.3390267540757,
50.0,804.4419153265841,
51.0,108.76684023167073,
52.0,824.5723970206268,
53.0,366.12365434569205,
54.0,447.6850396591243,
55.0,351.19720286760804,
56.0,942.6389881619816,942.6389881619816
57.0,474.1873266990056,
58.0,140.56903209905232,
59.0,282.6967301071167,
60.0,400.2616617195451,
61.0,691.5592791372554,
62.0,364.7503635437813,
63.0,191.39384092373672,
64.0,357.4546292221774,
65.0,306.03114827536353,
66.0,514.9110484722836,
67.0,468.15116685655124,
68.0,555.8153067332737,
69.0,447.318814871884,
70.0,745.8653160429399,745.8653160429399
71.0,104.05867175776267,
72.0,393.3730857703877,
73.0,283.95458817808753,
74.0,380.9085365802502,
75.0,585.4689900357562,
76.0,702.2059370863068,702.2059370863068
77.0,27.320514592214078,
78.0,433.01127629368096,
79.0,404.74623528628985,
80.0,399.7894833819954,
81.0,582.3608106669861,582.3608106669861
82.0,449.7050241023726,
83.0,425.4961084947164,
84.0,436.3997831723361,
85.0,305.3461342337193,
86.0,212.31540597400533,
87.0,330.8098001112946,
88.0,331.84095278842324,
89.0,277.8519696511059,
90.0,534.4506240949991,534.4506240949991
91.0,36.668165475233344,
92.0,449.23218332248064,
93.0,140.0788942838136,
94.0,206.38431930743042,
95.0,599.8274656645779,
96.0,447.19655660963195,
97.0,419.6473029736691,
98.0,152.3024078973084,
99.0,232.7535967745953,
100.0,287.93176009872417,
101.0,484.614547204662,
102.0,377.3685445389688,
103.0,531.8791028708831,
104.0,300.34449028161845,
105.0,252.9705447485094,
106.0,487.92818605966414,
107.0,345.4867184164128,
108.0,281.2124742086307,
109.0,167.58586670731995,
110.0,108.60078756662347,
111.0,120.7781588556445,
112.0,306.5074624767134,
113.0,235.39400186560104,
114.0,311.703145890366,
115.0,216.90335471674436,
116.0,282.43417745878963,
117.0,293.4854006787902,
118.0,341.0283222442289,
119.0,208.50158755731488,
120.0,310.5456216372424,
121.0,526.464970335015,
122.0,432.6328867885164,
123.0,200.58989371743343,
124.0,482.500801663054,
125.0,151.64479974569042,
126.0,378.7935333292448,
127.0,476.1440393346693,
128.0,175.68969759097487,
129.0,529.5701914869273,
130.0,495.17418600147454,
131.0,209.47286600605077,
132.0,269.97750839785675,
133.0,83.20124658646527,
134.0,654.3781247110421,654.3781247110421
135.0,494.7498766358999,
136.0,312.9081865543252,
137.0,328.94270449657387,
138.0,209.9670780868266,
139.0,213.03459148898298,
140.0,396.440449075101,
141.0,175.83287154172376,
142.0,251.2264583335916,
143.0,363.16807590981745,
144.0,134.96115411776074,
145.0,444.6191773389791,
146.0,91.23021265765703,
147.0,254.80857523239283,
148.0,327.5627107278428,
149.0,265.3106130226027,
150.0,155.50918269375651,
151.0,112.3171458228691,
152.0,250.0509108126889,
153.0,61.51494379609304,
154.0,221.8996357861057,
155.0,250.5883893076533,
156.0,337.29594904773825,
157.0,206.7202200777457,
158.0,315.51836206442954,
159.0,206.0751657233029,
160.0,102.81411994617358,
161.0,135.79294176937023,
162.0,196.22317669298357,
163.0,376.1542302301315,
164.0,499.1947306916841,
165.0,199.46516478859428,
166.0,76.8808870908468,
167.0,85.65618118491264,
168.0,300.42548190524957,
169.0,169.96424007051914,
170.0,94.86970576630577,
171.0,376.8152528390746,
172.0,336.6083619942853,
173.0,256.55162628309876,
174.0,123.15385729878238,
175.0,357.8998133634467,
176.0,274.98864597706523,
177.0,349.5356118721252,
178.0,324.7200740123242,
179.0,182.59207159090437,
180.0,90.37463470764705,
181.0,578.5592553043512,578.5592553043512
182.0,212.72020869447348,
183.0,145.83522286572273,
184.0,395.4825530868533,
185.0,420.1404300070017,420.1404300070017
186.0,104.60186680409,
187.0,204.08498163137818,
188.0,194.93563098393352,
189.0,287.6602229219089,
190.0,132.2611381034288,
191.0,382.07363314330763,382.07363314330763
192.0,236.31331225987225,
193.0,330.2230013762941,
194.0,219.01284506461144,
195.0,296.93716086682304,
196.0,157.69563269118214,
197.0,213.08235036755232,
198.0,59.979934348181615,
199.0,150.8529026061638,
200.0,220.45521810239708,
201.0,201.34489499408386,
202.0,185.53877958992928,
203.0,243.97228620902004,
204.0,105.97838448894959,
205.0,368.3792027204915,368.3792027204915
206.0,156.2086093910908,
207.0,161.75659183951123,
208.0,315.1956270107159,
209.0,166.8434127274986,
210.0,362.6619097523861,362.6619097523861
211.0,71.81150349518933,
212.0,216.6503882300086,216.6503882300086
213.0,44.86752937974608,
214.0,41.64687856199514,
215.0,323.3129017769943,
216.0,163.4715605015917,
217.0,249.23049163614115,
218.0,405.950376157043,405.950376157043
219.0,112.504897358645,
220.0,315.8467257360236,315.8467257360236
221.0,93.4526421639633,
222.0,236.966023442452,236.966023442452
223.0,164.8676908118434,
224.0,211.72965802984382,
225.0,148.27900902904867,
226.0,234.58410704383707,234.58410704383707
227.0,34.95981694406028,
228.0,76.88216662105619,
229.0,137.6760842383916,
230.0,381.3384733512329,381.3384733512329
231.0,122.69412825054894,
232.0,308.27521947137114,308.27521947137114
233.0,165.68805533610617,
234.0,123.52693293354615,
235.0,190.84044894658754,
236.0,160.02440828472834,
237.0,246.50877077976904,
238.0,171.49964150784504,
239.0,102.55967721386648,
240.0,101.14370960957073,
241.0,203.1096289233671,
242.0,146.66397430743567,
243.0,160.82126372759151,
244.0,169.39073256910532,
245.0,202.98817965438238,
246.0,290.6155299619662,290.6155299619662
247.0,258.7645469608388,
248.0,279.14280663662845,279.14280663662845
249.0,96.8695026093038,
250.0,121.43867075619082,
251.0,125.09362101272261,
252.0,44.34498506605706,
253.0,254.02858039478735,
254.0,231.58565222449715,
255.0,136.45637985766209,
256.0,167.09370018255981,
257.0,434.98092361709837,434.98092361709837
258.0,122.63936447641359,
259.0,93.42805983618088,
260.0,212.74421088520447,212.74421088520447
261.0,55.17909269652336,
262.0,177.16206387457513,
263.0,303.499199614425,
264.0,211.01969116893304,
265.0,142.22931764078047,
266.0,154.28251999666182,
267.0,259.89241906552274,
268.0,75.0773316903924,
269.0,312.1860069124079,
270.0,195.40238166721088,
271.0,59.03333757822994,
272.0,152.10611992405407,
273.0,108.81368944388008,
274.0,67.48806507138545,
275.0,97.0625342846011,
276.0,122.95501638771177,
277.0,209.31364433749067,
278.0,142.65647040133973,
279.0,174.7843041287306,
280.0,324.0015652413215,
281.0,65.90432185192485,
282.0,86.9503641895355,
283.0,151.53769485863756,
284.0,129.91978111268347,
285.0,254.1753311941863,
286.0,77.7758480118594,
287.0,214.0108237165283,
288.0,283.12689682420677,
289.0,133.12742445127734,
290.0,299.531276911488,
291.0,324.69981933369354,324.69981933369354
292.0,230.42688782848418,
293.0,237.6056822568272,
294.0,73.5209359947845,
295.0,71.57608120532666,
296.0,106.38738274214272,
297.0,195.12546636303992,
298.0,190.0571943020159,
299.0,127.56215770222128,
300.0,223.86187391246088,
301.0,242.11637043816134,242.11637043816134
302.0,27.704285769872115,
303.0,45.152366362441434,
304.0,144.23524846728736,
305.0,252.9866790920572,
306.0,104.41768706521242,
307.0,58.08145291836228,
308.0,144.41575622359696,
309.0,155.09261602909172,
310.0,82.95736157431739,
311.0,208.52360906679377,
312.0,85.53500225873047,
313.0,490.79655548940076,490.79655548940076
314.0,164.39702798485328,
315.0,116.3584855109412,
316.0,215.29406595470164,215.29406595470164
317.0,171.0688654419084,171.0688654419084
318.0,48.53495515232298,
319.0,214.32817850142527,214.32817850142527
320.0,145.95053219343154,
321.0,156.22885958846425,
322.0,108.283625609437,
323.0,129.00962686985542,
324.0,199.91547281774433,199.91547281774433
325.0,154.8321354745423,154.8321354745423
326.0,52.240578836818656,
327.0,135.88774213799783,
328.0,78.56008729691717,
329.0,217.97672759840538,
330.0,196.26304501506044,
331.0,350.9283304344076,350.9283304344076
332.0,20.02259210703165,
333.0,357.0724336496012,357.0724336496012
334.0,264.8692711365415,264.8692711365415
335.0,92.99854305557234,
336.0,186.3547027762083,186.3547027762083
337.0,136.00921650229276,
338.0,169.73878866346257,169.73878866346257
339.0,159.77717415366507,159.77717415366507
340.0,41.239088111939246,
341.0,195.49777038004194,
342.0,190.85221794465738,
343.0,192.75025656057912,
344.0,238.6633182513568,
345.0,115.2196283188612,
346.0,85.86139504219025,
347.0,77.76232799833862,
348.0,199.5270351648658,
349.0,109.23584824058615,
350.0,118.09453959389191,
351.0,359.8344418494253,359.8344418494253
352.0,164.20252807356272,
353.0,194.2729680945429,
354.0,272.24960389003866,
355.0,286.9532427629832,286.9532427629832
356.0,165.32373726432812,165.32373726432812
357.0,164.3773808359975,164.3773808359975
358.0,55.615462806739714,
359.0,227.08420393324684,
360.0,385.7774325347238,
361.0,116.88524925385016,
362.0,240.8218570757842,
363.0,293.15228640195187,
364.0,1640.6401748718042,
365.0,5272.218973468863,5272.218973468863
366.0,1747.7268267121221,
367.0,193.73129951905366,
368.0,308.73576826896465,
369.0,206.94817758528856,
370.0,340.4264680438727,
371.0,127.87927151018292,
372.0,141.77657593035119,
373.0,71.63722065549729,
374.0,285.20242086456784,
375.0,278.8849160529093,
376.0,153.15171288599967,
377.0,371.68007462176126,
378.0,170.13153260169136,
379.0,175.45528592166346,
380.0,15.71272745174847,
381.0,24.60804877417196,
382.0,267.12074752293387,
383.0,238.3943084312164,
384.0,68.60701037661366,
385.0,125.72938895202704,
386.0,318.6731411096822,
387.0,109.07100956960404,
388.0,134.49294417656515,
389.0,110.65646514068017,
390.0,33.26590768655368,
391.0,129.34875604508366,
392.0,207.50892456727468,
393.0,146.98880596771482,
394.0,147.87784865962487,
395.0,155.3947288200425,
396.0,57.26830474165426,
397.0,194.30889577914624,
398.0,167.8818598655941,
399.0,178.0576558180818,
400.0,82.70616574882318,
401.0,361.49420315449225,
402.0,218.3483294967525,
403.0,220.04111150114093,
404.0,190.67440693884174,
405.0,86.95705604754409,
406.0,133.06269063789273,
407.0,73.38153190171217,
408.0,206.52760935239104,
409.0,158.84834407595324,
410.0,90.02810735255015,
411.0,105.53658833147708,
412.0,162.01043411668755,
413.0,84.22457237531583,
414.0,92.69360937742204,
415.0,245.78222220000183,
416.0,118.77011839029907,
417.0,162.07574258748835,
418.0,125.6428059491456,
419.0,172.0336773825345,
420.0,117.17853208919297,
421.0,84.96535830247099,
422.0,128.43178717521096,
423.0,154.9959519625454,
424.0,80.83418180712873,
425.0,83.7989590252988,
426.0,119.54238265195768,
427.0,202.8770078851227,
428.0,72.3323834604156,
429.0,149.38616827928433,
430.0,71.28039651435498,
431.0,195.5447043789236,
432.0,130.65912014269526,
433.0,190.38283783431476,
434.0,101.79498300964991,
435.0,34.07546802069814,
436.0,31.52025373656624,
437.0,13.97528255377094,
438.0,197.99276056347418,
439.0,176.59524330015958,
440.0,168.4041381129481,
441.0,150.2548624950461,
442.0,171.85839789607078,
443.0,192.60902420605845,
444.0,65.81426111134765,
445.0,238.20485643759358,
446.0,91.21971162213181,
447.0,244.91831205059725,
448.0,185.69778473381754,
449.0,55.4806030661591,
450.0,98.44943216402733,
451.0,123.57962248800449,
452.0,175.6080074691502,
453.0,131.37148513786494,
454.0,155.3338772079832,
455.0,73.46982661295797,
456.0,169.47061113274157,
457.0,41.925604888131446,
458.0,106.49860441984859,
459.0,104.23970566298563,
460.0,330.42246672303736,
461.0,122.92900986411573,
462.0,238.64238595478386,
463.0,161.57533043214363,
464.0,115.13014239149356,
465.0,182.17044489228542,
466.0,73.39768702036997,
467.0,197.4956010564434,
468.0,99.35216565619558,
469.0,245.93204972244934,
470.0,40.47350620571767,
471.0,258.98340860226733,
472.0,166.8438684618269,
473.0,244.8293911053107,
474.0,35.260730748116785,
475.0,87.73194546702261,
476.0,189.36696934415318,
477.0,144.01139158149616,
478.0,142.281010348582,
479.0,177.73494664176005,
480.0,260.3301100403477,
481.0,188.5420322830526,
482.0,146.88412281831538,
483.0,36.63530308264243,
484.0,126.32868391267151,
485.0,63.00807062867096,
486.0,147.35203569727804,
487.0,155.64288637291162,
488.0,131.57929138402937,
489.0,124.77535522179903,
490.0,90.62340193384412,
491.0,97.33658463485517,
492.0,113.54522138387068,
493.0,50.91889826987524,
494.0,113.3088280476985,
495.0,210.99619720886076,
496.0,88.41058158915723,
497.0,111.44667563322506,
498.0,79.51769094228435,
499.0,64.45535292478992,
500.0,21.295082522503304,
501.0,118.27671534095947,
502.0,138.02103012865203,
503.0,93.3765880486645,
504.0,170.49901080436197,
505.0,151.59176660921855,
506.0,131.5526985810813,
507.0,86.9781719231897,
508.0,118.0653151279694,
509.0,40.016054585860736,
510.0,92.9471788130786,
511.0,71.73912574095549,
512.0,86.52447535465964,
513.0,179.34667261179143,
514.0,149.212993487627,
515.0,34.833675431839346,
516.0,132.69237780588688,
517.0,48.08099514178001,
518.0,76.98276465076175,
519.0,46.03369641921172,
520.0,94.3209038725693,
521.0,146.2774686034385,
522.0,73.66889181306317,
523.0,82.44054687189741,
524.0,95.37740263900376,
525.0,63.99928427861361,
526.0,36.032421565292,
527.0,177.57977770604415,
528.0,107.48850432954364,
529.0,72.2912360791476,
530.0,49.92915920193684,
531.0,45.40752020209065,
532.0,101.87679059161941,
533.0,34.11847838449715,
534.0,48.19347136137153,
535.0,156.50804732824452,
536.0,87.14820585499346,
537.0,20.433769070653018,
538.0,33.40933242462458,
539.0,114.9899601872053,
540.0,131.61251471486045,
541.0,48.832541664776805,
542.0,90.61682794844897,
543.0,86.24823497326301,
544.0,106.5924441351865,
545.0,155.86572440935456,
546.0,137.47474687795363,
547.0,77.1288040366759,
