,Anfang,Ende,RES,EE,Wechsel_EE-RES,Delta_t,Delta_E,LV_kurz,LV_lang,P_kurz,P_lang,Anteil_kurz,Anteil_lang
0,0,111,740959.4183838594,0,0,111,740959.4183838594,0.0,740959.4183838594,0.0,6675.310075530265,0.0,1.0
1,111,139,130801.8155437955,-36273.11198415443,122,28,94528.70355964107,36273.11198415443,167074.9275279499,1295.4682851483724,5966.961697426783,0.17837945264279403,0.8216205473572059
2,139,159,7825.330334066777,-71470.02120056018,153,20,-63644.6908664934,7825.330334066777,-79295.35153462696,391.2665167033389,-3964.7675767313476,0.08982172965382586,0.9101782703461742
3,159,183,21652.6127937322,-31963.137607483015,173,24,-10310.524813750813,21652.6127937322,-53615.75040121522,902.1921997388417,-2233.989600050634,0.28767216230876785,0.7123278376912322
4,183,234,243612.4052538905,-49406.395109475474,200,51,194206.01014441502,49406.395109475474,293018.80036336597,968.7528452838328,5745.4666737914895,0.14428376113285746,0.8557162388671425
5,234,245,19956.4361117039,-9359.208549204945,240,11,10597.227562498956,9359.208549204945,29315.644660908845,850.8371408368131,2665.0586055371678,0.24199726107189037,0.7580027389281097
6,245,256,25430.76178061909,-293.9770357871457,246,11,25136.784744831944,293.9770357871457,25724.738816406236,26.725185071558702,2338.6126196732944,0.011298675824631961,0.988701324175368
7,256,279,56235.34498421205,-18278.716868892716,271,23,37956.62811531934,18278.716868892716,74514.06185310477,794.7268203866398,3239.741819700207,0.1969842602047174,0.8030157397952826
8,279,302,16252.152782103465,-21794.752864211427,296,23,-5542.6000821079615,16252.152782103465,-38046.90564631489,706.6153383523246,-1654.2132889702125,0.2993081878855862,0.7006918121144137
9,302,307,1912.1144305997586,-163.1463347893914,303,5,1748.9680958103672,163.1463347893914,2075.26076538915,32.62926695787828,415.05215307783,0.0728850148734689,0.9271149851265311
10,307,327,24784.4476841156,-9103.997772181792,316,20,15680.449911933807,9103.997772181792,33888.44545629739,455.1998886090896,1694.4222728148695,0.21175809255127642,0.7882419074487236
11,327,342,2142.376907101285,-16069.041777378221,336,15,-13926.664870276936,2142.376907101285,-18211.418684479504,142.82512714008564,-1214.0945789653003,0.1052568744469196,0.8947431255530803
12,342,349,8805.5058542818,-2091.6236878171785,344,7,6713.882166464622,2091.6236878171785,10897.129542098979,298.80338397388266,1556.7327917284256,0.16103344568897318,0.8389665543110268
13,349,360,53.60112046204995,-16775.432517283672,359,11,-16721.831396821624,53.60112046204995,-16829.03363774572,4.8728291329136315,-1529.9121488859746,0.00317492626179044,0.9968250737382095
14,360,376,25268.618621901773,-1238.6376858384901,364,16,24029.980936063283,1238.6376858384901,26507.256307740263,77.41485536490563,1656.7035192337664,0.04464219772933425,0.9553578022706658
15,376,383,1414.5090995296032,-1655.5020165612586,380,7,-240.99291703165545,1414.5090995296032,-3070.011116090862,202.07272850422902,-438.57301658440883,0.3154203864668934,0.6845796135331066
16,383,404,38985.307174668116,-4579.790334349313,388,21,34405.5168403188,4579.790334349313,43565.09750901743,218.08525401663394,2074.528452810354,0.09512516363625308,0.904874836363747
17,404,423,85126.77215788755,-4701.292466803496,409,19,80425.47969108405,4701.292466803496,89828.06462469105,247.43644562123663,4727.792874983739,0.049733676515467416,0.9502663234845325
18,423,523,1023368.0140881998,-3589.1146328125833,427,100,1019778.8994553873,3589.1146328125833,1026957.1287210124,35.891146328125835,10269.571287210123,0.0034827303053690394,0.996517269694631
