,0
2013-01-01,183676.8646142183
2013-01-02,190709.0790277698
2013-01-03,186950.39444460243
2013-01-04,125641.2894240377
2013-01-05,10377.861259018538
2013-01-06,93729.03895020895
2013-01-07,-51153.697504642405
2013-01-08,-18334.15820821342
2013-01-09,52767.05508832042
2013-01-10,163901.28778860974
2013-01-11,34365.48216961812
2013-01-12,35923.453012291226
2013-01-13,3420.138997240887
2013-01-14,4442.337667634114
2013-01-15,-8069.657921753538
2013-01-16,22611.304891672888
2013-01-17,30997.89777386463
2013-01-18,127628.64974101282
2013-01-19,272816.08635545615
2013-01-20,257481.6156849921
2013-01-21,304909.82617923
2013-01-22,131207.8558847259
2013-01-23,-15683.070233648767
2013-01-24,-21896.520039679297
2013-01-25,-19901.236127248947
2013-01-26,237243.92840198104
2013-01-27,214416.29665178637
2013-01-28,240973.1455432437
2013-01-29,252980.08817167775
2013-01-30,305156.5407712461
2013-01-31,298543.74268732674
2013-02-01,102144.41491574109
2013-02-02,139274.9026931851
2013-02-03,146702.56426989872
2013-02-04,215305.7499542865
2013-02-05,259635.58770249013
2013-02-06,139346.0726335278
2013-02-07,45994.1987074099
2013-02-08,41072.73416172872
2013-02-09,-16262.34828372366
2013-02-10,169272.54677557282
2013-02-11,309963.5011537476
2013-02-12,58721.73806440674
2013-02-13,-15091.470379727556
2013-02-14,132729.51508289573
2013-02-15,24301.06742841534
2013-02-16,-19591.233799210466
2013-02-17,-25961.418552799285
2013-02-18,23533.6669424554
2013-02-19,186382.42527252095
2013-02-20,140228.99901109582
2013-02-21,91853.90499420639
2013-02-22,157570.2413631316
2013-02-23,275231.49193413305
2013-02-24,245945.2750579872
2013-02-25,190382.4701604416
2013-02-26,46384.52396028587
2013-02-27,-19969.367088233914
2013-02-28,98049.85400994141
2013-03-01,125777.17776773893
2013-03-02,158380.00189334564
2013-03-03,105794.90260808228
2013-03-04,153928.81101990645
2013-03-05,116251.224578965
2013-03-06,-9978.413035375032
2013-03-07,289348.9081588203
2013-03-08,283166.7904102542
2013-03-09,247947.35990100255
2013-03-10,228744.2540349459
2013-03-11,170113.7263621462
2013-03-12,25653.160218404842
2013-03-13,-61449.20858565945
2013-03-14,-74196.70199520879
2013-03-15,888.8727127359143
2013-03-16,263248.26741060993
2013-03-17,230698.28819571927
2013-03-18,293004.94230350276
2013-03-19,198436.89576513
2013-03-20,126768.84772056929
2013-03-21,87410.81712878811
2013-03-22,227902.5879942534
2013-03-23,257539.20861078918
2013-03-24,246524.76766526196
2013-03-25,309841.28266712185
2013-03-26,310176.8055983993
2013-03-27,217729.2298111677
2013-03-28,85821.02300933163
2013-03-29,97706.05322636604
2013-03-30,66046.2245253411
2013-03-31,84220.71713180159
2013-04-01,81705.4893154093
2013-04-02,194149.36432899474
2013-04-03,203756.6557736495
2013-04-04,195630.94743375512
2013-04-05,55011.55795263434
2013-04-06,14360.310567593957
2013-04-07,34488.441641603815
2013-04-08,89757.69828831166
2013-04-09,270643.56114006665
2013-04-10,140334.4548385746
2013-04-11,54068.78809403112
2013-04-12,139728.83210180228
2013-04-13,90702.96490675221
2013-04-14,187316.93324789393
2013-04-15,93386.56179689785
2013-04-16,6510.954065707436
2013-04-17,35740.959483210594
2013-04-18,222431.7004664728
2013-04-19,81607.58180861567
2013-04-20,12081.542152190024
2013-04-21,-83685.39658230625
2013-04-22,-167668.51840311478
2013-04-23,75947.623484813
2013-04-24,2378.235283859809
2013-04-25,-40721.35027296024
2013-04-26,-174878.20037682046
2013-04-27,-102570.46681474504
2013-04-28,-65267.933483236135
2013-04-29,117090.36798359438
2013-04-30,-79092.40024588688
2013-05-01,-148213.06514988464
2013-05-02,-211901.12761055917
2013-05-03,-237579.8912395559
2013-05-04,-118844.39563753546
2013-05-05,-177626.44326971433
2013-05-06,-265745.2357857034
2013-05-07,-233572.70136939324
2013-05-08,-178198.0392845791
2013-05-09,-192750.96526334668
2013-05-10,-113018.00810636865
2013-05-11,-83394.42799598702
2013-05-12,-48581.80879792665
2013-05-13,33395.79678103009
2013-05-14,-42268.972434450654
2013-05-15,-45273.200830327805
2013-05-16,-106117.57132841389
2013-05-17,-182224.5491677044
2013-05-18,-90422.20124018869
2013-05-19,-104530.22659509124
2013-05-20,-114440.25194724015
2013-05-21,-96368.47694960498
2013-05-22,189178.41334383478
2013-05-23,-27772.687704761847
2013-05-24,-223338.48103048923
2013-05-25,50183.51398326885
2013-05-26,136227.1591466239
2013-05-27,-50340.97656840404
2013-05-28,-197404.00934867276
2013-05-29,-109283.67252740337
2013-05-30,-44039.08114450837
2013-05-31,186034.49875645267
2013-06-01,112738.27716018134
2013-06-02,122436.41144958127
2013-06-03,-12679.911714578657
2013-06-04,-173137.25310780658
2013-06-05,-279687.5298300091
2013-06-06,-263528.1455062873
2013-06-07,-234965.63513389986
2013-06-08,-206695.5394210975
2013-06-09,-228349.43821610656
2013-06-10,-283064.1329173066
2013-06-11,-285238.7627907909
2013-06-12,-80524.9113750514
2013-06-13,81622.81375445113
2013-06-14,-69094.5178208347
2013-06-15,31751.431605247035
2013-06-16,-34394.37919853671
2013-06-17,-163215.51725719508
2013-06-18,-107548.91861275646
2013-06-19,-139451.29463012688
2013-06-20,-171052.68111364628
2013-06-21,107223.95053071984
2013-06-22,143484.123229645
2013-06-23,106922.8075075953
2013-06-24,-28245.730567596293
2013-06-25,16222.848855484968
2013-06-26,96025.41114974434
2013-06-27,-86252.01983773094
2013-06-28,-83779.63035193567
2013-06-29,80090.53231540773
2013-06-30,-70645.84025196341
2013-07-01,-51185.109746556205
2013-07-02,-72075.6900437701
2013-07-03,-7688.748069657593
2013-07-04,-118154.68737362424
2013-07-05,-116812.04670764868
2013-07-06,-111883.45180111736
2013-07-07,-88907.81069217357
2013-07-08,-67353.70854982387
2013-07-09,-109544.10076379695
2013-07-10,46645.141383024966
2013-07-11,-23332.30357226231
2013-07-12,-79116.30706366287
2013-07-13,-40129.89327289675
2013-07-14,-20213.89160516401
2013-07-15,-5189.97173067143
2013-07-16,-16242.50978723901
2013-07-17,-21836.77462128544
