,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Jänner,17,19,20,20,23,25,25,26,29,31,29,29,29,28,27,20,18,18,17,15,15,15,15,16
Februar,16,16,16,16,19,21,22,27,30,30,31,31,31,31,31,28,21,19,16,15,15,16,16,16
März,21,20,20,21,23,23,24,25,27,28,28,28,28,28,28,25,22,21,20,19,20,21,20,21
April,14,14,14,13,12,12,18,26,29,28,28,29,29,29,28,25,14,6,6,6,8,9,10,12
Mai,9,9,8,8,8,6,14,19,23,24,25,26,26,25,24,17,11,5,5,7,7,7,8,8
Juni,8,8,9,9,9,10,16,21,24,26,28,29,27,24,20,18,14,8,7,5,5,5,6,8
Juli,3,3,4,4,3,3,9,20,27,29,30,30,31,31,28,16,5,2,1,0,0,1,1,3
August,10,10,10,9,9,9,13,25,30,30,30,30,30,28,27,21,11,6,7,7,8,8,9,10
September,12,12,12,12,12,12,13,22,31,31,31,31,31,30,25,18,11,10,11,11,11,11,12,12
Oktober,22,22,23,23,22,21,21,23,24,25,27,25,25,24,22,22,19,18,18,19,22,20,21,22
November,29,29,29,29,29,29,24,29,31,31,31,31,31,31,27,22,21,21,23,24,25,26,28,29
Dezember,29,29,30,30,30,27,26,28,30,30,30,30,30,30,30,26,25,25,25,26,28,28,28,30
