,f,max
0.0,45.58954637625685,
1.0,3.602123851249518,
2.0,2.893194345602155,
3.0,1.522750634601578,
4.0,1.762889941478309,
5.0,1.1478867306355112,
6.0,0.1465629909661428,
7.0,0.6260181844160849,
8.0,1.693529906484069,
9.0,0.1546245011446894,
10.0,2.149461999184154,
11.0,1.1754029078142334,
12.0,0.7785725672346027,
13.0,0.9538924583849218,
14.0,1.322265303548398,
15.0,1.2920097798630479,
16.0,1.3067302666395277,
17.0,0.46194706005932556,
18.0,0.5136012886197253,
19.0,0.9900632932016256,
20.0,0.27100067832532976,
21.0,0.5932595605468276,
22.0,0.28561568463688464,
23.0,0.39178666775445964,
24.0,0.351956887005766,
25.0,1.2811925003724651,
26.0,1.0591841212653024,
27.0,0.6999103118225252,
28.0,0.7020945276916836,
29.0,0.2790269788979894,
30.0,0.48932962120405904,
31.0,0.6099590859513951,
32.0,1.226255664126173,
33.0,1.3128869285024842,
34.0,0.32271898367689567,
35.0,0.47313300668853836,
36.0,0.37979543477041317,
37.0,1.4276321956949047,
38.0,0.6195186008447777,
39.0,0.15250040707255322,
40.0,0.9244387070686845,
41.0,1.2782978712082487,
42.0,0.9928606195084685,
43.0,1.0676067586390359,
44.0,0.9241613062683014,
45.0,0.8835692617010725,
46.0,0.24279186978442588,
47.0,0.4585174007563286,
48.0,0.19920866943457616,
49.0,0.17885453667205797,
50.0,0.5630409555231498,
51.0,0.3490926848456751,
52.0,0.8008093163469682,
53.0,0.08060573708684794,
54.0,0.888220050193705,
55.0,0.8909304452109994,
56.0,0.7498950078569088,
57.0,0.2681000154930222,
58.0,0.6575799652199567,
59.0,0.1779710605894235,
60.0,0.5966503465851832,
61.0,0.038730578237999254,
62.0,0.19860938116324006,
63.0,0.7046894406941913,
64.0,0.7585268245720976,
65.0,0.7107344130588658,
66.0,0.5370855401030815,
67.0,0.9288407928951132,
68.0,0.1332895220535848,
69.0,0.38275346483790423,
70.0,0.1742461141644804,
71.0,0.567135208746875,
72.0,0.3720095087230966,
73.0,0.7561831878447096,
74.0,0.4487425971020602,
75.0,0.10892194593472607,
76.0,0.22276084591532994,
77.0,0.11024648147378849,
78.0,0.5191050016549245,
79.0,0.1854431688706558,
80.0,0.2396452741572948,
81.0,0.6454733317031794,
82.0,0.37379917276153435,
83.0,0.2841298293740298,
84.0,0.3096929871455602,
85.0,0.6692202185010095,
86.0,0.3663934602707716,
87.0,1.0199490893962648,
88.0,0.8391581900068183,
89.0,0.8351810318975658,
90.0,0.7413068489733995,
91.0,0.5223973510351632,
92.0,0.6153642482975163,
93.0,0.31095219394868984,
94.0,0.15320166946960254,
95.0,0.4924198461261923,
96.0,0.5071740864574944,
97.0,0.5691318543411584,
98.0,0.7539105185194593,
99.0,0.5313451923277246,
100.0,0.5492224522127295,
101.0,0.2596348839289825,
102.0,0.7288222714604288,
103.0,0.19928590590899817,
104.0,0.5813011101118978,
105.0,0.11878206310605696,
106.0,0.7647251917834766,
107.0,0.5503902378438404,
108.0,0.06449462155988749,
109.0,0.5539958141276891,
110.0,0.46097674477885564,
111.0,0.7034773120463188,
112.0,0.34684690897588466,
113.0,0.3743974137782261,
114.0,0.40324399123964844,
115.0,0.31852676254853385,
116.0,0.274209848609315,
117.0,0.25402994323175143,
118.0,0.6462027456982042,
119.0,0.10293441594494632,
120.0,0.284508727775271,
121.0,0.3782478994048326,
122.0,0.19903615579320447,
123.0,0.31095427406638576,
124.0,0.5678993433075928,
125.0,0.41518752066144904,
126.0,0.26617631738107106,
127.0,0.6110880035646816,
128.0,0.2619510413791445,
129.0,0.24466988320148408,
130.0,0.3174490022148357,
131.0,0.1070746095171003,
