,f,max
0.0,8125.803995628095,
1.0,2537.7294029458762,
2.0,779.6690341862735,
3.0,558.6548214782426,
4.0,561.4453604234551,
5.0,886.2700210266728,
6.0,558.8141652425325,
7.0,629.4857468352048,
8.0,577.9083489044477,
9.0,641.8509982580207,
10.0,659.2302510340273,
11.0,275.81153257337246,
12.0,1029.359683291408,
13.0,622.6580319537812,
14.0,162.18780600031883,
15.0,568.2743071952427,
16.0,471.34248827312524,
17.0,372.73012982590905,
18.0,421.0314725883055,
19.0,353.95467266306656,
20.0,407.97431971864637,
21.0,406.417744183418,
22.0,332.44516423026823,
23.0,1125.3887400228625,
24.0,445.2815112914579,
25.0,67.24013423053334,
26.0,395.4355645745869,
27.0,896.0409987297203,
28.0,748.0509387568007,
29.0,189.85802454095744,
30.0,1037.0853787740432,
31.0,890.6698205850681,
32.0,748.2652792928989,
33.0,644.8564012123123,
34.0,513.8540953161731,
35.0,261.15304707571397,
36.0,956.9258930603058,
37.0,438.3903907870854,
38.0,401.3839838587404,
39.0,621.1406237963166,
40.0,666.008138335374,
41.0,287.18105938196703,
42.0,270.72632884208605,
43.0,457.77188790807,
44.0,1322.3809422762865,1322.3809422762865
45.0,676.9487570641057,
46.0,1028.134040465523,1028.134040465523
47.0,561.6031881010566,
48.0,513.703734656869,
49.0,139.74882313120395,
50.0,831.2849602955313,831.2849602955313
51.0,126.18425871131448,
52.0,779.8469767737646,
53.0,381.21115499882796,
54.0,521.3654194589003,
55.0,368.1512860539397,
56.0,803.5500365670703,803.5500365670703
57.0,369.0408641201781,
58.0,76.49111572439553,
59.0,171.09908923136203,
60.0,468.3773827466077,
61.0,724.6480674843257,724.6480674843257
62.0,415.20325814108554,
63.0,176.7040445720113,
64.0,322.20290842760636,
65.0,245.3510026300462,
66.0,523.4125664641567,
67.0,359.2415971382931,
68.0,553.7666386631895,
69.0,326.3825268696473,
70.0,651.8619329764832,651.8619329764832
71.0,142.61442062618949,
72.0,366.2608431574751,
73.0,264.88119795135424,
74.0,280.6535715103385,
75.0,621.8483586638303,
76.0,624.8024817912435,624.8024817912435
77.0,41.55105172757242,
78.0,440.5278818018676,
79.0,367.6163612805676,
80.0,450.72116619524604,
81.0,621.0803612368842,621.0803612368842
82.0,394.24298692648904,
83.0,537.4202521663032,
84.0,425.5727491344394,
85.0,150.50185178778668,
86.0,198.71648682339415,
87.0,296.69899774596865,
88.0,239.26956942111048,
89.0,207.53168721600886,
90.0,538.6256241503797,538.6256241503797
91.0,25.870274424046887,
92.0,341.8580450585102,
93.0,88.1047497215009,
94.0,177.2515116113285,
95.0,541.469119892938,
96.0,438.53258983802965,
97.0,468.81830972140597,
98.0,211.2038703954053,
99.0,291.0753441628986,
100.0,317.2132851904626,
101.0,609.6037759587581,
102.0,348.3044226243685,
103.0,468.5334235681811,
104.0,348.5427700428891,
105.0,146.82247863632878,
106.0,289.74609934076204,
107.0,386.97807748378966,
108.0,313.5857275417025,
109.0,251.61650789697265,
110.0,201.72551658555133,
111.0,232.8511699324238,
112.0,319.321784034522,
113.0,225.0939023267403,
114.0,267.80433646503724,
115.0,216.35516545717041,
116.0,184.2365071286838,
117.0,270.0578484285813,
118.0,262.38720907024464,
119.0,278.6316258013623,
120.0,364.5813346582101,
121.0,462.0067456750495,
122.0,382.6600187832069,
123.0,293.26737207516186,
124.0,467.5497918084941,
125.0,196.60818300157933,
126.0,388.47721778440786,
127.0,367.2219779815115,
128.0,208.58254722613515,
129.0,536.9534412314897,
130.0,495.19160449993655,
131.0,189.14157504539259,
132.0,253.33845074133947,
133.0,109.10916456228011,
134.0,681.4550840065729,681.4550840065729
135.0,424.9724014273676,424.9724014273676
136.0,368.5652250006742,
137.0,246.13407686496424,
138.0,116.41489146948646,
139.0,168.5528014462402,
140.0,419.0524620703119,419.0524620703119
141.0,160.55234579000367,
142.0,271.79972227834213,
143.0,290.13977059975304,290.13977059975304
144.0,28.44550441763021,
145.0,442.929160691306,
146.0,165.55492659186314,
147.0,234.69597872850952,
148.0,378.3196716926259,
149.0,266.54094237545326,
150.0,158.33456965662546,
151.0,122.68723265955391,
152.0,243.9205293559709,
