,AT0 0
0,-11767.315633326445
1,-11529.230658030065
2,-11291.480673138441
3,-10832.953907457386
4,-10636.238717132735
5,-10635.384861083268
6,-10592.743703892409
7,-10576.491720029151
8,-10508.367433017516
9,-10384.047290949362
10,-10314.123343707999
11,-10305.15730387224
12,-10241.007689371314
13,-10240.485503211677
14,-10228.242795782888
15,-10076.842936621899
16,-10076.052307916285
17,-9994.625819389074
18,-9971.15326233424
19,-9955.353131472426
20,-9914.859268031885
21,-9847.12813934706
22,-9841.864959609158
23,-9791.467391311224
24,-9770.022444304746
25,-9728.29394076623
26,-9698.585397150026
27,-9675.86341977107
28,-9652.07391489303
29,-9627.29879323119
30,-9616.291591486462
31,-9596.555913866423
32,-9535.342443892087
33,-9510.75807270495
34,-9499.125477325622
35,-9496.75545731558
36,-9489.947935329492
37,-9458.95747498437
38,-9452.135396420883
39,-9411.665418694622
40,-9403.366019376139
41,-9394.96824109005
42,-9296.30361208395
43,-9295.896262316619
44,-9288.028862047931
45,-9283.391488834417
46,-9271.254916767746
47,-9258.354375502879
48,-9230.36071333989
49,-9224.459276994037
50,-9205.308255245604
51,-9195.459685954722
52,-9163.55137002061
53,-9116.472170196914
54,-9092.25943147092
55,-9091.235243798996
56,-9060.006633254527
57,-9020.478379194
58,-9016.813928837582
59,-9002.787776966945
60,-8970.817474712934
61,-8965.93336341495
62,-8965.131371720061
63,-8946.89510124897
64,-8942.3218750084
65,-8874.381194100482
66,-8871.226981999534
67,-8847.476190109259
68,-8833.697079684156
69,-8807.590056377527
70,-8806.354370618448
71,-8802.67703299974
72,-8777.391126942053
73,-8771.582789406075
74,-8769.468903173736
75,-8758.971113183836
76,-8739.041859487801
77,-8727.361440175755
78,-8723.811719307929
79,-8722.824402962447
80,-8712.390827835014
81,-8701.313283412688
82,-8694.223385784553
83,-8653.061724722795
84,-8650.385091999684
85,-8646.470259602296
86,-8645.848285244372
87,-8643.183663242267
88,-8637.411388365737
89,-8632.07622636528
90,-8625.601167750276
