,AT0 0
0,23333.845852189916
1,23054.181823902978
2,22643.02112445658
3,22191.434537357138
4,22073.304925004817
5,21960.630410029713
6,21937.223624854167
7,21888.312410246435
8,21877.846348087933
9,21876.66354897173
10,21803.459291900002
11,21777.052145065933
12,21720.05970398902
13,21719.743890622376
14,21676.927478167527
15,21547.995886911838
16,21445.65765260993
17,21374.652173721894
18,21336.904964909074
19,21328.926163619497
20,21313.346806575366
21,21285.745008051163
22,21244.46170460364
23,21212.34406969439
24,21163.815063510192
25,21131.567551579665
26,21120.059830394286
27,21099.88315427392
28,21031.221775572572
29,20980.174458591846
30,20954.28438186407
31,20936.72998153578
32,20933.07253932247
33,20914.481666801825
34,20911.95457175285
35,20858.200591174398
36,20839.03013676384
37,20784.455092640765
38,20731.778010873306
39,20667.445627347977
40,20644.93637357556
41,20620.204647111932
42,20585.93592782949
43,20559.11110977616
44,20470.745069926717
45,20457.901521735632
46,20388.157221165136
47,20362.897453193604
48,20164.053625352215
49,20159.02408019823
50,20135.723835334684
51,20090.621635055515
52,20088.459446306348
53,20012.5847670316
54,19998.17748686712
55,19973.948330980387
56,19945.69555708267
57,19893.57189163474
58,19835.325309221203
59,19806.65488630379
60,19762.084184466905
61,19755.65221149414
62,19738.777305852873
63,19684.3861974202
64,19648.83156242642
65,19632.69820576452
66,19627.070894439683
67,19591.87458197571
68,19541.072401108686
69,19536.655550548945
70,19536.00288077099
71,19523.956477532338
72,19520.15456272484
73,19472.555880168315
74,19458.547017660887
75,19430.51890399026
76,19409.255851284164
77,19350.61100032046
78,19350.11597946874
79,19331.4024656989
80,19328.899830314404
81,19309.871557820272
82,19296.0381427155
83,19287.03857294457
84,19245.99485042339
85,19231.943660289275
86,19168.850540981828
87,19162.09933606993
88,19160.817228181233
89,19137.01058361294
90,19134.695587281116
91,19126.71733747575
92,19096.99117014677
93,19082.148835278527
94,19068.10956133835
95,19055.07871462691
96,19047.721977419
97,19037.683299393153
98,19013.980286272697
99,18991.741119657414
100,18977.48743573953
101,18972.989510721116
102,18971.50308515636
103,18969.80868743241
104,18957.218034113375
105,18955.625671241432
106,18910.82799011672
107,18850.126625237215
108,18838.174390667547
109,18832.948935613524
110,18831.610282179296
111,18804.08920406874
112,18787.680433281337
113,18785.838229850524
114,18779.502178489256
115,18765.481160758864
116,18742.71300528898
117,18741.250073734187
118,18740.626524719337
119,18723.998657829015
120,18710.006251798033
121,18709.573383272636
122,18708.03958831724
123,18707.315853591906
124,18704.302891915566
125,18698.918512147095
126,18679.06605912211
127,18677.64255624167
128,18675.725832632757
129,18671.075788095233
130,18669.465393856288
131,18658.811008943652
132,18649.691329143963
133,18649.205269883932
134,18641.964681684658
135,18614.074030423006
136,18609.36754386055
137,18591.034399031218
138,18556.154573074487
139,18536.234083804775
140,18535.019281921683
141,18514.565976350168
142,18512.661377246397
143,18491.249809744273
144,18482.918014544128
145,18471.833271999647
146,18466.43827199062
147,18464.552367554315
148,18462.889919322217
149,18451.603472236475
150,18441.726857429843
151,18424.355731636235
152,18423.831474517283
153,18421.175324908378
154,18416.869477245913
155,18399.138807087853
156,18354.075698486726
157,18341.425102573674
158,18337.367003235668
159,18337.109198088605
160,18334.753290610275
161,18324.205297627774
162,18318.266868631017
163,18312.649143782903
164,18312.23854804744
165,18308.46987605507
166,18302.044275185104
167,18296.54345745166
168,18293.224875931333
169,18266.384197770407
170,18264.167891336016
171,18262.51036748127
172,18253.17613442278
173,18253.153467845706
174,18251.8710630395
175,18247.15821862624
176,18246.391638093202
177,18246.076841320464
178,18239.242004376752
179,18234.200085386023
180,18231.646270557514
181,18216.8681501872
182,18206.074991405436
183,18203.19328084821
184,18188.610622372737
185,18185.766805519263
186,18176.51823233657
187,18174.112599211614
188,18170.706678055332
189,18166.83965775376
190,18165.6081167005
191,18157.733002221838
192,18137.58903761827
193,18130.904532019063
194,18121.450857209467
195,18120.034323931915
196,18113.501217942376
197,18100.992043813578
198,18092.982140501583
199,18087.865936026352
200,18079.064175378713
201,18078.285651637896
202,18073.06398019637
203,18060.646787550933
204,18058.987711213536
205,18058.756637926756
206,18058.411671699963
207,18034.87895661905
208,18028.755999516914
209,18025.43773414185
210,18015.98266549434
211,18005.746028287147
212,18000.063728178247
213,17999.71812028087
214,17992.966568247968
215,17976.852186227792
216,17973.46171606819
217,17968.908970185257
218,17965.965429544776
219,17957.198561507677
220,17954.326624237325
221,17951.398756670547
222,17925.284455085748
223,17921.32179244095
224,17918.664250098514
225,17918.09128585058
226,17906.042043557212
227,17896.44309350082
228,17877.45499506401
229,17868.007388815167
230,17862.47502859177
231,17859.849478367345
232,17851.33772607943
233,17848.112298402815
234,17845.84968173269
235,17841.60237643931
236,17829.24095093638
237,17815.53866265498
238,17812.018706502815
239,17807.663669743328
240,17807.261785327715
241,17793.631734663573
242,17790.844313548478
243,17786.40437034941
244,17763.96831548792
245,17753.380668875
246,17752.96975474717
247,17750.35877621353
248,17750.010065892304
249,17745.58472899228
250,17742.00548742995
251,17741.179834971997
252,17736.325092446037
253,17723.776940658056
254,17715.822708442014
255,17714.216269239147
256,17712.755274905638
257,17706.177244993218
258,17703.226077423067
259,17702.772402898194
260,17701.69256900379
261,17697.41783358997
262,17689.155661046992
263,17687.886030221747
264,17687.296002195588
265,17685.129758650426
266,17682.682757267845
267,17682.017001794273
268,17680.50726158879
269,17678.3561859225
270,17667.8346820414
271,17656.378269252047
272,17633.948952799183
273,17632.035919760965
274,17628.75931715641
275,17628.40721716525
276,17624.784652906183
277,17623.755041909593
278,17617.739927126993
279,17615.6272632022
280,17614.759660892647
281,17610.607606928555
282,17608.103252895355
283,17604.421650738877
284,17599.38551818912
285,17596.77354459456
286,17596.52790714835
287,17591.151608872045
288,17587.749500309426
289,17586.081657450348
290,17585.39528517024
291,17584.37033896216
292,17582.358556511062
293,17576.085218375294
294,17573.251674795672
295,17572.7958577442
296,17570.29662497394
297,17554.368572671454
298,17548.36066546123
299,17547.925845241094
300,17543.827287179254
301,17542.741562103693
302,17537.362551475366
303,17536.91170854618
