,0
2013-01-01,224976.12265697183
2013-01-02,249158.7293217429
2013-01-03,187561.0671021529
2013-01-04,84865.47925333434
2013-01-05,-22593.569676973708
2013-01-06,80417.40965553644
2013-01-07,-30917.57493119281
2013-01-08,18042.38060440628
2013-01-09,81359.39930883808
2013-01-10,173409.26362220614
2013-01-11,52714.30250818698
2013-01-12,78388.23114351559
2013-01-13,39993.99872343329
2013-01-14,38613.795334055976
2013-01-15,23439.281557741906
2013-01-16,53758.355230523
2013-01-17,50712.69626951281
2013-01-18,126613.92636418738
2013-01-19,280044.8991508793
2013-01-20,257481.6156849921
2013-01-21,313227.7423891715
2013-01-22,154769.5851755872
2013-01-23,16612.5453138621
2013-01-24,1663.8499360488895
2013-01-25,-21969.18811575287
2013-01-26,258294.02995648948
2013-01-27,243635.78442543652
2013-01-28,267280.72161350545
2013-01-29,225656.25677877082
2013-01-30,227390.71679298513
2013-01-31,194284.3192667344
2013-02-01,64707.55115720453
2013-02-02,127022.5832659104
2013-02-03,89746.73819578151
2013-02-04,182009.1266795182
2013-02-05,267538.98937129194
2013-02-06,156677.35273513416
2013-02-07,39860.11237876691
2013-02-08,35234.19906977846
2013-02-09,-15068.021341710908
2013-02-10,166970.52374187164
2013-02-11,276161.7463329697
2013-02-12,61633.245175579155
2013-02-13,-36710.12686115872
2013-02-14,141362.42529073547
2013-02-15,28348.35559631186
2013-02-16,-13591.62601635731
2013-02-17,-14392.418117281939
2013-02-18,30327.606054062948
2013-02-19,169091.98427872764
2013-02-20,144034.0291499162
2013-02-21,96331.90769375116
2013-02-22,176511.86629498936
2013-02-23,270367.26984870154
2013-02-24,247834.1794109109
2013-02-25,201238.205289918
2013-02-26,43837.33963290622
2013-02-27,-28235.96771500889
2013-02-28,99723.1112495627
2013-03-01,119600.66718512734
2013-03-02,148118.58050207156
2013-03-03,76791.55575400688
2013-03-04,143587.9273472859
2013-03-05,48366.719213400356
2013-03-06,-51529.31704266416
2013-03-07,256057.15040873474
2013-03-08,254154.77455397978
2013-03-09,243978.8372250463
2013-03-10,230736.66108524665
2013-03-11,180364.5746903372
2013-03-12,53112.52281476326
2013-03-13,-32225.497686709212
2013-03-14,-123065.54316778168
2013-03-15,-63784.24203707318
2013-03-16,263809.9662367388
2013-03-17,210325.007585869
2013-03-18,274247.85791744036
2013-03-19,181540.78103950754
2013-03-20,98860.24273397219
2013-03-21,38093.737579024455
2013-03-22,225193.01523205775
2013-03-23,249233.79563107563
2013-03-24,234066.8399332596
2013-03-25,301394.5066215908
2013-03-26,313463.1941733971
2013-03-27,231255.6150935309
2013-03-28,36529.45692423509
2013-03-29,93493.24054182865
2013-03-30,70525.68553379884
2013-03-31,75641.15908936357
2013-04-01,89144.20855523217
2013-04-02,214507.53549532653
2013-04-03,209832.79915908485
2013-04-04,215985.1243702558
2013-04-05,77736.62766132373
2013-04-06,37861.04013102087
2013-04-07,57451.645892459375
2013-04-08,59309.981369043504
2013-04-09,282420.00571287255
2013-04-10,156989.20257253555
2013-04-11,72593.3537591358
2013-04-12,171508.8148729929
2013-04-13,108439.26266269782
2013-04-14,206605.2400881404
2013-04-15,117498.9955681552
2013-04-16,56362.93230082498
2013-04-17,107568.61417615208
2013-04-18,263804.3708781607
2013-04-19,205604.5619551266
2013-04-20,138980.61192202376
2013-04-21,45134.003906501595
2013-04-22,-35640.54849047574
2013-04-23,164448.71107267396
2013-04-24,98634.53514621413
2013-04-25,59058.993435404605
2013-04-26,-86854.38301881553
2013-04-27,-12993.256393615322
2013-04-28,54836.625527117394
2013-04-29,229357.91664453188
2013-04-30,62955.71630334866
2013-05-01,-19775.74414021623
2013-05-02,-30650.691629770423
2013-05-03,-77594.04960300178
2013-05-04,31538.779730080598
