,f,max
0.0,14061.120386425533,
1.0,1440.4921239710256,
2.0,953.6331769023226,
3.0,451.31325671650893,
4.0,424.3643889668393,
5.0,987.2115664260708,
6.0,645.5660307529052,
7.0,637.1132694685715,
8.0,715.8407360877891,
9.0,646.478604760328,
10.0,762.8105839837161,
11.0,385.8216935141018,
12.0,1074.4959223825479,
13.0,688.2634620671477,
14.0,198.08627549699477,
15.0,544.3099656715118,
16.0,501.0899162388485,
17.0,417.98914304909084,
18.0,378.0889748259042,
19.0,268.19058079940424,
20.0,268.7070426694991,
21.0,439.284535419277,
22.0,301.3589266139429,
23.0,1142.8004163578935,
24.0,489.1757668655911,
25.0,118.16329576569844,
26.0,430.8928521375868,
27.0,835.2721421948419,
28.0,692.9277108003242,
29.0,152.7883001610177,
30.0,1152.9298252988524,
31.0,871.0445446168056,
32.0,724.113200750678,
33.0,591.3922164569587,
34.0,576.5182765157052,
35.0,299.03578055512867,
36.0,989.624807407276,
37.0,391.4174009420358,
38.0,333.63645428948087,
39.0,634.5728632172293,
40.0,678.1051537344864,
41.0,278.0508730751687,
42.0,237.81623211853946,
43.0,447.2782332329421,
44.0,1306.280860996957,
45.0,685.216901348879,
46.0,1012.1637167157513,
47.0,512.5583079334252,
48.0,588.9748846363203,
49.0,74.9243384074024,
50.0,832.9105619965094,
51.0,238.2353984755623,
52.0,1690.1041542740911,1690.1041542740911
53.0,622.116033818745,
54.0,661.5541854497226,
55.0,469.2579825787836,
56.0,765.7733737814715,
57.0,337.26293907352465,
58.0,87.50197232184115,
59.0,145.31020465844153,
60.0,403.130089819339,
61.0,673.4058965485743,
62.0,380.8229324095835,
63.0,163.5343473075617,
64.0,327.3936807902196,
65.0,257.6168469107913,
66.0,439.54658979788286,
67.0,415.7346112035193,
68.0,560.7784031233339,
69.0,317.01045743645045,
70.0,680.5588208315829,
71.0,188.22367399164634,
72.0,343.0843829345621,
73.0,305.0579570279502,
74.0,328.583008819138,
75.0,585.813370156598,
76.0,579.9049252863325,
77.0,36.9295070769057,
78.0,443.19982229268766,
79.0,339.1532314230672,
80.0,466.874598943008,
81.0,626.337984035938,
82.0,394.14767026479296,
83.0,547.9993271344025,
84.0,419.7638135743109,
85.0,194.1327012246355,
86.0,242.63773424870374,
87.0,283.0288292040501,
88.0,268.9349032345812,
89.0,237.60107835199577,
90.0,537.4436887737944,
91.0,27.483248732267857,
92.0,329.7423709855619,
93.0,76.72103445834883,
94.0,236.90788987069473,
95.0,493.53813018550676,
96.0,420.9315329574612,
97.0,461.47958335612196,
98.0,169.96253857687915,
99.0,285.3736377295664,
100.0,265.11949492259697,
101.0,648.5757478222097,
102.0,342.8340326877904,
103.0,336.8036139163092,
104.0,944.5075271651267,944.5075271651267
105.0,431.36575443046223,
106.0,239.65718756455888,
107.0,447.34441844939477,
108.0,278.5895057547157,
109.0,223.86529571298618,
110.0,194.31281214910845,
111.0,252.06975713340893,
112.0,343.94158391577156,
113.0,184.06335004884613,
114.0,267.566296119074,
115.0,200.17843434745785,
116.0,226.04852582381278,
117.0,256.4376191149788,
118.0,266.51805469465205,
119.0,287.41471049344295,
120.0,349.0762401272487,
121.0,496.2027284494618,
122.0,369.73731558252916,
123.0,278.27411179504725,
124.0,447.6824490958196,
125.0,178.77551275180943,
126.0,393.85461143978085,
127.0,328.6087339871916,
128.0,226.15404978116754,
129.0,538.6405042662857,
130.0,483.0792045194459,
131.0,147.08307080287054,
132.0,248.41232165337618,
133.0,59.00938038561386,
134.0,723.7512363477052,723.7512363477052
135.0,436.3545633433392,
136.0,402.71417117530314,
137.0,248.021430328125,
138.0,125.17442898111544,
139.0,186.91222966781635,
140.0,408.34471626374807,
141.0,177.8167798441274,
142.0,238.90983578821024,
143.0,265.8119649019686,
144.0,23.393331728126867,
145.0,463.1248446860165,
146.0,153.324554211054,
147.0,207.83060546244158,
148.0,354.5003176237238,
149.0,263.78260286429656,
150.0,121.67689632705344,
151.0,120.11306310288832,
152.0,250.94620365356843,
153.0,136.056846845287,
154.0,211.82172696014308,
155.0,202.47774729424856,
156.0,526.2073294033382,
157.0,170.96921483838995,
158.0,291.14778152532756,
159.0,238.1057113349825,
160.0,52.28617399318218,
161.0,193.7456770806458,
162.0,184.26112460249075,
163.0,404.91789059589246,
164.0,476.1515645953749,
165.0,269.307654379672,
166.0,96.09061924327942,
167.0,62.53339531202731,
168.0,309.4675468607022,
169.0,154.91282932697317,
170.0,131.1614800857467,
171.0,334.7814404343348,
172.0,292.7117270400454,
173.0,262.43200687289817,
174.0,172.32788969687792,
175.0,325.86344166634393,
176.0,297.80716132256924,
177.0,412.570013807406,
178.0,354.5878383660084,
179.0,179.65310761566508,
180.0,84.48291116437862,
181.0,532.9930306461297,532.9930306461297
182.0,213.88200202293186,
183.0,194.86547354727546,
184.0,388.4325974986406,
185.0,415.13973502004774,
186.0,141.89931817561038,
187.0,160.65736713937386,
188.0,159.6453054634335,
189.0,263.2527128022497,
190.0,85.51897473456205,
191.0,275.7284514626885,
192.0,188.2656309590467,
193.0,386.83702504036575,
194.0,264.7803943222166,
195.0,313.07988130024074,
196.0,105.00090193900668,
197.0,266.10855088936125,
198.0,102.14726010566827,
199.0,183.46860869964655,
200.0,228.70955531509645,
201.0,117.37076554515652,
202.0,233.09843714890536,
203.0,261.2296353198091,
204.0,184.61005564053008,
205.0,372.4857432304197,
206.0,120.46156718046377,
207.0,274.343226625958,
208.0,278.40376554608054,
209.0,81.83695179591892,
210.0,369.851813691994,
211.0,134.43131616095275,
212.0,225.99268146884575,
213.0,28.79515547349699,
214.0,26.60092839420295,
215.0,364.78719246720107,
216.0,117.13696850748956,
217.0,187.9992716109967,
218.0,449.4391840953936,
219.0,82.27116435292834,
220.0,251.96534115282725,
221.0,150.01456941348465,
222.0,319.08240889290187,
223.0,227.54771008192,
224.0,262.0163834030313,
225.0,54.26832493939664,
226.0,218.56257677923026,
227.0,84.96232383704039,
228.0,113.1575214759867,
229.0,128.99495337293078,
230.0,385.9063464153494,
231.0,144.66349066052658,
232.0,321.48659085444706,
233.0,238.0726718304675,
234.0,110.42532871058646,
235.0,247.10729666964195,
236.0,149.92198203342443,
237.0,209.05581435456878,
238.0,244.85029583715303,
239.0,193.85843802940448,
240.0,183.5947221761283,
241.0,202.02888027875866,
242.0,96.65304292139136,
243.0,196.1458974104206,
244.0,190.66561375419786,
245.0,216.22702505453987,
246.0,267.91652962263043,
247.0,239.2078986287932,
248.0,272.7468005584036,
249.0,70.40452368470936,
250.0,118.25286546158395,
251.0,176.87498365177044,
252.0,73.33210713470147,
253.0,312.52853745527034,
254.0,239.32328232211785,
255.0,140.55956997188434,
256.0,231.2323890617471,
257.0,465.4223768861822,465.4223768861822
258.0,72.40344255294258,
259.0,169.81546887862416,
260.0,160.5233609946295,
261.0,322.65630033065764,
262.0,182.1742189261754,
263.0,297.8526812247768,
264.0,280.0818422106656,
265.0,150.64079061796042,
266.0,218.84287302446867,
267.0,228.4807126595618,
268.0,126.88747259223913,
269.0,255.39320067215462,
270.0,235.60317354387138,
271.0,72.16921402854024,
272.0,147.26681733025572,
273.0,118.43137164011729,
274.0,37.88879140222552,
275.0,98.7119518949356,
276.0,162.80191180817675,
277.0,191.69461568689462,
278.0,137.9808813503699,
279.0,176.16346719535272,
280.0,255.3249005424546,
281.0,124.25796717196526,
282.0,62.86928313184393,
283.0,210.40351819686413,
284.0,130.5162759065468,
285.0,206.39109678595034,
286.0,58.46824505794195,
287.0,197.96015267082728,
288.0,320.8857543638495,
289.0,127.62001774684678,
290.0,314.30480062881725,
291.0,305.55744295504377,
292.0,329.74054589371553,
293.0,206.94086732705244,
294.0,145.69497078846956,
295.0,104.38138390142787,
296.0,109.36726762255248,
297.0,257.9435973705638,
298.0,260.6256733625659,
299.0,133.2617185686703,
300.0,202.7991978384896,
301.0,264.0244348441387,
302.0,105.16894109177073,
303.0,87.91026102470109,
304.0,155.89091275066204,
305.0,133.46930253131518,
306.0,90.3268453061306,
307.0,206.9278223367878,
308.0,213.91763157123094,
309.0,175.91270367128305,
310.0,106.09030626338078,
311.0,161.28750852109158,
312.0,61.39736227092864,
313.0,211.3388256992235,
314.0,258.80124024665383,
315.0,68.15796212381159,
316.0,203.4673699641627,
317.0,223.48588364005414,
318.0,108.39032847687633,
319.0,163.72169248488328,
320.0,82.23165694798718,
321.0,135.6164521113063,
322.0,60.21450117547393,
323.0,140.46300495216096,
324.0,221.06585534379965,
325.0,81.71317874585402,
326.0,68.96136989789682,
327.0,148.31270354198753,
328.0,116.74057147088982,
329.0,297.30486088669267,
330.0,217.40741890421702,
331.0,377.07968668391936,377.07968668391936
332.0,92.00371625872579,
333.0,368.47599546217026,368.47599546217026
334.0,278.12983510739315,278.12983510739315
335.0,14.206738551028652,
336.0,111.41589855201586,
337.0,71.29297328679606,
338.0,137.77354841964086,
339.0,178.64041680932215,
340.0,75.80416712742112,
341.0,110.30059270158455,
342.0,105.86015562915641,
343.0,259.36220552620085,
344.0,224.03340630540427,
345.0,151.18314785611273,
346.0,102.23680931667216,
347.0,103.80786790569813,
348.0,180.97661318829006,
349.0,136.80279196913773,
350.0,154.7049178683383,
351.0,223.050563485755,
352.0,172.26280210489955,
353.0,175.5323362742477,
354.0,328.5171314514781,328.5171314514781
355.0,256.3016091287762,256.3016091287762
356.0,232.53141697547068,232.53141697547068
357.0,104.32371564846456,
358.0,12.567868542931087,
359.0,134.94929498467044,
360.0,212.42150231056831,
361.0,140.15265393145452,
362.0,446.51476340794164,
363.0,320.0941230823853,
364.0,1397.5055325875567,
365.0,1976.2647868604015,1976.2647868604015
366.0,1305.5114343976225,
367.0,137.3170922005165,
368.0,404.8486548247102,
369.0,127.68520843932512,
370.0,207.27278204034073,
371.0,189.6037160080244,
372.0,169.98501371376656,
373.0,121.14147788246933,
374.0,253.9632227589464,
375.0,205.40819330466695,
376.0,212.21687517700948,
377.0,315.29248658251913,
378.0,158.14942806097739,
379.0,266.46003263616075,
380.0,32.55764590871723,
381.0,45.47353268424944,
382.0,225.30893209611048,
383.0,195.4567256881922,
384.0,46.59142516296878,
385.0,155.43343933551733,
386.0,349.85364191195237,
387.0,144.4258728816122,
388.0,150.35816452044256,
389.0,176.4751078904969,
390.0,2.595766504216491,
391.0,163.0542084311534,
392.0,217.23442097958662,
393.0,77.68819932442736,
394.0,136.5731765404207,
395.0,120.45786248868268,
396.0,72.19118399085843,
397.0,144.9266223984561,
398.0,187.28087111342225,
399.0,122.27472732786781,
400.0,91.4213311536234,
401.0,343.68504321556054,
402.0,216.05167107214282,
403.0,250.03040751015823,
404.0,180.23975949368113,
