,AT0 0
0,15418.010561748826
1,15394.23028779222
2,15364.854655257583
3,15356.46161739054
4,15355.062777746041
5,15318.69294698888
6,15304.704550543811
7,15247.352125119052
8,15236.161407963005
9,15223.571851162445
10,15188.600860049784
11,15184.404341116267
12,15180.207822182752
13,15177.410142893732
14,15160.624067159662
15,15156.491116023497
16,15155.02870858163
17,15143.837991425578
18,15142.439151781078
19,15110.265839957428
20,15106.069321023913
21,15101.872802090395
22,15088.023816405404
23,15085.086726356316
24,15072.497169555762
25,15072.497169555762
26,15064.104131688726
27,15057.109933466194
28,15038.963167547565
29,15008.150545908473
30,14982.971432307355
31,14978.774913373836
32,14976.264189966014
33,14966.18535657328
34,14954.994639417228
35,14952.196960128216
36,14945.491776114966
37,14924.22016723809
38,14917.225969015557
39,14915.827129371055
40,14892.046855414446
41,14873.861940035858
42,14861.272383235304
43,14859.873543590798
44,14854.278185012772
45,14852.879345368265
46,14848.682826434748
47,14848.682826434748
48,14844.486307501229
49,14826.301392122645
50,14820.70603354462
51,14806.717637099558
52,14805.356625155466
53,14796.925759588014
54,14796.925759588014
55,14795.526919943508
56,14787.91438281525
57,14770.347806342394
58,14766.151287408877
59,14754.960570252824
60,14746.567532385787
61,14743.769853096772
62,14733.977975585223
63,14731.180296296217
64,14725.58493771819
65,14722.78725842917
66,14714.39422056214
67,14704.602343050592
68,14699.006984472571
69,14696.209305183553
70,14692.012786250036
71,14687.816267316519
72,14682.220908738493
73,14676.625550160468
74,14673.827870871457
75,14664.03599335991
76,14661.238314070899
77,14652.84527620386
78,14648.64875727034
79,14643.053398692316
80,14640.255719403303
81,14637.458040114294
82,14634.660360825279
83,14624.868483313734
84,14623.46964366923
85,14605.284728290646
86,14601.948370322883
87,14596.891690423607
88,14595.492850779096
89,14594.094011134595
90,14566.117218244466
91,14557.72418037743
92,14554.926501088417
93,14545.13462357687
94,14528.192862978218
95,14522.561829283635
96,14521.354349620264
97,14510.163632464213
98,14510.163632464213
99,14506.464702830079
100,14503.169434241683
101,14497.574075663657
102,14489.18103779662
103,14475.192641351558
104,14472.394962062544
105,14470.840953004217
106,14465.400763840014
107,14465.400763840014
108,14462.603084551
109,14445.603060150292
110,14443.019329527908
111,14440.221650238898
112,14422.036734860312
113,14422.036734860312
114,14405.250659126239
115,14402.452979837224
116,14401.054140192718
117,14382.869224814136
118,14375.540561386922
119,14363.28546979105
120,14363.28546979105
121,14363.28546979105
122,14361.886630146544
123,14361.886630146544
124,14357.36062151204
125,14349.983297692888
126,14328.314478678389
127,14318.027250245123
128,14279.35509112067
129,14274.368631506224
130,14272.360892898134
131,14238.788741429988
132,14210.811948539857
133,14209.219795418698
134,14206.97806363343
135,14195.56353022134
136,14184.23399529424
137,14178.543537899579
138,14173.043278138188
139,14157.745376144636
140,14154.858362759607
141,14153.459523115098
142,14153.011232752953
143,14143.667645603553
144,14134.206681522774
145,14133.87576809201
146,14119.887371646946
147,14107.297814846388
148,14094.708258045832
149,14089.112899467806
150,14067.109716778898
151,14042.09033133406
152,14033.254379397267
153,14030.361634398545
154,14028.962794754036
155,14021.898907040337
156,13999.587162219399
157,13994.417713643063
158,13985.59876577434
159,13983.85278394698
160,13981.402246840818
161,13971.610369329277
162,13970.017771369321
163,13952.26386760778
164,13949.228935017172
165,13947.88960623238
166,13942.234736794642
167,13932.442859283095
168,13925.135544609639
169,13906.59619620053
170,13905.864906037477
171,13905.864906037477
172,13892.731200058004
173,13890.477669947908
174,13890.477669947908
175,13884.882311369884
176,13878.857555641986
177,13875.090433858342
178,13862.500877057782
179,13856.905518479756
180,13847.113640968211
181,13840.11944274568
182,13838.720603101174
183,13838.720603101174
184,13814.940329144563
185,13813.236216036505
186,13811.75729216386
187,13808.887229039052
188,13796.755413765984
189,13781.368177676413
190,13770.177460520365
191,13767.96856325899
192,13759.646883919826
193,13742.200667630235
194,13740.801827985732
195,13736.605309052211
196,13735.206469407705
197,13722.616912607144
198,13718.420393673627
199,13701.144099290781
200,13679.252883627454
201,13672.258685404919
202,13669.832786343031
203,13654.118212083768
204,13652.674930381829
205,13649.11296594979
206,13647.079571803806
207,13644.28189251479
208,13637.287694292261
209,13635.888854647757
210,13630.293496069728
211,13625.443326757846
212,13624.698137491705
213,13619.102778913675
214,13619.102778913675
215,13613.507420335653
216,13612.108580691147
217,13608.557312926112
218,13607.912061757628
219,13606.007454334931
220,13595.322504957068
221,13584.131787801021
222,13581.334108512005
223,13579.615640662949
224,13576.089419941443
225,13574.339910289476
226,13565.946872422435
227,13558.952674199905
228,13550.559636332868
229,13549.160796688362
230,13549.160796688362
231,13540.767758821326
232,13537.970079532313
