,Anfang,Ende,RES,EE,Wechsel_EE-RES,Delta_t,Delta_E,LV_kurz,LV_lang,P_kurz,P_lang,Anteil_kurz,Anteil_lang
0,0,97,755480.3999075745,0,0,97,755480.3999075745,0.0,755480.3999075745,0.0,7788.457731005923,0.0,1.0
1,97,111,29547.426612684845,-748.3544355440754,100,14,28799.07217714077,748.3544355440754,30295.78104822892,53.45388825314824,2163.98436058778,0.024106145134408587,0.9758938548655914
2,111,137,135222.83390681157,-52346.89560447589,122,26,82875.93830233568,52346.89560447589,187569.72951128747,2013.3421386336881,7214.220365818749,0.21818786246771238,0.7818121375322876
3,137,159,9542.060349146977,-89973.3716215193,153,22,-80431.31127237232,9542.060349146977,-99515.43197066628,433.7300158703172,-4523.428725939376,0.08749568824821953,0.9125043117517805
4,159,167,837.4328653441316,-5074.602085330613,164,8,-4237.169219986481,837.4328653441316,-5912.034950674744,104.67910816801646,-739.004368834343,0.12407391044322147,0.8759260895567785
5,167,184,38447.27203366769,-516.4909743254011,171,17,37930.781059342284,516.4909743254011,38963.76300799309,30.381822019141243,2291.986059293711,0.013082260680407862,0.9869177393195921
6,184,235,268854.9247215365,-30216.669374547346,198,51,238638.25534698917,30216.669374547346,299071.5940960839,592.4837132264186,5864.148903844783,0.09176357837983597,0.9082364216201642
7,235,248,25463.627166924525,-3858.257810628702,241,13,21605.36935629582,3858.257810628702,29321.88497755323,296.789062356054,2255.529613657941,0.1162821340239359,0.883717865976064
8,248,253,24678.894549272427,-64.21974566754943,249,5,24614.674803604878,64.21974566754943,24743.114294939976,12.843949133509886,4948.622858987996,0.0025887403121362053,0.9974112596878638
9,253,260,3377.9300686591214,-1518.0030639093948,255,7,1859.9270047497266,1518.0030639093948,4895.933132568516,216.85758055848495,699.4190189383595,0.23667261684688676,0.7633273831531132
10,260,266,1003.4516452722164,-187.23529883501578,261,6,816.2163464372006,187.23529883501578,1190.6869441072322,31.2058831391693,198.44782401787202,0.1358823400914236,0.8641176599085764
11,266,313,118387.39983326013,-45.3127798405676,267,47,118342.08705341957,45.3127798405676,118432.7126131007,0.9641016987354809,2519.8449492149084,0.00038245725053472464,0.9996175427494653
12,313,328,37162.29639904212,-126.52496684223661,315,15,37035.77143219988,126.52496684223661,37288.82136588436,8.434997789482441,2485.9214243922906,0.003381632919205863,0.9966183670807942
13,328,349,32417.499601311272,-6012.361031709232,333,21,26405.13856960204,6012.361031709232,38429.86063302051,286.30290627186815,1829.9933634771671,0.1352848891548724,0.8647151108451276
14,349,406,115058.08238912426,-8772.960106440476,356,57,106285.12228268379,8772.960106440476,123831.04249556473,153.9115808147452,2172.4744297467496,0.06615908972801861,0.9338409102719815
15,406,423,85118.81784008021,-3201.9038926520498,409,17,81916.91394742817,3201.9038926520498,88320.72173273226,188.34728780306176,5195.336572513662,0.03498483430488454,0.9650151656951155
16,423,526,1055608.2010681652,-7235.57233940072,427,103,1048372.6287287645,7235.57233940072,1062843.773407566,70.24827513981282,10318.871586481222,0.006761715725248341,0.9932382842747517
17,526,539,13807.321933652764,-3852.58852233791,532,13,9954.733411314854,3852.58852233791,17659.910455990674,296.35296325676234,1358.454650460821,0.17908605254177853,0.8209139474582214
18,539,544,4369.627118893741,-290.9912070673272,540,5,4078.6359118264136,290.9912070673272,4660.618325961068,58.19824141346544,932.1236651922136,0.058766993868629526,0.9412330061313705
19,544,552,2534.956322487931,-1229.349188573342,547,8,1305.6071339145892,1229.349188573342,3764.305511061273,153.66864857166775,470.53818888265914,0.24618225778872802,0.753817742211272
20,552,567,24453.449901953692,-751.77474017446,556,15,23701.675161779232,751.77474017446,25205.224642128152,50.11831601163067,1680.3483094752103,0.02896231298163906,0.9710376870183609
