,f,max
0.0,51.520802193299474,
1.0,2.83896593060898,
2.0,0.43445219463374607,
3.0,0.5265355549450262,
4.0,0.3928183942520185,
5.0,0.3039729193404167,
6.0,0.9529406512319024,
7.0,0.8721009989292083,
8.0,0.6007774027427452,
9.0,0.6110283840747008,
10.0,0.27075426074566716,
11.0,0.32373434869692985,
12.0,0.8594631355941857,
13.0,0.632071539684024,
14.0,0.5294096547697051,
15.0,0.28222852286841393,
16.0,0.2661570393916538,
17.0,0.09306700734574089,
18.0,0.31011803076836064,
19.0,0.401788128869725,
20.0,0.20520814510438612,
21.0,0.7144874728816404,
22.0,0.31743674056774945,
23.0,0.28888154293983015,
24.0,0.2620110678348915,
25.0,0.4618789494023032,
26.0,0.6563420211116251,
27.0,0.4283046686932975,
28.0,0.3442335833489583,
29.0,0.23858084978352592,
30.0,0.24503500825573754,
31.0,0.1263823602835341,
32.0,0.39715897240043857,
33.0,0.44531909506781564,
34.0,0.05877042543714602,
35.0,0.29244682731457605,
36.0,0.2772829627678211,
37.0,0.6355793329280284,
38.0,0.45321296146814255,
39.0,0.039273713855515244,
40.0,0.2661737116357881,
41.0,0.5507363197365374,
42.0,0.6043466900868235,
43.0,0.2930156328060371,
44.0,0.10540631990976927,
45.0,0.2843391542034648,
46.0,0.24003838170543718,
47.0,0.5049896008980542,
48.0,0.33292432243521114,
49.0,0.48314740673523376,
50.0,0.6350257305047428,
51.0,0.4198439814424308,
52.0,0.7231417652237335,
53.0,0.5608442074370176,
54.0,0.5988648485388225,
55.0,0.449359264396871,
56.0,0.2508352177252101,
57.0,0.49477166730311156,
58.0,0.020545168474597905,
59.0,0.5969697922443771,
60.0,0.6314149463446618,
61.0,0.2511927444835708,
62.0,0.42262052087080015,
63.0,0.3232057224669129,
64.0,0.4599548644038067,
65.0,0.5671244448857948,
66.0,0.22065820697512048,
67.0,0.6178913202085087,
68.0,0.548936833224585,
69.0,0.2966331434635273,
70.0,0.21656538014023488,
71.0,0.5937816540156449,
72.0,0.2983660708443209,
73.0,0.5144931205021569,
74.0,0.33312624993879514,
75.0,0.5016231687934812,
76.0,0.18998383795609655,
77.0,0.20999957060051822,
78.0,0.27889908718391015,
79.0,0.18087646286527087,
80.0,0.4538394712965892,
81.0,0.1714129608323848,
82.0,0.25993065283983807,
83.0,0.37054382051454066,
84.0,0.21321847844131436,
85.0,0.08690197362811934,
86.0,0.24945861968748775,
87.0,0.2780155972811586,
88.0,0.08356396958347226,
89.0,0.20521464200611458,
90.0,0.18564549169020897,
91.0,0.1950623673987746,
92.0,0.2792392115630311,
93.0,0.24988445267531845,
94.0,0.07356172564742926,
95.0,0.2791319725322541,
96.0,0.31024681000048193,
97.0,0.25461396982365875,
98.0,0.5109215011507229,
99.0,0.092888654834152,
100.0,0.22906845226750092,
101.0,0.1874437246655319,
102.0,0.30398387694933854,
103.0,0.10846082241317581,
104.0,0.8010380263364982,
105.0,0.5035527826301709,
106.0,0.1922458863545033,
107.0,0.26435126790001795,
108.0,0.218521780131693,
109.0,0.34707682770908294,
110.0,0.4603399521378116,
111.0,0.44549991757218577,
112.0,0.1704854741056062,
113.0,0.13770211087491754,
114.0,0.29427560644416056,
115.0,0.3600205031707034,
116.0,0.22716751115006106,
117.0,0.17101097281257288,
118.0,0.354671811183815,
119.0,0.5710417052896631,
120.0,0.18950872226602905,
121.0,0.48454420280584753,
122.0,0.23905014307890002,
123.0,0.39224094428143336,
124.0,0.056680967260327765,
125.0,0.38275931454877865,
126.0,0.01317160780400087,
127.0,0.18725033736819494,
128.0,0.30008349375796267,
129.0,0.1677810157823369,
130.0,0.034192906360830104,
131.0,0.3333762826466449,
132.0,0.19379647505514022,
133.0,0.27144706220174153,
134.0,0.407008950779228,
135.0,0.15816758342269083,
136.0,0.3421429851354357,
137.0,0.09662703612858957,
138.0,0.17957378560498582,
139.0,0.09945623307498926,
140.0,0.13819689374170543,
141.0,0.1358427901540623,
142.0,0.23247950045826074,
143.0,0.05138968867471367,
144.0,0.40548021009256296,
145.0,0.07775588882181284,
146.0,0.12416802025908928,
147.0,0.16206276263228478,
148.0,0.09152805327794752,
149.0,0.2735714351899198,
150.0,0.12465858710405286,
151.0,0.20685775661671885,
152.0,0.22020304276738772,
153.0,0.2699279576125788,
154.0,0.19698131802157148,
155.0,0.11831877972030184,
156.0,0.09653143231352598,
157.0,0.18814127798888355,
158.0,0.43081961032462207,
159.0,0.26790036680800067,
160.0,0.2898208232443183,
161.0,0.06693179475589235,
162.0,0.33088241188785544,
163.0,0.2488443813272492,
164.0,0.03268311379305914,
165.0,0.3439569651431244,
166.0,0.13456439158118183,
167.0,0.2725967520963566,
168.0,0.20766605188234336,
169.0,0.15996719292481115,
170.0,0.3196352044256701,
171.0,0.2961443619464527,
172.0,0.0655210459325216,
173.0,0.26467206320618064,
174.0,0.06289761620678,
175.0,0.15223504589254608,
176.0,0.13158179823095456,
177.0,0.38223772567773434,
178.0,0.06223013880346179,
179.0,0.14904089104369533,
180.0,0.4039201610100818,
181.0,0.38873532200178545,
182.0,0.2935267072160128,
183.0,0.06358010230472909,
184.0,0.11432318788846758,
185.0,0.1626489500360607,
186.0,0.12953333661619743,
187.0,0.18883576106818487,
188.0,0.04304955390902065,
189.0,0.10907993607762902,
190.0,0.31157642855975637,
191.0,0.27279065932318564,
192.0,0.25354663883523354,
193.0,0.17772063128613794,
194.0,0.09471777171483593,
195.0,0.3499914825854566,
196.0,0.13389650030875525,
197.0,0.014627455554907716,
198.0,0.0681360102615544,
199.0,0.06072645312358981,
200.0,0.254530851070771,
201.0,0.14420509704281897,
202.0,0.1566647406437382,
203.0,0.22833380545644547,
204.0,0.13925456363911642,
205.0,0.20445585461035892,
206.0,0.19679073697230576,
207.0,0.10265721521660488,
208.0,0.12758220508642543,
209.0,0.22375399293433829,
210.0,0.13313759823488056,
211.0,0.14193207095828206,
212.0,0.2624104142682753,
213.0,0.10458452835450253,
214.0,0.4415603600103039,
215.0,0.31026846007334163,
216.0,0.22256424721063126,
217.0,0.24668654440137194,
218.0,0.21732341800339117,
219.0,0.06053413481938247,
220.0,0.11172157087776491,
221.0,0.17834774592755614,
222.0,0.19662541458938926,
223.0,0.18272813704031082,
224.0,0.33317702391534826,
225.0,0.25473381187788097,
226.0,0.11934056527730987,
227.0,0.2588075589727181,
228.0,0.3552593501775883,
229.0,0.22395001952127438,
230.0,0.32999494131672996,
231.0,0.2601084950990625,
232.0,0.13244853035212875,
233.0,0.042071395769118426,
234.0,0.09273859179685626,
235.0,0.18272426460558197,
236.0,0.21650228213080713,
237.0,0.2520491212244993,
238.0,0.13778678959597496,
239.0,0.19943490206027562,
240.0,0.2485917730818176,
241.0,0.3450569527458314,
242.0,0.2526814289851667,
243.0,0.26489783314248494,
244.0,0.16454606557726892,
245.0,0.26540816084459184,
246.0,0.28118051078607553,
247.0,0.4037441445290775,
248.0,0.17365693841243857,
249.0,0.40590857695592886,
250.0,0.23423860555104115,
251.0,0.25250688388037124,
252.0,0.10222105754519271,
253.0,0.28374775136089314,
254.0,0.33671067647672687,
255.0,0.1327324740243527,
256.0,0.37885986296985236,
257.0,0.28334451188973026,
258.0,0.11283024607192099,
259.0,0.3334255779409558,
260.0,0.3653965740281119,
261.0,0.6852180483942554,
262.0,0.15379896803998397,
