,f,max
0.0,118336.40479034967,
1.0,5889.7830340395785,
2.0,11962.592312525421,
3.0,3620.8653961601945,
4.0,5210.0057000283105,
5.0,9910.208292330834,
6.0,9702.191737830253,
7.0,8302.055647694042,
8.0,13464.76129339503,
9.0,8038.016608962612,
10.0,8388.935707677365,
11.0,9211.876164518173,
12.0,10334.761555943916,
13.0,9993.994676685204,
14.0,5232.606389512012,
15.0,4350.366245276376,
16.0,4129.342560540037,
17.0,1283.1827053670925,
18.0,2895.908836536708,
19.0,1442.0138849121079,
20.0,1038.4699846589028,
21.0,4944.545217008199,
22.0,2411.770088786018,
23.0,8115.10028792965,
24.0,3463.248887558636,
25.0,2127.6880224290517,
26.0,2512.442370907451,
27.0,6896.09218298763,
28.0,5972.452056317512,
29.0,1038.7926887051472,
30.0,8417.897284483317,
31.0,4375.75273469278,
32.0,4281.774598270356,
33.0,5595.828808809886,
34.0,1634.0679513667028,
35.0,1828.3436612425191,
36.0,4648.284938133473,
37.0,1263.335447455236,
38.0,1613.535822813757,
39.0,6112.401676502285,
40.0,6249.389887107892,
41.0,2730.1445546792775,
42.0,2122.7463748916985,
43.0,3579.2342896283963,
44.0,10011.37099858442,
45.0,4787.224545116408,
46.0,6796.65335266995,
47.0,5183.6193214551095,
48.0,4703.586112183382,
49.0,2275.3526508660348,
50.0,7754.56082312218,
51.0,4491.511253982207,
52.0,17575.277581733197,
53.0,2689.0022304063286,
54.0,4895.6881295517005,
55.0,3245.3074595728717,
56.0,7100.13407034378,
57.0,1186.800032968523,
58.0,2397.7626598106517,
59.0,2328.0205763650815,
60.0,1885.7416409335449,
61.0,3727.2124525008703,
62.0,1851.0782602810086,
63.0,923.6825533078928,
64.0,1862.3256847014309,
65.0,2794.739435967869,
66.0,1064.3810964054387,
67.0,2262.4737522804367,
68.0,2463.642723891668,
69.0,1798.0246335247782,
70.0,4659.291243846841,
71.0,2865.3655818846414,
72.0,1714.794525476718,
73.0,3277.799584101395,
74.0,1466.118709960198,
75.0,3467.0057117274428,
76.0,5729.3487222952435,
77.0,2214.3888292305164,
78.0,1891.6424220420806,
79.0,1689.6734374747305,
80.0,3614.4026758386776,
81.0,4107.49331715176,
82.0,3357.5559970837667,
83.0,1630.9552674077493,
84.0,1936.4333324972101,
85.0,1352.0507274378117,
86.0,1003.4774170552998,
87.0,1827.7113262752343,
88.0,4137.262128354465,
89.0,1790.1732514869711,
90.0,3992.3258722272262,
91.0,474.01984600883065,
92.0,2942.9628486559086,
93.0,752.4909654344525,
94.0,695.9862554039097,
95.0,3056.953854510093,
96.0,2098.5640276838385,
97.0,2771.6511590099076,
98.0,2941.9851009477015,
99.0,1779.6746254265954,
100.0,1069.3213711450353,
101.0,2719.260104915412,
102.0,2883.6477159963997,
103.0,3086.0090780246437,
104.0,7256.82483162061,
105.0,2768.9985965495935,
106.0,3195.0276911596375,
107.0,2766.058684831405,
108.0,1814.3646617117302,
109.0,1163.3262833931547,
110.0,726.6856338916126,
111.0,1035.6261486833323,
112.0,1768.9026112620998,
113.0,1864.031362876073,
114.0,3289.645421970608,
115.0,1267.70014176096,
116.0,2420.078783643671,
117.0,635.4065401677382,
118.0,1046.404525541746,
119.0,2760.194645618882,
