,f,max
0.0,96149.48040829602,
1.0,4936.844270802201,
2.0,11795.895801654744,
3.0,3333.3278674591766,
4.0,5196.824118889042,
5.0,9691.306614647676,
6.0,9482.661010199898,
7.0,8313.116476729761,
8.0,13353.735586918276,
9.0,7919.010471257185,
10.0,8230.931342177118,
11.0,9068.225244521867,
12.0,10241.267410948714,
13.0,9925.693706397655,
14.0,5208.65744844516,
15.0,4370.110424362428,
16.0,4148.407733777003,
17.0,1236.71478485069,
18.0,2956.030704382522,
19.0,1468.1423166782647,
20.0,924.7747027889951,
21.0,4911.202874407807,
22.0,2401.693700337118,
23.0,8093.558127732129,
24.0,3443.8878342589446,
25.0,2064.180465646768,
26.0,2501.6365667798314,
27.0,6966.3830416896935,
28.0,6034.74861863989,
29.0,1015.7924573257354,
30.0,8297.667320742006,
31.0,4383.571882122544,
32.0,4308.68617932573,
33.0,5648.439368875848,
34.0,1662.7276267632599,
35.0,1736.2562877588505,
36.0,4627.137175645991,
37.0,1371.5578927511986,
38.0,1605.83016175624,
39.0,6101.412412520054,
40.0,6215.0832195601815,
41.0,2736.0373060888446,
42.0,2043.5473736781128,
43.0,3585.8332521052766,
44.0,10027.123346645776,
45.0,4755.77073589339,
46.0,6799.63448309082,
47.0,5240.63979809357,
48.0,4634.1682041379845,
49.0,2340.391746162669,
50.0,7750.204418692491,
51.0,4342.881657777417,
52.0,16521.551716440496,
53.0,2441.858850911491,
54.0,4752.256400210429,
55.0,3132.211094994319,
56.0,7134.855898684396,
57.0,1196.2120370051323,
58.0,2403.5602387754884,
59.0,2351.506099850046,
60.0,1925.215374442869,
61.0,3787.648433159446,
62.0,1875.7051073196824,
63.0,959.5335485990116,
64.0,1861.528772604807,
65.0,2784.8828992188733,
66.0,1149.4039930940896,
67.0,2204.3875525092785,
68.0,2463.0717497372293,
69.0,1807.4767108804713,
70.0,4630.656418653432,
71.0,2874.0122046805773,
72.0,1703.7280577337337,
73.0,3236.1911858858025,
74.0,1419.9918891122704,
75.0,3483.815900399704,
76.0,5772.907819499259,
77.0,2197.8657304468707,
78.0,1887.6113964798449,
79.0,1710.5606201584092,
80.0,3597.140547288342,
81.0,4102.087674315006,
82.0,3349.443219078428,
83.0,1617.23080596872,
84.0,1941.6259934926818,
85.0,1308.0346687256988,
86.0,954.1401106497387,
87.0,1842.850250940583,
88.0,4106.4715230209,
89.0,1722.746572191976,
90.0,3993.0405174509738,
91.0,476.05067682519467,
92.0,2959.846087555601,
93.0,761.4471723039168,
94.0,653.3573212814932,
95.0,3110.412009649169,
96.0,2116.4531831105205,
97.0,2748.34367276527,
98.0,2974.600002064506,
99.0,1777.3662780433085,
100.0,1124.4304112403206,
101.0,2672.2259727823057,
102.0,2871.417048826584,
103.0,3139.380506973372,
104.0,6669.443955549652,
105.0,2492.455719819087,
106.0,3183.3308144665516,
107.0,2704.8800931551277,
108.0,1868.9706295654933,
109.0,1161.47611787253,
110.0,709.0085497675442,
111.0,1020.5958731593469,
112.0,1734.1553811224946,
113.0,1872.4929809803252,
114.0,3290.5307104824374,
115.0,1251.7084124226474,
116.0,2377.68907208702,
117.0,655.5755884496052,
118.0,1034.8182746048883,
119.0,2747.922278660017,
120.0,2231.272440941837,
121.0,5102.876379628175,
122.0,4068.22726069669,
123.0,781.4296384399372,
124.0,3202.0433139483757,
125.0,886.1711027980928,
126.0,2306.6139802300563,
127.0,2627.7824346023126,
128.0,1578.5691996783394,
129.0,3608.501829961443,
130.0,3119.0363825081567,
131.0,1457.6865626758113,
132.0,1251.8065234478333,
133.0,871.8367776621964,
134.0,4739.274821565939,
135.0,2321.493014536013,
136.0,216.96085280145311,
137.0,1313.9548045134743,
138.0,1073.3995254622494,
139.0,1175.1507209802924,
140.0,3060.9725508763845,
141.0,1322.5133760723447,
142.0,1794.8937959563673,
143.0,1312.8250628865235,
144.0,817.102641612474,
145.0,2676.3339173754816,
146.0,652.1724377494771,
147.0,1900.5274162200287,
148.0,336.1607472959649,
149.0,1673.5915893661095,
150.0,1145.012575343471,
151.0,2308.1878172153315,
152.0,1844.1982099574823,
153.0,1006.1048274628038,
154.0,688.8766270398584,
155.0,1584.9426162833022,
156.0,3432.4584447589627,
157.0,1183.386117832495,
158.0,3000.670481543012,
159.0,495.0443147979883,
160.0,547.4953870787255,
161.0,1769.9167011357672,
162.0,1102.8531845392947,
163.0,1654.3937148727018,
164.0,2847.320272587739,
165.0,879.812917454723,
166.0,351.11625108917025,
167.0,1091.1825410805761,
168.0,2708.049257862431,
169.0,2001.7540139861064,
170.0,1767.1951112166248,
171.0,2067.4809215045852,
172.0,601.0468710100727,
173.0,112.8155928044866,
174.0,436.3457804880226,
175.0,2809.3495508121136,
176.0,1905.0524837220196,
177.0,2182.585796018861,
178.0,2261.1181970903467,
179.0,982.370740226482,
180.0,716.5684816773414,
181.0,2841.8959233221954,
182.0,1277.819075329141,
183.0,1388.1866735517085,
184.0,1459.631953394865,
185.0,2177.644425169098,
186.0,1238.1136834749298,
187.0,1276.436912798325,
188.0,894.7100518013696,
189.0,935.486652724625,
190.0,2119.281721494232,
191.0,1892.0495285061554,
192.0,1541.1274227248807,
193.0,1668.365479894507,
194.0,1340.780999016519,
195.0,3035.2395835606985,
196.0,1876.4015296052355,
197.0,1044.5396370578273,
198.0,1094.9261121255274,
199.0,1418.3899505964346,
200.0,1466.0454852281448,
201.0,521.7595400610016,
202.0,975.5594507078841,
203.0,1746.0631653826388,
204.0,1341.6119089206609,
205.0,1706.0769559259488,
206.0,266.7241022881295,
207.0,2008.0401087894056,
208.0,914.2566751206534,
209.0,539.0796480316568,
210.0,2744.2031529133847,
211.0,1405.976387070437,
212.0,1111.7588742111925,
213.0,1326.0105150127454,
214.0,753.4760137144118,
215.0,1581.7628532082874,
216.0,798.7442843002624,
217.0,516.7721573375942,
218.0,1904.5145648398802,
219.0,1177.6563451587142,
220.0,1400.9876193336963,
221.0,323.8070496903986,
222.0,2720.4331450336363,
223.0,598.3779673405613,
224.0,1389.3840698918573,
225.0,901.3227913891272,
226.0,1576.9599759996636,
227.0,177.97675406396743,
228.0,536.5990586989544,
229.0,1279.5761170212163,
230.0,1980.3331150905615,
231.0,1079.9212218208615,
232.0,1854.768095534744,
233.0,1329.3893245614693,
234.0,317.1348184129664,
235.0,1039.4013982102924,
236.0,901.4789108817672,
237.0,573.7954928806305,
238.0,177.3472896383595,
239.0,587.7885772619061,
240.0,1001.3546093786605,
241.0,1465.6315306107451,
242.0,869.7978941271618,
243.0,2299.1420812949746,
244.0,2035.774433353931,
245.0,1124.9259564615218,
246.0,1844.266115870334,
247.0,1455.7222620472228,
248.0,1102.104894523279,
249.0,1178.0779197983568,
250.0,1528.8624518768775,
251.0,266.464873513815,
252.0,177.15989319744364,
253.0,1811.617580370366,
254.0,331.6278270362272,
255.0,525.9421801744696,
256.0,1134.5981635945577,
257.0,2545.2933857956214,
258.0,517.8142572906237,
259.0,602.6108364226093,
260.0,805.3606874640847,
261.0,2698.3958610749833,
262.0,1419.141148996344,
263.0,1582.7465732568076,
264.0,1383.1667407072043,
265.0,1089.6383314164182,
266.0,972.9196608128849,
267.0,1062.1256382572856,
268.0,799.4102705865539,
269.0,129.3986247006181,
270.0,1634.2463334256738,
271.0,540.4520532672759,
272.0,902.5435909221372,
273.0,308.47116290920843,
274.0,408.0962376673218,
275.0,503.34500368539153,
276.0,720.9481324027818,
277.0,646.2498724539944,
278.0,1135.862582327208,
279.0,912.120777603874,
280.0,1359.2661311505035,
281.0,793.6239452200526,
282.0,909.051815272431,
283.0,1163.77151621895,
284.0,275.6377485868271,
285.0,911.6721962238274,
286.0,609.9094724259573,
287.0,1475.6737700309163,
288.0,1235.1173337450944,
289.0,1161.8732843204782,
290.0,1758.0389893244508,
291.0,957.9267484445535,
292.0,784.2307133581802,
293.0,1426.1828797242126,
294.0,822.480577932118,
295.0,989.5530100343275,
296.0,574.0927860808773,
297.0,739.7116368593731,
298.0,841.9189872707552,
299.0,1329.2050615079575,
300.0,1203.4526472658522,
301.0,1350.8262319254443,
302.0,371.91891804723144,
303.0,514.4329001380036,
304.0,356.4792572640094,
305.0,729.3124001232673,
306.0,210.77126755465977,
307.0,659.4307447154406,
308.0,308.1758027475681,
309.0,1262.05323029003,
310.0,1224.6308536902845,
311.0,1406.2222709857108,
312.0,401.7241894859483,
313.0,2179.415765854549,
314.0,2355.9950590423027,
315.0,765.6848511554726,
316.0,535.8415256787669,
317.0,135.7062560932835,
318.0,1133.945160401676,
319.0,1271.0679990457559,
320.0,902.312865700406,
321.0,1416.580789647896,
322.0,1040.75165069926,
323.0,843.0126265248211,
324.0,1616.0208790929269,
325.0,455.5532275123348,
326.0,595.7635209663763,
327.0,1189.481608250048,
328.0,267.96460570790055,
329.0,1186.8774058686995,
330.0,1409.5409364862483,
331.0,1299.7052764887687,
332.0,326.8682659119518,
333.0,2412.121831286576,
334.0,455.76696319901174,
335.0,1292.4120895207222,
336.0,411.6733054612074,
337.0,662.0137234072945,
338.0,647.0984906674803,
339.0,882.19205781725,
340.0,828.4742791728337,
341.0,418.8657816115912,
342.0,1673.5666610419241,
343.0,493.57908032577086,
344.0,1087.2168446024998,
345.0,688.939607170307,
346.0,443.06802455126655,
347.0,591.9316133982726,
348.0,1108.9143641871483,
349.0,426.9165619818677,
350.0,152.03667777807098,
351.0,1030.7622439487016,
352.0,1263.2924436952765,
353.0,928.3022971666949,
354.0,1007.0527361088236,
355.0,919.9402782237682,
356.0,1076.1477545518494,
357.0,500.9145537295715,
358.0,1180.7249612215408,
359.0,1009.9686154489528,
360.0,1921.2038597000842,
361.0,858.2526240478117,
