,AT0 0
0,-195854.84838560247
1,-193921.27306098558
2,-193898.85933032574
3,-193263.03276381057
4,-191741.9974728954
5,-190991.67427902546
6,-189805.5477057475
7,-189533.79830520577
8,-189027.65201693642
9,-188873.7614221559
10,-188769.6309576353
11,-187804.03285588854
12,-186321.97902953552
13,-184842.9616267019
14,-184839.23003050307
15,-184766.45744747834
16,-184612.01465768245
17,-184500.44169316217
18,-184329.5589725181
19,-184315.08005906755
20,-183758.13962637453
21,-183051.24561097258
22,-181953.81232025882
23,-181843.2855315763
24,-181267.799914521
25,-180857.90407365418
26,-180618.54657031517
27,-179745.14814713068
28,-179522.42269593963
29,-178824.46825371013
30,-178690.34310307459
31,-178645.4003943082
32,-178504.09707698124
33,-178246.7940054097
34,-177935.84602839744
35,-176477.53054179111
36,-176436.4892623067
37,-176419.29152405186
38,-175617.69276810798
39,-175329.0274576461
40,-175168.67726061487
41,-175015.4734252391
42,-174845.12527321256
43,-174773.20835268334
44,-174668.35994494773
45,-174346.81163389538
46,-174178.15961697832
47,-173702.52881950056
48,-173670.59515932738
49,-173633.3677259731
50,-173568.73673244537
51,-172758.25568698792
52,-172721.36837280926
53,-172481.65852357307
54,-171747.0408477863
55,-171457.76383574016
56,-171238.97633065772
57,-171210.65100794428
58,-170393.55596582498
59,-170325.8210804079
60,-169971.0247706625
61,-169969.09034201136
62,-169957.18184571856
63,-169939.77214905556
64,-169806.8919120368
65,-169740.9361198936
66,-169406.68254895415
67,-169380.51030727467
68,-169217.2783446628
69,-169009.19156202077
70,-168902.37458481488
71,-168857.34870731077
72,-168461.01661036327
73,-168383.0210449415
74,-168184.0710016111
75,-167620.91619509266
76,-167434.5528138093
77,-167422.8327274195
78,-167231.7370446402
79,-166847.0405360533
80,-166733.63246330863
81,-166722.8351265642
82,-166537.75806848396
83,-166361.51881412265
84,-166359.71641998063
85,-166354.50666776573
86,-166323.45273411644
87,-166262.56054198416
88,-166084.36054370765
89,-165953.52763206296
90,-165944.22376404525
91,-165860.02370517695
92,-165850.0526925874
93,-165433.34828000888
94,-165410.95270700398
95,-165304.96829018163
96,-164310.54515174447
97,-164019.40079681732
98,-163924.4130665901
99,-163745.74477546982
100,-163643.35641922825
101,-163568.48339137353
102,-163517.55025482233
103,-163355.2895215009
104,-163154.3259529118
105,-163114.60713747825
106,-163095.07847829387
107,-162914.0557435833
108,-162713.83484324394
109,-162688.98332693917
110,-162030.39921619638
111,-162018.77016773514
112,-161738.86952402614
113,-161730.81515142458
114,-161727.8167109958
115,-161663.15917776825
116,-161370.48052452385
117,-161248.16591723732
118,-161106.0218192653
119,-160880.59848038378
120,-160673.64948393792
121,-160667.02830837204
122,-160509.5349977873
123,-160237.27586041426
124,-160224.20278708503
125,-160200.43298977867
126,-160158.87047529395
127,-159966.14561678784
128,-159857.01515414487
129,-159732.13785235852
130,-159697.53426178152
131,-159591.01320536144
132,-159366.91852241757
133,-159288.03418539002
134,-159168.46327379197
135,-159096.5072238549
136,-158925.2229444219
137,-158778.20681187764
138,-158480.4227890749
139,-158422.86473706935
140,-158063.03101882737
141,-157917.692546638
142,-157872.15929630576
143,-157634.17056417774
144,-157535.85241888903
145,-157420.17983416838
146,-157363.02092690612
147,-157354.37478726567
148,-157079.18113947002
149,-157038.53036181562
150,-157008.88234010423
151,-156975.99879767024
152,-156885.13999991704
153,-156868.17704354145
154,-156852.96654950536
155,-156847.39181040172
156,-156841.7496662105
157,-156814.16068106025
158,-156685.98169515937
159,-156564.8658988243
160,-156444.20079119713
161,-156327.54589210055
162,-156326.7485599194
163,-155943.2145998017
164,-155861.45649594435
165,-155658.35353997123
166,-155541.94369746512
167,-155349.39808985198
168,-155155.57558694744
169,-155079.29757817264
170,-155065.79153374917
171,-155062.78370239458
172,-155003.29930358546
173,-154882.46062111578
174,-154761.99668343435
175,-154732.4428688601
176,-154662.9984091075
177,-154615.77036411225
178,-154513.2132280979
179,-154512.4818601232
180,-154492.40578139544
181,-154386.26064195263
182,-154361.37667852233
183,-154256.2514874182
184,-154177.70359496627
185,-154166.50025792094
186,-153739.37710025953
187,-153680.4125031064
188,-153480.40580297352
189,-153422.14655137964
190,-153348.9303527653
191,-153262.04205260763
192,-153227.5273900697
193,-153226.89507658058
194,-153084.27249143674
195,-153073.13745322335
196,-152997.6602874861
197,-152546.13636355064
198,-152490.23676888968
199,-152367.90165998673
200,-152291.86584525078
201,-152141.9142748302
202,-152064.1354734045
203,-151875.05529089796
204,-151570.35592557435
205,-151533.3953430358
206,-151489.03712066414
207,-151475.58984339033
208,-151249.41349568145
209,-151234.5050141072
210,-151133.4779522161
211,-151120.37718571594
212,-151102.46409517826
213,-151041.93258653113
214,-151032.22351290798
215,-150886.8932215793
216,-150791.16192253484
217,-150769.58019815802
218,-150656.6929293833
219,-150463.03618229274
220,-150147.2143434972
221,-150019.67571642605
222,-149989.34552297468
223,-149980.78303030916
224,-149943.69295966157
225,-149896.44754125542
226,-149866.39403856805
227,-149864.14955728155
228,-149859.8918589441
229,-149731.61606181174
230,-149624.43336490562
231,-149310.69776624348
232,-149092.29857270152
233,-149050.87756935187
234,-149025.06997540282
235,-148983.22886762704
236,-148831.95783373242
237,-148827.77938952154
238,-148812.92857582984
239,-148750.64538151392
240,-148595.48472205934
241,-148593.88878197264
242,-148592.70773156369
243,-148554.79933866975
244,-148532.8283915563
245,-148462.92152379933
246,-148102.40189671653
247,-148077.07952607324
248,-148030.41117913445
249,-148026.02456395404
250,-147931.99524649346
251,-147875.12953836517
252,-147646.05076150422
253,-147603.87123561505
254,-147504.58658911783
255,-147484.39362508655
256,-147026.72022252064
257,-146927.66978839232
258,-146922.70366963983
259,-146761.93880737977
260,-146749.74150130068
261,-146671.02543314334
262,-146639.4244305357
263,-146625.14524428517
264,-146497.20458189055
265,-146474.18400791797
266,-146424.6511762777
267,-146400.7716941486
268,-146354.64471604172
269,-146353.21001404148
270,-146213.37472023515
271,-146170.59505875874
272,-146125.0242378201
273,-145976.22915746938
274,-145893.2775394668
275,-145875.19080102784
276,-145860.76216457447
277,-145657.12166323318
278,-145590.90059379247
279,-145578.7452133282
280,-145474.09444021038
281,-145426.97576070743
282,-145415.09338163733
283,-145388.69588536207
284,-145367.8527588615
285,-145336.02485775418
286,-145294.4161136609
287,-145121.16790018693
288,-145085.85002332478
289,-144977.6435518644
290,-144855.34100801748
291,-144799.2608948945
292,-144784.1669145389
293,-144726.11424624335
294,-144709.14373591004
295,-144659.38127832746
296,-144657.20540083136
297,-144601.17403933225
298,-144507.07065451881
299,-144471.11620822045
300,-144446.20473257886
301,-144347.286598967
302,-144291.1753747009
303,-144274.24426027772
304,-144260.9928275142
305,-144134.22379556266
306,-144123.34950951967
307,-144117.424445436
308,-143998.30536021417
309,-143982.17457842553
310,-143925.4905002267
311,-143768.31812957732
312,-143597.7189275473
313,-143363.43539254687
314,-143318.62151001173
315,-143267.6513468294
316,-143222.93266693153
317,-143035.15994607413
318,-143015.16371408605
319,-142921.57452310127
320,-142902.6550551207
321,-142881.76126851368
322,-142881.0626038013
323,-142848.00864345187
324,-142724.0370003214
325,-142597.42511979153
326,-142587.55212424623
327,-142497.10770874337
328,-142410.40188991037
329,-142370.51799118627
330,-142295.1756276843
331,-142195.4374023901
332,-142181.3775736518
333,-142174.77968555462
334,-141816.53608848873
335,-141677.92065089525
336,-141597.07794449962
337,-141557.8610804354
338,-141496.7284440019
339,-141463.19815229025
340,-141432.9635816859
341,-141371.79714242596
342,-141343.10435095755
343,-141326.20229105002
344,-141320.6147012902
345,-141310.4179776188
346,-141294.59723654916
347,-141230.78097893277
348,-141193.8248792518
349,-141173.99099524744
350,-141159.99997951777
351,-141156.95768688683
352,-141126.4297254281
353,-141115.2554814857
354,-141084.24234445606
355,-141069.60686923354
356,-140967.20277071215
357,-140917.595358614
358,-140861.95967239578
359,-140859.2912435136
360,-140718.44700088925
361,-140560.8860396398
362,-140534.6822078349
363,-140326.15170818113
364,-140301.40232364347
365,-140273.1430275166
366,-140051.12930000486
367,-139949.43252371496
368,-139864.4317109874
369,-139737.71157825954
370,-139691.43588271426
371,-139610.95522559993
372,-139572.70063781712
373,-139225.58320562768
374,-139224.95991164952
375,-139136.27931392964
376,-139135.0026045807
377,-139116.7075797739
378,-139108.50823396366
379,-139095.43455644342
380,-139035.38267526485
381,-139013.1091409893
382,-139011.84245216
383,-138972.88660360454
384,-138930.79603578753
385,-138900.54663181535
386,-138833.25463937744
