,AT0 0
0,211166.5471343688
1,209265.75829696303
2,209202.16504122503
3,208739.18141524118
4,207333.464150563
5,206450.25119046497
6,205308.88748581122
7,204652.45718303023
8,204299.54869094462
9,204184.07956516257
10,203417.88096786826
11,202891.5334997539
12,201586.11723038866
13,199868.33024956874
14,199865.07206440545
15,199496.27182564043
16,199494.26963558534
17,199056.57125453078
18,198950.93700535782
19,198763.01070854877
20,198762.29590752898
21,197823.62963041666
22,197243.87264413384
23,196347.29128229927
24,196238.14596500134
25,196000.96003039143
26,194382.29623953043
27,194369.14027581245
28,194302.8723275081
29,193729.0677677882
30,193708.28552649458
31,193682.94295765643
32,193377.97953024894
33,192352.69298061158
34,191885.0749634146
35,191136.483423903
36,190507.89217618966
37,190492.44920409477
38,190483.1616702768
39,189769.0351558474
40,189441.5014372821
41,189401.4506139455
42,189371.0961712877
43,189195.24508754365
44,189161.92230886198
45,188591.77799562598
46,188239.295723556
47,187896.4983198355
48,187418.97651763732
49,187305.47729341796
50,187251.07166524229
51,186931.59498924745
52,186745.80618369504
53,186326.86073630306
54,186284.0652278628
55,184901.9557271448
56,184530.229413206
57,184466.69104672247
58,184405.1824421049
59,184375.7651583895
60,184367.4042424939
61,184265.99524026195
62,183923.11468752392
63,183765.1279766406
64,183537.2259553341
65,183491.6731854541
66,183112.74754943632
67,183089.2849840437
68,182913.80905220975
69,182786.99388730485
70,182532.6047783294
71,182276.29639417844
72,182042.806769346
73,181760.06998613535
74,181709.47722238736
75,181576.71993116537
76,181565.48896212762
77,181366.71117057872
78,181140.07163752933
79,180964.36520574574
80,180868.44393128334
81,180594.30682009115
82,180576.19658244366
83,180501.49912914674
84,180291.8523175488
85,180214.2132728224
86,180207.09774614306
87,179848.39081664666
88,179420.8109917019
89,179373.09859498183
90,179152.18143668605
91,179115.20984722307
92,178809.6699140069
93,178714.8116863927
94,178634.8102930023
95,178457.06825455034
96,178399.52924024666
97,178331.80533632226
98,178240.46507527045
99,177829.0564538791
100,177776.8677325845
101,177361.08476086977
102,177282.90476992924
103,177217.61588553176
104,177194.80967434848
105,176943.28027241136
106,176776.32731480236
107,176504.19301790342
108,176373.0357118543
109,176075.40774921683
110,176027.55685423544
111,175937.22463057318
112,175885.33484891872
113,175405.82195928594
114,175281.71436539435
115,175263.0967283956
116,175160.16372762044
117,175135.8954647288
118,175070.78195490615
119,174852.35246621646
120,174671.83178704718
121,174503.89777823098
122,174406.02352139947
123,174260.64455729938
124,174244.42766445177
125,174162.56762508588
126,173950.3245725462
127,173590.1260669933
128,173488.0002962941
129,173373.69966265673
130,173158.82337632132
131,172958.56823496267
132,172914.6804794614
133,172837.959032565
134,172618.71423103416
135,172368.96406319365
136,172322.1728240562
137,172311.43746133073
138,172125.7499110901
139,171926.79691815394
140,171584.83007443952
141,171557.37077711732
142,171485.43496405028
143,171395.30363238126
144,171199.86604999023
145,170970.05228873756
146,170910.1733915435
147,170907.98520466094
148,170846.65377103435
149,170837.52811723627
150,170626.94309651386
151,170620.09204748512
152,170601.3374571163
153,170451.73822678928
154,169991.78546994427
155,169864.11713198834
156,169858.3106223381
157,169802.66972875918
158,169779.46696233493
159,169548.43392716232
160,169493.09060492791
161,169287.8757945492
162,168971.6197937154
163,168966.39493428048
164,168629.69438715422
165,168553.75399502632
166,168402.46720636645
167,168387.19978433286
168,168238.41781860837
169,168146.34104952792
170,168134.62890192334
171,168123.4175652929
172,168036.37940219571
173,167968.206062654
174,167934.9274124093
175,167844.88409921023
176,167773.01348003405
177,167594.5519779097
178,167594.20458584203
179,167536.08907279116
180,167519.13310620756
181,167221.1398284475
182,167201.64255565047
183,167101.06286463907
184,166983.8223857401
185,166927.5268896663
186,166916.26058845688
187,166904.34668068492
188,166851.40364655323
189,166777.14170100272
190,166534.95633697428
191,166284.55817566614
192,166231.0151257011
193,166209.5508519133
194,166083.6302492383
195,165792.06725438143
196,165758.10705067113
