,Anfang,Ende,RES,EE,Wechsel_EE-RES,Delta_t,Delta_E,LV_kurz,LV_lang,P_kurz,P_lang,Anteil_kurz,Anteil_lang
0,0,16,140597.71844600054,0,0,16,140597.71844600054,0.0,140597.71844600054,0.0,8787.357402875034,0.0,1.0
1,16,31,81319.89302508009,-40107.73588005582,20,15,41212.15714502427,40107.73588005582,121427.6289051359,2673.849058670388,8095.175260342394,0.2482907438466538,0.7517092561533463
2,31,37,21988.212509492412,-9775.652272728166,32,6,12212.560236764246,9775.652272728166,31763.86478222058,1629.2753787880276,5293.97746370343,0.23533379696727985,0.7646662030327201
3,37,65,191951.4602444514,-297320.4312170651,46,28,-105368.9709726137,191951.4602444514,-489271.8914615165,6855.409294444692,-17473.996123625588,0.2817746334792442,0.7182253665207557
4,65,100,119604.58055618504,-33865.91466739105,70,35,85738.665888794,33865.91466739105,153470.4952235761,967.5975619254586,4384.871292102174,0.18077593505235617,0.8192240649476439
5,100,109,0.05786738644383149,-105081.66582653302,108,9,-105081.60795914658,0.05786738644383149,-105081.72369391946,0.006429709604870166,-11675.747077102162,5.5068904984325e-07,0.9999994493109502
6,109,135,69016.33720463517,-1200853.528421553,128,26,-1131837.191216918,69016.33720463517,-1269869.8656261882,2654.4745078705837,-48841.148677930316,0.05154757518504044,0.9484524248149596
7,135,470,3354.38678234476,-32978124.81680201,468,335,-32974770.430019666,3354.38678234476,-32981479.203584354,10.013094872670925,-98452.17672711748,0.00010169482205071414,0.9998983051779493
8,470,484,38696.499488795256,-108633.1339980677,479,14,-69936.63450927244,38696.499488795256,-147329.63348686296,2764.03567777109,-10523.54524906164,0.20801646988952216,0.7919835301104778
9,484,615,55636.877622685264,-12564803.691029627,608,131,-12509166.813406942,55636.877622685264,-12620440.568652311,424.70898948614706,-96339.24098207871,0.004389124148104252,0.9956108758518958
10,615,643,170304.32334292604,-283982.3959203228,625,28,-113678.07257739676,170304.32334292604,-454286.71926324884,6082.297262247359,-16224.525687973173,0.2726653309536949,0.7273346690463051
11,643,652,22742.97303834801,-24920.005963744057,647,9,-2177.032925396048,22742.97303834801,-47662.97900209206,2526.9970042608898,-5295.886555788007,0.32302628370517317,0.6769737162948268
12,652,688,253285.0057204184,-585422.1044719534,668,36,-332137.09875153494,253285.0057204184,-838707.1101923718,7035.694603344956,-23297.41972756588,0.23194765056403258,0.7680523494359675
13,688,750,565661.2932855798,-39959.19096794343,691,62,525702.1023176364,39959.19096794343,605620.4842535232,644.5030801281199,9768.072326669728,0.06189660626201623,0.9381033937379838
14,750,757,41683.23881190259,-4884.619068335354,752,7,36798.61974356724,4884.619068335354,46567.85788023795,697.8027240479078,6652.5511257482785,0.09493457570988323,0.9050654242901167
15,757,773,1137.1120195203712,-1054670.416237661,772,16,-1053533.3042181404,1137.1120195203712,-1055807.5282571814,71.0695012200232,-65987.97051607384,0.0010758482291207626,0.9989241517708791
16,773,784,70629.05130445801,-24152.921649825552,776,11,46476.12965463246,24152.921649825552,94781.97295428357,2195.7201499841412,8616.542995843962,0.2030768323310145,0.7969231676689854
17,784,822,197605.06912257962,-86311.32632593498,791,38,111293.74279664464,86311.32632593498,283916.3954485146,2271.3506927877625,7471.484090750385,0.23313037152446847,0.7668696284755315
18,822,856,409705.07694608334,-12870.674755578404,823,34,396834.40219050494,12870.674755578404,422575.75170166173,378.5492575170119,12428.698579460639,0.0295574242284941,0.9704425757715059
19,856,975,50962.29031219029,-10752218.643951371,969,119,-10701256.353639182,50962.29031219029,-10803180.93426356,428.2545404385739,-90783.03306103832,0.004695192357219169,0.9953048076427808
20,975,990,65088.05111652894,-266035.49080680014,982,15,-200947.4396902712,65088.05111652894,-331123.54192332906,4339.203407768596,-22074.902794888603,0.1642759885372189,0.8357240114627812
21,990,996,11129.95145317356,-30161.80108363591,994,6,-19031.849630462348,11129.95145317356,-41291.75253680947,1854.99190886226,-6881.958756134912,0.21231571288297532,0.7876842871170247
22,996,1069,13388.872058987705,-7213740.095314845,1067,73,-7200351.223255858,13388.872058987705,-7227128.967373833,183.4092062875028,-99001.76667635387,0.0018491594601245413,0.9981508405398755
23,1069,1188,10715.905865416049,-12252860.939098254,1186,119,-12242145.033232838,10715.905865416049,-12263576.84496367,90.04962912114327,-103055.26760473673,0.0008730365229957732,0.9991269634770042
24,1188,1287,72471.29828910717,-7857381.244527212,1280,99,-7784909.946238105,72471.29828910717,-7929852.5428163195,732.0333160515876,-80099.52063450828,0.00905628161620314,0.9909437183837969
25,1287,1312,110686.81485864177,-165155.65029753943,1297,25,-54468.83543889766,110686.81485864177,-275842.4651561812,4427.472594345671,-11033.698606247248,0.2863607508709225,0.7136392491290775
26,1312,1455,16930.34640730344,-12381989.067785477,1451,143,-12365058.721378174,16930.34640730344,-12398919.41419278,118.39403082030378,-86705.73016918029,0.001363607544690937,0.998636392455309
27,1455,1478,48005.58319752584,-503332.1814570438,1471,23,-455326.598259518,48005.58319752584,-551337.7646545697,2087.199269457645,-23971.207158894333,0.08009696506946556,0.9199030349305345
28,1478,1500,4863.584403312534,-1955482.8354858886,1499,22,-1950619.251082576,4863.584403312534,-1960346.4198892012,221.0720183323879,-89106.65544950914,0.0024748420742257775,0.9975251579257742
29,1500,1589,29963.68519221529,-6245603.33851372,1583,89,-6215639.653321505,29963.68519221529,-6275567.023705935,336.67062013725047,-70511.98903040377,0.004751968799379814,0.9952480312006202
30,1589,1594,2139.5482571236716,-59615.26511517194,1592,5,-57475.71685804827,2139.5482571236716,-61754.81337229561,427.9096514247343,-12350.962674459122,0.03348571302007572,0.9665142869799243
31,1594,1598,12730.328338290947,-7452.453190237467,1595,4,5277.875148053479,7452.453190237467,20182.781528528416,1863.1132975593669,5045.695382132104,0.2696721510086119,0.7303278489913881
32,1598,1625,171219.11719415418,-210851.53847806936,1607,27,-39632.42128391517,171219.11719415418,-382070.65567222354,6341.448784968674,-14150.765024897168,0.3094565010792355,0.6905434989207645
33,1625,1649,167720.0327226523,-72233.66535797049,1630,24,95486.36736468182,72233.66535797049,239953.6980806228,3009.7360565821036,9998.070753359283,0.23137920946687748,0.7686207905331225
34,1649,1659,10404.5732642507,-42967.51588528839,1656,10,-32562.94262103769,10404.5732642507,-53372.08914953909,1040.4573264250698,-5337.208914953909,0.1631407613767042,0.8368592386232958
35,1659,1670,31826.25401963549,-118909.31638895132,1664,11,-87083.06236931583,31826.25401963549,-150735.57040858682,2893.295819966863,-13703.233673507893,0.17433137579181343,0.8256686242081865
36,1670,1830,409108.5916546154,-10147352.811661737,1781,160,-9738244.220007122,409108.5916546154,-10556461.403316353,2556.9286978413465,-65977.8837707272,0.037308465665007916,0.9626915343349921
