,0
2013-01-01,128472.50760680028
2013-01-02,-213332.62471995223
2013-01-03,135426.47595841644
2013-01-04,108854.74883675434
2013-01-05,-1136936.348832306
2013-01-06,-858295.849985362
2013-01-07,-2696987.713041099
2013-01-08,-2684771.781866194
2013-01-09,-2272497.0526541816
2013-01-10,-1906571.7980885752
2013-01-11,-2696352.340688041
2013-01-12,-2258945.9844438843
2013-01-13,-2064984.7925437354
2013-01-14,-3327439.4027329525
2013-01-15,-3402029.3261959683
2013-01-16,-3286907.7879551123
2013-01-17,-2881266.1872991854
2013-01-18,-1742306.671919372
2013-01-19,-846654.6843128294
2013-01-20,-236907.8153785254
2013-01-21,-1122243.93834925
2013-01-22,-1952704.8554204695
2013-01-23,-3161847.5922462945
2013-01-24,-3406189.5999389314
2013-01-25,-2702541.461805928
2013-01-26,-423340.06584550074
2013-01-27,152028.44003429078
2013-01-28,-514894.50675047946
2013-01-29,219493.94055103863
2013-01-30,259357.33939930963
2013-01-31,206494.93169388484
2013-02-01,-953203.3346937759
2013-02-02,-60634.19530529788
2013-02-03,158176.12659638497
2013-02-04,244415.64978695853
2013-02-05,-399544.6874378569
2013-02-06,-1607729.6609210721
2013-02-07,-2570254.043152298
2013-02-08,-2678546.1949060033
2013-02-09,-2688355.056913426
2013-02-10,-812276.100336214
2013-02-11,-508141.94925027713
2013-02-12,-2724867.577917813
2013-02-13,-3359420.603505291
2013-02-14,-1363180.913948025
2013-02-15,-2879580.047350476
2013-02-16,-2706465.521163641
2013-02-17,-2417149.7240751656
2013-02-18,-2922254.135361983
2013-02-19,-1572968.6552855046
2013-02-20,-1944558.6373214931
2013-02-21,-2445456.1581452265
2013-02-22,-2095596.3171025433
2013-02-23,-429124.01905141963
2013-02-24,-385628.3304620108
2013-02-25,-1411685.3637044565
2013-02-26,-2581997.8219901156
2013-02-27,-3093520.1817386774
2013-02-28,-2124954.8576610545
2013-03-01,-1856803.0888736753
2013-03-02,-1208677.0496521918
2013-03-03,-1154297.506654696
2013-03-04,-1578170.980757816
2013-03-05,-2050041.8306590705
2013-03-06,-2750148.9023330705
2013-03-07,-703209.0570000198
2013-03-08,-225583.51012560437
2013-03-09,100821.85104479341
2013-03-10,113088.0143852543
2013-03-11,-775772.4790998008
2013-03-12,-2179519.60785547
2013-03-13,-2930811.8576400056
2013-03-14,-2669461.4717981773
2013-03-15,-1642605.7900588806
2013-03-16,163016.93781781438
2013-03-17,180726.97223933268
2013-03-18,-741189.7216165467
2013-03-19,-988332.2182711841
2013-03-20,-1688073.8070574247
2013-03-21,-1757090.7771018953
2013-03-22,-180614.074814391
2013-03-23,237762.2950551535
2013-03-24,227524.817701383
2013-03-25,240781.57101221525
2013-03-26,-504990.7219584247
2013-03-27,-1082198.134313934
2013-03-28,-1838137.0907076611
2013-03-29,-1725682.8334096652
2013-03-30,-1729871.4701664944
2013-03-31,-1108375.3497750058
2013-04-01,-1091443.5728834716
2013-04-02,-1363416.2932805668
2013-04-03,-1084882.1281556136
2013-04-04,-1031842.4641491291
2013-04-05,-1958382.0531606239
2013-04-06,-1580486.6176745323
2013-04-07,-1205293.3139338833
2013-04-08,-1747825.086853112
2013-04-09,-568324.3300169468
2013-04-10,-1115699.2357987764
2013-04-11,-1329849.332987162
2013-04-12,-1019049.3357674233
2013-04-13,-581734.8381540196
2013-04-14,52727.922171029204
2013-04-15,-786265.8308889022
2013-04-16,-809122.1689274623
2013-04-17,-733541.5249783731
2013-04-18,171452.08849169244
2013-04-19,-392656.7305674908
2013-04-20,-731190.6549025481
2013-04-21,-1027793.2433416786
2013-04-22,-1659670.2500601474
2013-04-23,-373012.7210429908
2013-04-24,-805961.4887356209
2013-04-25,-1133922.7256061756
2013-04-26,-1468575.6127258923
2013-04-27,-1071982.4638450819
2013-04-28,-632649.9084732005
2013-04-29,-224934.5349389194
2013-04-30,-1189765.53452019
2013-05-01,-986706.8447495472
2013-05-02,-1511268.61642864
2013-05-03,-1528135.485715793
2013-05-04,-535782.6227700756
2013-05-05,-942974.3355676846
2013-05-06,-1761415.9046335476
2013-05-07,-1219363.3840430537
2013-05-08,-1100763.446949813
2013-05-09,-747705.1495982887
2013-05-10,-411206.50123655656
2013-05-11,-254568.1111977342
2013-05-12,-188194.4809918401
2013-05-13,-272118.7270739131
2013-05-14,-737794.5435173652
2013-05-15,-690754.8113896435
2013-05-16,-1451546.2074353024
2013-05-17,-1395157.0011681907
2013-05-18,-849447.0387002644
2013-05-19,-733932.0889227415
2013-05-20,-964667.2364598145
2013-05-21,-1059799.1071020556
2013-05-22,197387.24185312106
2013-05-23,-972131.5515294229
2013-05-24,-1718158.305388074
2013-05-25,-237241.5975199721
2013-05-26,136633.92184944262
2013-05-27,-1223042.8705921106
2013-05-28,-1604325.363149385
2013-05-29,-1076536.2234736606
2013-05-30,-800670.5236175996
2013-05-31,252739.5492901156
2013-06-01,213007.95508182392
2013-06-02,193437.55443668945
2013-06-03,-78829.71170516574
2013-06-04,-1009380.3198917273
2013-06-05,-1610178.0992617582
2013-06-06,-1477149.596967929
2013-06-07,-1268600.5776801922
2013-06-08,-722837.0144958154
2013-06-09,-740925.1894917213
2013-06-10,-1583099.5656611563
2013-06-11,-1776643.6656155405
2013-06-12,-568133.640510156
2013-06-13,-2602.6933363143808
2013-06-14,-623428.8265506409
2013-06-15,-35356.18338483735
2013-06-16,-352471.1784674008
2013-06-17,-1409207.152911607
2013-06-18,-1280696.310537952
2013-06-19,-1471922.0311739992
2013-06-20,-1595835.1603895419
2013-06-21,-286554.9833684639
2013-06-22,142690.62990707872
2013-06-23,13792.993920927005
2013-06-24,-706669.3998588602
2013-06-25,-422374.7379795733
2013-06-26,-189938.61599229276
2013-06-27,-765632.8917483282
2013-06-28,-789217.2475331232
2013-06-29,-64849.86634555693
2013-06-30,-484134.60180372884
2013-07-01,-1204164.188024636
2013-07-02,-1535452.091309687
2013-07-03,-1420997.1251658078
2013-07-04,-1803277.7184517356
2013-07-05,-1731972.4766686128
2013-07-06,-1289133.0865525354
2013-07-07,-1018717.3693601892
2013-07-08,-1511890.1434091085
2013-07-09,-1857190.5228774901
2013-07-10,-680078.8846924142
2013-07-11,-1554073.1207784072
2013-07-12,-1910044.0865251734
2013-07-13,-1239319.1087822625
2013-07-14,-829226.6296244625
2013-07-15,-1670303.4143275816
2013-07-16,-1949054.0550667385
2013-07-17,-2009068.4764136754
2013-07-18,-1699214.3094720058
2013-07-19,-849444.1618981962
2013-07-20,-1269123.4819760667
2013-07-21,-1275115.1611229845
2013-07-22,-2007022.1073298042
2013-07-23,-1823017.4918456927
2013-07-24,-1960541.101417432
2013-07-25,-2439170.5888759987
2013-07-26,-2316997.3397329026
2013-07-27,-1422292.4125195465
2013-07-28,-866314.8682421244
2013-07-29,-1940653.938445185
2013-07-30,-721399.8878827816
2013-07-31,-1174433.392265439
2013-08-01,-1714284.0393612324
2013-08-02,-1053686.275278926
2013-08-03,-794453.2772890541
2013-08-04,-1345557.374484138
2013-08-05,-1271577.3237171143
2013-08-06,-1358155.6349104955
2013-08-07,-1676597.2634742989
2013-08-08,-1462930.1789954372
2013-08-09,-1881377.0861856889
2013-08-10,-773951.087614561
2013-08-11,-443330.4916703837
2013-08-12,-733823.2229600142
2013-08-13,-484382.2232127944
2013-08-14,-1113448.6689861303
2013-08-15,-1049161.032279337
2013-08-16,-1016719.0952114266
2013-08-17,-917209.1335637346
2013-08-18,-614769.2028644356
2013-08-19,-1586806.3811545344
2013-08-20,-1956337.771123364
2013-08-21,-1877062.05611627
2013-08-22,-1947440.3207892512
2013-08-23,-1102165.3345137618
2013-08-24,-166916.00462902256
2013-08-25,-122616.11883157375
2013-08-26,-943351.1634204239
2013-08-27,-2184370.9390801038
2013-08-28,-2237833.488925767
2013-08-29,-2112718.618432146
2013-08-30,-1776642.5145686755
2013-08-31,-523666.9109772531
2013-09-01,-74654.41879512464
2013-09-02,-13563.858305067432
2013-09-03,-1933712.2250213397
2013-09-04,-2313650.8702071984
2013-09-05,-1154406.1851979136
2013-09-06,-1126429.3499492845
2013-09-07,-1547488.6231647655
2013-09-08,-1176594.505920131
2013-09-09,-2046259.8867118943
2013-09-10,-1537665.55561812
2013-09-11,-1599343.5669033888
2013-09-12,-2418134.0668040933
2013-09-13,-2106428.9924509306
2013-09-14,-762197.7244618962
2013-09-15,-371890.99584147433
2013-09-16,-315205.4581046603
2013-09-17,-398604.7382862259
2013-09-18,-1736308.6382382703
2013-09-19,-1518340.7355172127
2013-09-20,-1838806.423397206
2013-09-21,-1485230.0846520935
2013-09-22,-259257.40103157877
2013-09-23,-1242139.6114294084
2013-09-24,-2280496.538619431
2013-09-25,-2116193.526628306
2013-09-26,-2079338.6548632265
2013-09-27,-2517314.6752879275
2013-09-28,-1184772.2069029862
2013-09-29,176697.84469285957
2013-09-30,-557674.7227542606
2013-10-01,-824302.0765663094
2013-10-02,-261089.70246013012
2013-10-03,234896.94541348433
2013-10-04,-435833.82144146913
2013-10-05,-2099801.9867474833
2013-10-06,-2002123.0403187955
2013-10-07,-2529249.942683143
2013-10-08,-2501322.4530015765
2013-10-09,-1363541.987773119
2013-10-10,-2016984.0669230458
2013-10-11,-578407.7913552745
2013-10-12,-555411.4251387118
2013-10-13,-515380.23418694054
2013-10-14,-1407038.7872498026
2013-10-15,-2005277.1084074168
2013-10-16,-2053087.0204394106
2013-10-17,29888.48731235627
2013-10-18,-1769955.1142381516
2013-10-19,-393436.01802720106
2013-10-20,-237522.86149728487
2013-10-21,-829918.9253840977
2013-10-22,-262214.9929838742
2013-10-23,124535.79765555228
2013-10-24,-1385052.0349747166
2013-10-25,-650587.5961270896
2013-10-26,180882.03392976636
2013-10-27,207702.0530256276
2013-10-28,257614.42453529715
2013-10-29,54919.182872727906
2013-10-30,-548203.509423711
2013-10-31,-290894.56172714196
2013-11-01,-343971.33235525753
2013-11-02,-514764.16251486616
2013-11-03,204088.34558723343
2013-11-04,-49017.41898772347
2013-11-05,-477696.69079375424
2013-11-06,-438148.5012269018
2013-11-07,-705017.7244020118
2013-11-08,-1783303.4750970749
2013-11-09,44782.172545812304
2013-11-10,-383588.8060859857
2013-11-11,-1720811.5385700127
2013-11-12,-1427831.4953460165
2013-11-13,-2095785.7713689627
2013-11-14,-2267466.381251341
2013-11-15,-2813293.76860874
2013-11-16,-1095812.6033314846
2013-11-17,-2043835.405269965
2013-11-18,-2826116.579993648
2013-11-19,-2690529.296419205
2013-11-20,-2142932.23468038
2013-11-21,-2370620.2900557686
2013-11-22,-1915262.8629405617
2013-11-23,-1962988.7111036547
2013-11-24,-704713.3099363451
2013-11-25,-1858245.955275713
2013-11-26,-2940641.786949322
2013-11-27,-1735808.3717127452
2013-11-28,-1320339.6555806925
2013-11-29,-610848.795106554
2013-11-30,-1394116.0509984014
2013-12-01,-499578.90277357126
2013-12-02,-2805110.1386420894
2013-12-03,-2456901.3398188297
2013-12-04,-922216.7780950239
2013-12-05,1747.282029848153
